step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7197366952896118,452.48322997940704,4183.478515625,,,,,
2,1,2,0.0,32.0,32.0,0.7139827013015747,126.68840400874615,5721.97802734375,,,,,
3,1,3,0.0,32.0,32.0,0.6925805807113647,128.75672098016366,5540.95556640625,,,,,
4,1,4,0.0,32.0,32.0,0.6546164751052856,198.68918700376526,5356.3525390625,,,,,
5,1,5,0.0,32.0,32.0,0.6540269255638123,86.82835998479277,5673.36279296875,,,,,
6,1,6,0.0,32.0,32.0,0.5259835124015808,82.41912897210568,5568.814453125,,,,,
7,1,7,0.0,32.0,32.0,0.6408500671386719,80.48575697466731,5525.2880859375,,,,,
8,1,8,0.0,32.0,32.0,0.506280779838562,84.98266100650653,5663.0908203125,,,,,
9,1,9,0.0,32.0,32.0,0.7998032569885254,82.11318001849577,5464.7470703125,,,,,
10,1,10,0.0,32.0,32.0,0.5965245962142944,90.56661801878363,5540.95556640625,,,,,
11,1,11,0.0,32.0,32.0,0.5875065326690674,90.50508204381913,5673.36279296875,,,,,
12,1,12,0.0,32.0,32.0,0.5486517548561096,90.25586402276531,5391.634765625,,,,,
13,1,13,0.0,32.0,32.0,0.6408354043960571,101.77204699721187,5373.677734375,,,,,
14,1,14,0.0,32.0,32.0,0.6846392154693604,117.01929097762331,5540.95556640625,,,,,
15,1,15,0.0,32.0,32.0,0.6563780307769775,90.84406500915065,5356.3525390625,,,,,
16,1,16,0.0,32.0,32.0,0.780881404876709,84.49808601289988,5412.65966796875,,,,,
17,1,17,0.0,32.0,32.0,0.6682896614074707,83.20387999992818,5464.7470703125,,,,,
18,1,18,0.0,32.0,32.0,0.5226945877075195,84.90558102494106,5673.36279296875,,,,,
19,1,19,0.0,32.0,32.0,0.4427569508552551,83.56677496340126,5464.7470703125,,,,,
20,1,20,0.0,32.0,32.0,0.5023490190505981,80.50137799000368,5181.57666015625,,,,,
21,1,21,0.0,32.0,32.0,0.5633445978164673,87.66599197406322,5663.0908203125,,,,,
22,1,22,0.0,32.0,32.0,0.7114415168762207,88.46154098864645,5391.634765625,,,,,
23,1,23,0.0,32.0,32.0,0.6004972457885742,93.8007069635205,5540.95556640625,,,,,
24,1,24,0.0,32.0,32.0,0.5710879564285278,102.32066200114787,5525.2880859375,,,,,
25,1,25,0.0,32.0,32.0,0.5018419623374939,103.66884799441323,5568.814453125,,,,,
26,1,26,0.0,32.0,32.0,0.6157350540161133,93.07134500704706,5525.2880859375,,,,,
27,1,27,0.0,32.0,32.0,0.5640360713005066,90.78843495808542,5663.0908203125,,,,,
28,1,28,0.0,32.0,32.0,0.5450748205184937,86.50917594786733,5568.814453125,,,,,
29,1,29,0.0,32.0,32.0,0.5591480135917664,83.78819399513304,5663.0908203125,,,,,
30,1,30,0.0,32.0,32.0,0.584416389465332,85.0954070338048,5391.634765625,,,,,
31,1,31,0.0,32.0,32.0,0.45891883969306946,81.46502199815586,5242.39404296875,,,,,
32,1,32,0.0,32.0,32.0,0.531615674495697,89.9811330018565,5673.36279296875,,,,,
33,1,33,0.0,32.0,32.0,0.5960473418235779,97.04369801329449,5719.1513671875,,,,,
34,1,34,0.0,32.0,32.0,0.46933770179748535,93.31965900491923,5412.65966796875,,,,,
35,1,35,0.0,32.0,32.0,0.4750562310218811,106.09369399026036,5782.55126953125,,,,,
36,1,36,0.0,32.0,32.0,0.6384778618812561,94.50938901863992,5412.65966796875,,,,,
37,1,37,0.0,32.0,32.0,0.43179717659950256,91.63760498631746,5525.2880859375,,,,,
38,1,38,0.0,32.0,32.0,0.6671625971794128,86.91611996619031,5356.3525390625,,,,,
39,1,39,0.0,32.0,32.0,0.5920225381851196,85.1906820316799,5540.95556640625,,,,,
40,1,40,0.0,32.0,32.0,0.6137512922286987,87.05482701770961,5663.0908203125,,,,,
41,1,41,0.0,32.0,32.0,0.49634870886802673,89.08948098542169,5587.9560546875,,,,,
42,1,42,0.0,32.0,32.0,0.5264520049095154,89.4110010121949,5673.36279296875,,,,,
43,1,43,0.0,32.0,32.0,0.5058766007423401,103.35549199953675,6240.8994140625,,,,,
44,1,44,0.0,32.0,32.0,0.5693525075912476,94.51026795431972,5656.82421875,,,,,
45,1,45,0.0,32.0,32.0,0.4729166626930237,95.67074297228828,5523.90234375,,,,,
46,1,46,0.0,32.0,32.0,0.5575131773948669,97.23996301181614,5523.90234375,,,,,
47,1,47,0.0,32.0,32.0,0.37433159351348877,89.30238801985979,5178.90478515625,,,,,
48,1,48,0.0,32.0,32.0,0.6140731573104858,85.93625098001212,5242.197265625,,,,,
49,1,49,0.0,32.0,32.0,0.5191082954406738,83.66073004435748,5304.56640625,,,,,
50,1,50,0.0,32.0,32.0,0.4878610372543335,85.64185799332336,5464.51220703125,,,,,
51,1,51,0.0,32.0,32.0,0.5703091621398926,86.4373100339435,5567.537109375,,,,,
52,1,52,0.0,32.0,32.0,0.3191956877708435,85.05634404718876,5388.0791015625,,,,,
53,1,53,0.0,32.0,32.0,0.350827157497406,87.17607398284599,5464.51220703125,,,,,
54,1,54,0.0,32.0,32.0,0.44192537665367126,87.00630301609635,5416.68310546875,,,,,
55,1,55,0.0,32.0,32.0,0.6966283321380615,96.2915769778192,5727.71337890625,,,,,
56,1,56,0.0,32.0,32.0,0.865634560585022,94.02946301270276,5523.90234375,,,,,
57,1,57,0.0,32.0,32.0,0.6339712142944336,93.0698579759337,5372.90380859375,,,,,
58,1,58,0.0,32.0,32.0,0.48289674520492554,96.82581597007811,5688.587890625,,,,,
59,1,59,0.0,32.0,32.0,0.38546645641326904,88.86119304224849,5354.59765625,,,,,
60,1,60,0.0,32.0,32.0,0.44690409302711487,87.06151199294254,5388.0791015625,,,,,
61,1,61,0.0,32.0,32.0,0.3834938108921051,84.4243600149639,5416.68310546875,,,,,
62,1,62,0.0,32.0,32.0,0.6211799383163452,87.7293610246852,5656.82421875,,,,,
63,1,63,0.0,32.0,32.0,0.3977568745613098,89.82170198578387,5587.67578125,,,,,
64,1,64,0.0,32.0,32.0,0.4396896958351135,85.56283201323822,5354.59765625,,,,,
65,1,65,0.0,32.0,32.0,0.36296969652175903,84.70569300698116,5304.56640625,,,,,
66,1,66,0.0,32.0,32.0,0.408921480178833,88.93825102131814,5416.68310546875,,,,,
67,1,67,0.0,32.0,32.0,0.313450425863266,89.68360896687955,5372.90380859375,,,,,
68,1,68,0.0,32.0,32.0,0.5494425892829895,98.03542599547654,5675.15771484375,,,,,
69,1,69,0.0,32.0,32.0,0.3554794192314148,93.14257901860401,5388.0791015625,,,,,
70,1,70,0.0,32.0,32.0,0.5252944231033325,91.13111603073776,5535.7841796875,,,,,
71,1,71,0.0,32.0,32.0,0.435075044631958,112.58006800198928,6545.49169921875,,,,,
72,1,72,0.0,32.0,32.0,0.47950729727745056,95.83974699489772,5835.28369140625,,,,,
