step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.8950183987617493,445.8991630235687,4666.96923828125,,,,,
2,1,2,0.0,32.0,32.0,0.8127590417861938,128.44534002942964,5843.1640625,,,,,
3,1,3,0.0,32.0,32.0,0.7158921957015991,138.26041400898248,6021.4599609375,,,,,
4,1,4,0.0,32.0,32.0,0.7619789838790894,201.0023749899119,5668.43994140625,,,,,
5,1,5,0.0,32.0,32.0,0.8051655292510986,88.63296901108697,5791.7158203125,,,,,
6,1,6,0.0,32.0,32.0,0.7046561241149902,90.32703499542549,5908.12158203125,,,,,
7,1,7,0.0,32.0,32.0,0.6892160177230835,91.54677798505872,5968.8017578125,,,,,
8,1,8,0.0,32.0,32.0,0.5468618869781494,91.22247999766842,5908.12158203125,,,,,
9,1,9,0.0,32.0,32.0,0.5323092937469482,93.80300401244313,5960.2216796875,,,,,
10,1,10,0.0,32.0,32.0,0.5250186920166016,96.29519795998931,5603.0087890625,,,,,
11,1,11,0.0,32.0,32.0,0.4871763288974762,109.05412200372666,5908.12158203125,,,,,
12,1,12,0.0,32.0,32.0,0.5537346601486206,106.65965202497318,5818.80126953125,,,,,
13,1,13,0.0,32.0,32.0,0.4189763367176056,135.38745103869587,6118.6083984375,,,,,
14,1,14,0.0,32.0,32.0,0.8169118165969849,92.56231103790924,5475.54638671875,,,,,
15,1,15,0.0,32.0,32.0,0.4949944317340851,89.07777402782813,5603.0087890625,,,,,
16,1,16,0.0,32.0,32.0,1.1345077753067017,89.08132498618215,5668.43994140625,,,,,
17,1,17,0.0,32.0,32.0,0.6906307935714722,89.32140999240801,5668.43994140625,,,,,
18,1,18,0.0,32.0,32.0,0.83491051197052,90.93521599425003,5871.0732421875,,,,,
19,1,19,0.0,32.0,32.0,0.5577441453933716,97.11427695583552,5960.2216796875,,,,,
20,1,20,0.0,32.0,32.0,0.5804215669631958,108.96905302070081,6215.1025390625,,,,,
21,1,21,0.0,32.0,32.0,0.5921694040298462,97.1428620396182,5582.359375,,,,,
22,1,22,0.0,32.0,32.0,0.5126698017120361,106.44651501206681,5668.43994140625,,,,,
23,1,23,0.0,32.0,32.0,0.564967691898346,111.41276301350445,5791.7158203125,,,,,
24,1,24,0.0,32.0,32.0,0.6366065144538879,104.82542496174574,6021.4599609375,,,,,
25,1,25,0.0,32.0,32.0,0.5823346376419067,93.21503899991512,5791.7158203125,,,,,
26,1,26,0.0,32.0,32.0,0.5488380193710327,92.57407498080283,5791.7158203125,,,,,
27,1,27,0.0,32.0,32.0,0.5382754802703857,89.68938101315871,5639.62255859375,,,,,
