step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.8114414215087891,674.9387619784102,15324.478515625,,,,,
2,1,2,0.0,128.0,128.0,0.8413572311401367,320.7091739750467,15768.97216796875,,,,,
3,1,3,0.0,128.0,128.0,0.8227677345275879,392.6182150025852,15630.9052734375,,,,,
4,1,4,0.0,128.0,128.0,0.769837498664856,421.8495980021544,16192.18408203125,,,,,
5,1,5,0.0,128.0,128.0,0.731987714767456,331.8980860058218,16784.79345703125,,,,,
6,1,6,0.0,128.0,128.0,0.6629019975662231,403.08824996463954,15905.41845703125,,,,,
7,1,7,0.0,128.0,128.0,0.6247076988220215,284.81860901229084,14891.77490234375,,,,,
8,1,8,0.0,128.0,128.0,0.6107598543167114,282.93707995908335,14891.77490234375,,,,,
9,1,9,0.0,128.0,128.0,0.6269152760505676,407.8582469956018,16786.0556640625,,,,,
10,1,10,0.0,128.0,128.0,0.7032902240753174,306.2935849884525,15529.60791015625,,,,,
11,1,11,0.0,128.0,128.0,0.6030616164207458,374.5936449849978,17943.69287109375,,,,,
12,1,12,0.0,128.0,128.0,0.610761821269989,352.6292439782992,15529.60791015625,,,,,
13,1,13,0.0,128.0,128.0,0.5978633761405945,299.65876799542457,15177.6494140625,,,,,
14,1,14,0.0,128.0,128.0,0.554689347743988,307.08103999495506,15308.15283203125,,,,,
15,1,15,0.0,128.0,128.0,0.6424269676208496,348.72673702193424,15529.60791015625,,,,,
16,1,16,0.0,128.0,128.0,0.6053816676139832,316.6291679954156,15630.9052734375,,,,,
17,1,17,0.0,128.0,128.0,0.5741287469863892,302.24634800106287,15038.84716796875,,,,,
18,1,18,0.0,128.0,128.0,0.5432430505752563,333.88019201811403,15038.84716796875,,,,,
19,1,19,0.0,128.0,128.0,0.6483171582221985,303.6825999733992,14891.77490234375,,,,,
20,1,20,0.0,128.0,128.0,0.45012474060058594,321.90065999748185,15905.41845703125,,,,,
21,1,21,0.0,128.0,128.0,0.5096677541732788,351.52638104045764,16047.17333984375,,,,,
22,1,22,0.0,128.0,128.0,0.5009421706199646,324.5883719646372,15630.9052734375,,,,,
23,1,23,0.0,128.0,128.0,0.47504326701164246,382.1260130498558,18079.32958984375,,,,,
24,1,24,0.0,128.0,128.0,0.4397539794445038,352.3027410265058,16047.17333984375,,,,,
25,1,25,0.0,128.0,128.0,0.47946488857269287,321.59251399571076,15630.9052734375,,,,,
