step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.7118581533432007,644.7000749758445,13923.21728515625,,,,,
2,1,2,0.0,128.0,128.0,0.7135012745857239,341.0027719801292,16192.49951171875,,,,,
3,1,3,0.0,128.0,128.0,0.6954048275947571,407.4269090197049,16191.5908203125,,,,,
4,1,4,0.0,128.0,128.0,0.6808992624282837,353.76915999222547,16086.10107421875,,,,,
5,1,5,0.0,128.0,128.0,0.6304274797439575,408.9556559920311,16086.10107421875,,,,,
6,1,6,0.0,128.0,128.0,0.6021209955215454,329.91682400461286,16912.107421875,,,,,
7,1,7,0.0,128.0,128.0,0.63580322265625,501.4895750209689,18109.26708984375,,,,,
8,1,8,0.0,128.0,128.0,0.6118673086166382,291.14118398865685,15503.13916015625,,,,,
9,1,9,0.0,128.0,128.0,0.6314161419868469,396.80677599972114,17968.861328125,,,,,
10,1,10,0.0,128.0,128.0,0.6446393728256226,362.42454004241154,15905.123046875,,,,,
11,1,11,0.0,128.0,128.0,0.5873165130615234,309.3414499890059,15905.123046875,,,,,
12,1,12,0.0,128.0,128.0,0.5604486465454102,330.140742007643,15282.3291015625,,,,,
13,1,13,0.0,128.0,128.0,0.553676962852478,347.5645669968799,15634.703125,,,,,
14,1,14,0.0,128.0,128.0,0.6230447292327881,295.5881420057267,15033.4873046875,,,,,
15,1,15,0.0,128.0,128.0,0.45678332448005676,361.06184299569577,16599.51611328125,,,,,
16,1,16,0.0,128.0,128.0,0.7900780439376831,334.5824749558233,15282.3291015625,,,,,
17,1,17,0.0,128.0,128.0,0.7459662556648254,306.08393700094894,15282.3291015625,,,,,
18,1,18,0.0,128.0,128.0,0.643836498260498,327.11257803021,15503.13916015625,,,,,
19,1,19,0.0,128.0,128.0,0.5458754301071167,334.5664789667353,15282.3291015625,,,,,
20,1,20,0.0,128.0,128.0,0.5593373775482178,314.2185719916597,15634.703125,,,,,
21,1,21,0.0,128.0,128.0,0.5806297063827515,325.20638301502913,15503.13916015625,,,,,
22,1,22,0.0,128.0,128.0,0.6007488965988159,339.8408200009726,15772.22216796875,,,,,
23,1,23,0.0,128.0,128.0,0.5273045301437378,415.8226920408197,19011.5576171875,,,,,
24,1,24,0.0,128.0,128.0,0.5504531860351562,321.87441003043205,15033.8935546875,,,,,
25,1,25,0.0,128.0,128.0,0.5852101445198059,323.28244199743494,15282.1416015625,,,,,
26,1,26,0.0,128.0,128.0,0.4713715612888336,318.61250597285107,15635.552734375,,,,,
27,1,27,0.0,128.0,128.0,0.5656635165214539,334.87161702942103,15635.552734375,,,,,
28,1,28,0.0,128.0,128.0,0.542790412902832,334.0387850184925,15635.552734375,,,,,
29,1,29,0.0,84.0,84.0,0.503285825252533,242.60224803583696,12320.478515625,,,,,
30,1,30,0.0,128.0,128.0,0.5327255725860596,311.79232301656157,15635.552734375,,,,,
31,1,31,0.0,128.0,128.0,0.3876804709434509,317.4629040295258,14911.45654296875,,,,,
32,1,32,0.0,128.0,128.0,0.6328442096710205,335.990221996326,16182.3134765625,,,,,
33,1,33,0.0,128.0,128.0,0.8513195514678955,363.08756697690114,16924.732421875,,,,,
34,1,34,0.0,128.0,128.0,0.45993614196777344,336.504339997191,15635.552734375,,,,,
35,1,35,0.0,128.0,128.0,0.37431249022483826,308.19781502941623,15175.2900390625,,,,,
36,1,36,0.0,128.0,128.0,0.4130849540233612,325.1298980321735,15502.44775390625,,,,,
37,1,37,0.0,128.0,128.0,0.4002619981765747,320.99472399568185,15175.2900390625,,,,,
38,1,38,0.0,128.0,128.0,0.42690256237983704,318.3199380291626,15502.44775390625,,,,,
39,1,39,0.0,128.0,128.0,0.3607497215270996,434.166286024265,19013.173828125,,,,,
40,1,40,0.0,128.0,128.0,0.5553716421127319,334.2285070102662,15635.552734375,,,,,
41,1,41,0.0,128.0,128.0,0.5481207370758057,332.99026801250875,15906.8818359375,,,,,
42,1,42,0.0,128.0,128.0,0.4443438947200775,396.26036101253703,17968.83447265625,,,,,
43,1,43,0.0,128.0,128.0,0.3687715530395508,330.0071080448106,15635.552734375,,,,,
44,1,44,0.0,128.0,128.0,0.3325589895248413,344.8493710020557,16182.3134765625,,,,,
45,1,45,0.0,128.0,128.0,0.4903257489204407,380.87336003081873,17493.82861328125,,,,,
46,1,46,0.0,128.0,128.0,0.4703935384750366,327.3596800281666,15771.28466796875,,,,,
47,1,47,0.0,128.0,128.0,0.43215760588645935,325.7331890054047,15771.28466796875,,,,,
48,1,48,0.0,128.0,128.0,0.42248639464378357,393.5996500076726,18110.39208984375,,,,,
49,1,49,0.0,128.0,128.0,0.37471336126327515,336.235128052067,16048.00927734375,,,,,
50,1,50,0.0,128.0,128.0,0.38933253288269043,320.53846801863983,15282.1416015625,,,,,
51,1,51,0.0,128.0,128.0,0.40384191274642944,331.35098102502525,15635.552734375,,,,,
52,1,52,0.0,128.0,128.0,0.32214638590812683,355.0526340259239,16602.28564453125,,,,,
53,1,53,0.0,128.0,128.0,0.27389898896217346,337.83554402180016,16048.00927734375,,,,,
54,1,54,0.0,128.0,128.0,0.3425707221031189,365.08897598832846,16791.4140625,,,,,
55,1,55,0.0,128.0,128.0,0.3538614511489868,321.88263995340094,15502.44775390625,,,,,
56,1,56,0.0,128.0,128.0,0.32841044664382935,324.50360304210335,15502.44775390625,,,,,
57,1,57,0.0,128.0,128.0,0.3592354953289032,323.43847799347714,15282.1416015625,,,,,
58,1,58,0.0,84.0,84.0,0.39655357599258423,207.56876503583044,10727.4404296875,,,,,
59,1,59,0.0,128.0,128.0,0.34031713008880615,304.0238679968752,15502.44775390625,,,,,
60,1,60,0.0,128.0,128.0,0.31250715255737305,337.0846519828774,15906.8818359375,,,,,
61,1,61,0.0,128.0,128.0,0.2722957134246826,433.88251797296107,19013.173828125,,,,,
62,1,62,0.0,128.0,128.0,0.2916734218597412,316.60306599223986,15175.2900390625,,,,,
63,1,63,0.0,128.0,128.0,0.28105226159095764,339.64484999887645,16048.00927734375,,,,,
64,1,64,0.0,128.0,128.0,0.23582002520561218,360.6836139806546,16791.4140625,,,,,
65,1,65,0.0,128.0,128.0,0.20506983995437622,317.8823629859835,15175.2900390625,,,,,
66,1,66,0.0,128.0,128.0,0.20354515314102173,332.8071949654259,15635.552734375,,,,,
67,1,67,0.0,128.0,128.0,0.30571794509887695,389.7723730187863,18110.39208984375,,,,,
68,1,68,0.0,128.0,128.0,0.330372154712677,325.920875009615,15502.44775390625,,,,,
69,1,69,0.0,128.0,128.0,0.26721295714378357,329.3782960390672,15771.28466796875,,,,,
70,1,70,0.0,128.0,128.0,0.3622041940689087,313.82001598831266,15033.8935546875,,,,,
71,1,71,0.0,128.0,128.0,0.29818272590637207,324.90622997283936,15502.44775390625,,,,,
72,1,72,0.0,128.0,128.0,0.3014627695083618,332.59297197218984,15635.552734375,,,,,
73,1,73,0.0,128.0,128.0,0.2740093469619751,361.9497459731065,16791.4140625,,,,,
74,1,74,0.0,128.0,128.0,0.20250457525253296,310.4306730092503,14911.45654296875,,,,,
75,1,75,0.0,128.0,128.0,0.22779348492622375,313.29531798837706,14911.45654296875,,,,,
76,1,76,0.0,128.0,128.0,0.18321368098258972,327.29678199393675,15635.552734375,,,,,
77,1,77,0.0,128.0,128.0,0.22708705067634583,366.8480750056915,16924.732421875,,,,,
78,1,78,0.0,128.0,128.0,0.27049118280410767,325.75238397112116,15502.44775390625,,,,,
79,1,79,0.0,128.0,128.0,0.3054845631122589,353.98740496020764,16602.28564453125,,,,,
80,1,80,0.0,128.0,128.0,0.26045915484428406,317.97915999777615,15175.2900390625,,,,,
81,1,81,0.0,128.0,128.0,0.191396564245224,349.4038379867561,16182.3134765625,,,,,
82,1,82,0.0,128.0,128.0,0.31022173166275024,322.6971389958635,15282.1416015625,,,,,
83,1,83,0.0,128.0,128.0,0.2759336829185486,364.75264898035675,16924.732421875,,,,,
84,1,84,0.0,128.0,128.0,0.30971890687942505,381.8894299911335,17493.82861328125,,,,,
85,1,85,0.0,128.0,128.0,0.2692728638648987,339.05178401619196,16048.00927734375,,,,,
86,1,86,0.0,128.0,128.0,0.2031191885471344,336.88972995150834,15906.8818359375,,,,,
87,1,87,0.0,84.0,84.0,0.2848566472530365,210.26805695146322,10893.0068359375,,,,,
88,1,88,0.0,128.0,128.0,0.19736768305301666,305.62977597583085,15502.44775390625,,,,,
89,1,89,0.0,128.0,128.0,0.12639138102531433,361.5889420034364,16924.732421875,,,,,
90,1,90,0.0,128.0,128.0,0.1297735571861267,383.0056900042109,17493.82861328125,,,,,
91,1,91,0.0,128.0,128.0,0.18368062376976013,330.3479209425859,15635.552734375,,,,,
92,1,92,0.0,128.0,128.0,0.19783596694469452,317.69085000269115,15033.8935546875,,,,,
93,1,93,0.0,128.0,128.0,0.24037037789821625,309.93175000185147,14473.234375,,,,,
94,1,94,0.0,128.0,128.0,0.1904301941394806,326.20203000260517,15282.1416015625,,,,,
95,1,95,0.0,128.0,128.0,0.21938422322273254,337.24857500055805,15906.8818359375,,,,,
96,1,96,0.0,128.0,128.0,0.17160867154598236,351.74581699538976,16182.3134765625,,,,,
97,1,97,0.0,128.0,128.0,0.17573289573192596,318.69240099331364,15033.8935546875,,,,,
98,1,98,0.0,128.0,128.0,0.13469375669956207,315.66796300467104,15175.2900390625,,,,,
99,1,99,0.0,128.0,128.0,0.18864935636520386,332.8508760314435,15635.552734375,,,,,
100,1,100,0.0,128.0,128.0,0.19387365877628326,399.67598899966106,17968.83447265625,,,,,
100,1,,1.0,128.0,128.0,,399.67598899966106,17968.83447265625,0.875,0.2643927372992039,0.9473827699018539,0.15332485529883155,0.07238276990185388
