step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.8896951079368591,424.58446900127456,3932.7861328125,,,,,
2,1,2,0.0,32.0,32.0,0.7905956506729126,140.10900299763307,5525.9873046875,,,,,
3,1,3,0.0,32.0,32.0,0.7933421730995178,129.7497019986622,5575.48095703125,,,,,
4,1,4,0.0,32.0,32.0,0.6931785345077515,190.23065001238137,5196.6083984375,,,,,
5,1,5,0.0,32.0,32.0,0.6839711666107178,89.35202198335901,5987.55517578125,,,,,
6,1,6,0.0,32.0,32.0,0.6617185473442078,80.00787498895079,5350.42626953125,,,,,
7,1,7,0.0,32.0,32.0,0.6726576089859009,86.95300802355632,5801.04345703125,,,,,
8,1,8,0.0,32.0,32.0,0.6508173942565918,83.42887298204005,5350.42626953125,,,,,
9,1,9,0.0,32.0,32.0,0.6934242248535156,79.55605699680746,5350.42626953125,,,,,
10,1,10,0.0,32.0,32.0,0.6146667003631592,85.03022597869858,5457.1923828125,,,,,
11,1,11,0.0,32.0,32.0,0.5754346251487732,95.08611197816208,5801.04345703125,,,,,
12,1,12,0.0,32.0,32.0,0.6782784461975098,88.93949200864881,5329.06103515625,,,,,
13,1,13,0.0,32.0,32.0,0.7753936052322388,109.08153199125081,5551.76953125,,,,,
14,1,14,0.0,32.0,32.0,0.5730356574058533,108.15566999372095,5397.58642578125,,,,,
15,1,15,0.0,32.0,32.0,0.5409466028213501,97.72589697968215,5846.41650390625,,,,,
16,1,16,0.0,32.0,32.0,0.5619519948959351,88.27625901903957,5609.65380859375,,,,,
17,1,17,0.0,32.0,32.0,0.7026278972625732,84.1142000281252,5482.3154296875,,,,,
18,1,18,0.0,32.0,32.0,0.6212025880813599,92.12241100613028,5987.00830078125,,,,,
19,1,19,0.0,32.0,32.0,0.6328465342521667,80.87423199322075,5379.59228515625,,,,,
20,1,20,0.0,32.0,32.0,0.720595121383667,83.77898397156969,5532.35400390625,,,,,
21,1,21,0.0,32.0,32.0,0.6270592212677002,83.6046559852548,5397.58642578125,,,,,
22,1,22,0.0,32.0,32.0,0.6889289617538452,90.77032800996676,5379.59228515625,,,,,
23,1,23,0.0,32.0,32.0,0.6803525686264038,94.20019603567198,5379.59228515625,,,,,
24,1,24,0.0,32.0,32.0,0.6874874234199524,97.98178600613028,5329.06103515625,,,,,
25,1,25,0.0,32.0,32.0,0.656029462814331,100.49970203544945,5652.4267578125,,,,,
26,1,26,0.0,32.0,32.0,0.6719791889190674,94.40059500047937,5708.4931640625,,,,,
27,1,27,0.0,32.0,32.0,0.6857230067253113,87.27261598687619,5397.58642578125,,,,,
28,1,28,0.0,32.0,32.0,0.6529750823974609,83.00376503029838,5457.1923828125,,,,,
29,1,29,0.0,32.0,32.0,0.6492800116539001,86.6449240129441,5652.4267578125,,,,,
30,1,30,0.0,32.0,32.0,0.6841846108436584,80.7685159961693,5329.06103515625,,,,,
31,1,31,0.0,32.0,32.0,0.6013025641441345,80.75021597323939,5329.06103515625,,,,,
32,1,32,0.0,32.0,32.0,0.5989439487457275,85.43393504805863,5457.1923828125,,,,,
33,1,33,0.0,32.0,32.0,0.6347280740737915,89.97729694237933,5482.3154296875,,,,,
34,1,34,0.0,32.0,32.0,0.6105713844299316,99.99190201051533,5677.21484375,,,,,
35,1,35,0.0,32.0,32.0,0.6259939074516296,102.67529997508973,5677.21484375,,,,,
36,1,36,0.0,32.0,32.0,0.5267356634140015,94.47765297954902,5397.58642578125,,,,,
37,1,37,0.0,32.0,32.0,0.7370285987854004,107.14506899239495,6317.96435546875,,,,,
38,1,38,0.0,32.0,32.0,0.5283417105674744,91.37013700092211,5648.0830078125,,,,,
39,1,39,0.0,32.0,32.0,0.5272340774536133,84.59789300104603,5395.10107421875,,,,,
40,1,40,0.0,32.0,32.0,0.5538680553436279,87.65194803709164,5648.0830078125,,,,,
41,1,41,0.0,32.0,32.0,0.7103297710418701,81.76306902896613,5332.38916015625,,,,,
42,1,42,0.0,32.0,32.0,0.5862962007522583,80.18316299421713,5192.24853515625,,,,,
43,1,43,0.0,32.0,32.0,0.6291862726211548,88.0363619653508,5577.27001953125,,,,,
44,1,44,0.0,32.0,32.0,0.5487162470817566,109.15275401202962,6253.19921875,,,,,
45,1,45,0.0,32.0,32.0,0.6828264594078064,99.88727199379355,5674.642578125,,,,,
