step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.7076371908187866,606.8151849904098,14135.01171875,,,,,
2,1,2,0.0,128.0,128.0,0.7103306651115417,310.9129890217446,15202.10498046875,,,,,
3,1,3,0.0,128.0,128.0,0.7035441398620605,376.4838049537502,15202.65087890625,,,,,
4,1,4,0.0,128.0,128.0,0.6976832151412964,304.77272800635546,14644.54833984375,,,,,
5,1,5,0.0,128.0,128.0,0.6907816529273987,298.73318097088486,15202.65087890625,,,,,
6,1,6,0.0,128.0,128.0,0.6786285042762756,380.988813994918,15067.2646484375,,,,,
7,1,7,0.0,128.0,128.0,0.6594974994659424,288.38454000651836,15067.2646484375,,,,,
8,1,8,0.0,128.0,128.0,0.6502852439880371,330.99745196523145,15202.65087890625,,,,,
9,1,9,0.0,128.0,128.0,0.6352410316467285,333.6396759841591,15718.55224609375,,,,,
10,1,10,0.0,128.0,128.0,0.6614766120910645,286.30949900252745,15067.2646484375,,,,,
11,1,11,0.0,128.0,128.0,0.6060808897018433,388.6901360237971,17538.6181640625,,,,,
12,1,12,0.0,128.0,128.0,0.7149087190628052,302.2371209808625,14538.41748046875,,,,,
13,1,13,0.0,128.0,128.0,0.5813164114952087,280.373191984836,14825.82763671875,,,,,
14,1,14,0.0,128.0,128.0,0.6176124811172485,319.8199259932153,15558.49951171875,,,,,
15,1,15,0.0,128.0,128.0,0.5366960763931274,331.6290610237047,15439.033203125,,,,,
16,1,16,0.0,128.0,128.0,0.5875022411346436,289.80888397200033,15067.2646484375,,,,,
17,1,17,0.0,128.0,128.0,0.582423985004425,307.4505780241452,15202.65087890625,,,,,
18,1,18,0.0,128.0,128.0,0.6281713247299194,467.42679103044793,18685.77734375,,,,,
19,1,19,0.0,128.0,128.0,0.5469777584075928,355.69132899399847,17719.15771484375,,,,,
20,1,20,0.0,128.0,128.0,0.48302972316741943,359.64431799948215,16361.134765625,,,,,
21,1,21,0.0,128.0,128.0,0.6653081178665161,303.2797229825519,14932.34423828125,,,,,
22,1,22,0.0,128.0,128.0,0.497977614402771,307.00410302961245,15664.01123046875,,,,,
