step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.8970433920621872,53.0,74.0,0.7162162162162162,11.0,42.0,0.20754716981132076,0.7924528301886793,0.15171956967897934,0.14284485060220856,0.15404390086575268,0.0,0.6,0.0033914772,1.000000000005574,0.6499368386057321,6.183704312603851e-08,11.0,42.0,0.5849056603773585,3.8181818181818183,1.0,0.736767981148578,0.5106886488599798,2.0,0.5171556167698327,-0.0008293711321927145,0.5004146855660964,-0.000580342712247359,1054.225186991971,4555.7724609375,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.8389268666505814,56.0,74.0,0.7567567567567568,6.0,50.0,0.10714285714285714,0.8928571428571429,0.15134513803065783,0.14583429608100426,0.15200643906461622,0.0,0.6,0.0033914772,1.000000000059898,0.6430439517282902,-2.0603652641578633e-08,6.0,50.0,0.7857142857142857,8.333333333333334,1.0,0.49123731297043294,0.34049975847129904,2.0,0.5109311801179769,-0.0021881431888687076,0.5010940715944343,-0.011079892380866119,531.7243449972011,5023.75732421875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.7099535092711449,64.0,74.0,0.8648648648648649,8.0,56.0,0.125,0.875,0.1501929201910529,0.1453856539404161,0.15087967251257245,0.0,0.6,0.0033914772,1.0000000000915434,0.6416631086764759,4.489513974574823e-09,8.0,56.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5069131919011902,-7.724742023281782e-05,0.5000386237101164,0.0025999566753186552,593.6217139824294,5106.4375,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.7520802170038223,58.0,74.0,0.7837837837837838,11.0,47.0,0.1896551724137931,0.8103448275862069,0.1500285101335453,0.14353489409872203,0.1515482926097805,0.0,0.6,0.0033914772,0.9999999999202667,0.6549910472511785,1.4433207510584048e-08,11.0,47.0,0.6206896551724138,4.2727272727272725,1.0,0.7007495208623058,0.4857225546644398,2.0,0.5097569972819774,-0.0011067143983305705,0.5005533571991653,0.003918170088292733,478.02776703611016,5013.80322265625,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.7749482095241547,45.0,74.0,0.6081081081081081,10.0,35.0,0.2222222222222222,0.7777777777777778,0.15191254871725274,0.1447394361337942,0.15396200945538374,0.0,0.6,0.0033914772,0.9999999999739873,0.6511867345882656,-2.3156340159183254e-08,10.0,35.0,0.5555555555555556,3.5,1.0,0.7642044776547198,0.5297061790576547,2.0,0.5161332546142472,0.0006326776835104605,0.49968366115824475,-0.0007091350499048285,459.8580300225876,4893.35595703125,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6737987101078033,34.0,74.0,0.4594594594594595,5.0,29.0,0.14705882352941177,0.8529411764705882,0.15172028446114263,0.14418748599199555,0.15301904281789214,0.0,0.6,0.0033914772,1.0000000001268161,0.6585358141686249,1.762337709641858e-08,5.0,29.0,0.7058823529411765,5.8,1.0,0.6024307731865449,0.41757319191680153,2.0,0.5137315219371587,-0.0027636966742965933,0.5013818483371483,0.0015041336160774895,457.107252033893,4781.04638671875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.7284088060259819,15.0,74.0,0.20270270270270271,3.0,12.0,0.2,0.8,0.15128896962120322,0.1443396995065448,0.1530262871498678,0.0,0.6,0.0033914772,1.0000000000068947,0.6598896409594407,1.7205942767350914e-09,3.0,12.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5129910029195288,-0.00013097332513374886,0.5000654866625669,-0.0004913733062405533,442.93652300257236,4697.4189453125,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.5466588400304317,37.0,74.0,0.5,6.0,31.0,0.16216216216216217,0.8378378378378378,0.1520896104176641,0.14360930071398476,0.15373096068289238,0.0,0.6,0.0033914772,0.999999999683057,0.6488734586450621,-7.235350104749412e-09,6.0,31.0,0.6756756756756757,5.166666666666667,1.0,0.6394571036312638,0.4432378884710393,2.0,0.5158989862003754,3.575562714970493e-05,0.4999821221864251,-0.003676448229166662,453.57502094702795,4806.35888671875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.5309914611279964,32.0,74.0,0.43243243243243246,5.0,27.0,0.15625,0.84375,0.1496417842198125,0.13714890343829494,0.15195528066083422,0.0,0.6,0.0033914772,0.9999999976258342,0.657443785668832,2.2507308050175476e-08,5.0,27.0,0.6875,5.4,1.0,0.6252623763695226,0.433398853290746,2.0,0.5142208771291172,0.0005124324207634692,0.49974378378961826,-0.004302699541548263,455.66836098441854,4788.76708984375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.5682905726134777,12.0,74.0,0.16216216216216217,4.0,8.0,0.3333333333333333,0.6666666666666666,0.14821134288094717,0.14411625205162062,0.15025888829561046,0.0,0.6,0.0033914772,1.00000000001008,0.6641237759015775,-1.1506867382736673e-09,4.0,8.0,0.3333333333333333,2.0,1.0,0.918295805200589,0.636514148294813,2.0,0.5104124237466622,-0.001389918164932169,0.5006949590824661,-0.0013789968613076137,437.9642669809982,4686.8916015625,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.5455500688403845,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6654430098431533,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,437.98139196587726,4684.078125,,,,,,,,,,
