step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.8097552340477705,55.0,74.0,0.7432432432432432,5.0,50.0,0.09090909090909091,0.9090909090909091,0.1506613172677943,0.14525587219573297,0.15120186177500045,0.0,0.6,0.006455274515261806,1.0000000000004405,0.6489589668980938,4.349246781004472e-09,5.0,50.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5073074434736695,-0.0067965490963209415,0.5033982745481604,-0.002568863812835072,2239.521997049451,8634.3330078125,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7484020926058292,51.0,74.0,0.6891891891891891,3.0,48.0,0.058823529411764705,0.9411764705882353,0.15097641296392408,0.14430050714902956,0.151393657077355,0.0,0.6,0.006455274515261806,0.9999999999849495,0.6501149483210902,7.292620740498095e-09,3.0,48.0,0.8823529411764706,16.0,1.0,0.3227569300434987,0.22371805606583461,2.0,0.5078524643966548,-0.00012310305845335246,0.5000615515292267,-0.006771725134742434,1663.5470910696313,9042.16064453125,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6408398244529963,25.0,74.0,0.33783783783783783,2.0,23.0,0.08,0.92,0.15089918155155363,0.14474415307519042,0.15143440141906347,0.0,0.6,0.006455274515261806,1.0000000000088998,0.6600459212602021,5.258361146800255e-10,2.0,23.0,0.84,11.5,1.0,0.40217916134837295,0.278769351768588,2.0,0.5079753833079795,-0.0010785752376384372,0.5005392876188193,-0.004431312855754424,1718.9363559009507,8787.8076171875,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6559483027085662,28.0,74.0,0.3783783783783784,0.0,28.0,0.0,1.0,0.15030656036670118,0.0,0.15030656036670118,0.0,0.6,0.006455274515261806,1.0000000000202858,0.6520862545264813,-1.9065029126307387e-09,0.0,28.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5031461356548065,-0.0003891201237678712,0.5001945600618839,nan,1603.5186280496418,8795.7421875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6372516015544534,52.0,74.0,0.7027027027027027,0.0,52.0,0.0,1.0,0.15048431701225473,0.0,0.15048431701225473,0.0,0.6,0.006455274515261806,1.0000000004073042,0.6649853979713476,5.2509518776326455e-09,0.0,52.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5036438865660778,-1.280257475584568e-05,0.5000064012873779,nan,1605.304220924154,9053.1337890625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6075571998953819,55.0,74.0,0.7432432432432432,0.0,55.0,0.0,1.0,0.15020211889022295,0.0,0.15020211889022295,0.0,0.6,0.006455274515261806,1.0000000006677352,0.6692587579277162,-1.0440657308232504e-08,0.0,55.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5028515879978626,1.4698481231235058e-05,0.49999265075938437,nan,1614.2624240601435,9076.89306640625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6214976031333208,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.15052634834633363,0.0,0.15052634834633363,0.0,0.6,0.006455274515261806,1.0000000005515892,0.6618913525252125,-8.337927404643157e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5040979185957991,-2.265522464729426e-05,0.5000113276123237,nan,1612.2257830575109,9004.0732421875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.5985686173662543,30.0,74.0,0.40540540540540543,2.0,28.0,0.06666666666666667,0.9333333333333333,0.1510240606621206,0.14339312399359105,0.15156912756701554,0.0,0.6,0.006455274515261806,1.0000000000236358,0.6776485040673609,9.712630911217067e-10,2.0,28.0,0.8666666666666667,14.0,1.0,0.35335930616752154,0.24493000679463606,2.0,0.5083537555167452,-0.00047304789910501823,0.5002365239495525,-0.010585988586791526,1604.7752948943526,8825.8505859375,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.606498247012496,21.0,74.0,0.28378378378378377,1.0,20.0,0.047619047619047616,0.9523809523809523,0.14996874806772645,0.1464306928169234,0.1501456508302666,0.0,0.6,0.006455274515261806,1.0000000000897675,0.6860193291313981,1.7161560594981431e-09,1.0,20.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5034106769893214,-0.0006740440215861841,0.5003370220107931,-0.004046861018850571,1603.3705619629472,8792.20947265625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6625716369599104,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.15057793513397094,0.0,0.15057793513397094,0.0,0.6,0.006455274515261806,0.9999999999946397,0.6687752420917451,2.2086943962024903e-10,0.0,16.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5025581000666914,-0.0004917369780900037,0.500245868489045,nan,1598.7044469220564,8746.158203125,,,,,,,,,,
