step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.8097552340477705,54.0,74.0,0.7297297297297297,5.0,49.0,0.09259259259259259,0.9074074074074074,0.2070785542482596,0.19972682426913285,0.20782873077674194,0.0,0.6,0.008,0.9999999999987327,0.6489589684932721,1.548995705936251e-08,5.0,49.0,0.8148148148148148,9.8,1.0,0.4450648281969386,0.3084954308311044,2.0,0.5072061699141616,-0.006830033832835509,0.5034150169164178,-0.004793189845200471,2237.425379920751,8632.5830078125,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7484020926058292,49.0,74.0,0.6621621621621622,3.0,46.0,0.061224489795918366,0.9387755102040817,0.2077624603862508,0.1984134328060159,0.2083721795762661,0.0,0.6,0.008,0.9999999999981088,0.6501149688828198,2.9123547571663016e-09,3.0,46.0,0.8775510204081632,15.333333333333334,1.0,0.33228660136771543,0.2303235208758784,2.0,0.5078948274211861,-0.00012536149236862316,0.5000626807461843,-0.009276537862146878,1660.6082529760897,9034.73486328125,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6408253163099289,22.0,74.0,0.2972972972972973,2.0,20.0,0.09090909090909091,0.9090909090909091,0.2071604160263196,0.19901259006909788,0.20797519862204167,0.0,0.6,0.008,1.0000000000188558,0.6600472676263663,1.2353269826458707e-09,2.0,20.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5077882266094772,-0.0011841967879306701,0.5005920983939653,-0.006067741852678252,1715.606187004596,8781.396484375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6559655396267772,25.0,74.0,0.33783783783783783,0.0,25.0,0.0,1.0,0.20661255472246828,0.0,0.20661255472246828,0.0,0.6,0.008,1.00000000000059,0.6521730987781166,-1.3899021896110325e-09,0.0,25.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032390162492386,-0.0005190613462925992,0.5002595306731463,nan,1606.4975439803675,8784.1142578125,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6373615907505155,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.20695810342004592,0.0,0.20695810342004592,0.0,0.6,0.008,1.000000000293893,0.6648732744458443,-3.455075582618798e-09,0.0,49.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5036008398592697,-5.216066215996493e-05,0.50002608033108,nan,1614.1192640643567,9019.91650390625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6075557982549071,53.0,74.0,0.7162162162162162,0.0,53.0,0.0,1.0,0.20645147573511055,0.0,0.20645147573511055,0.0,0.6,0.008,1.0000000000691955,0.6697754827807872,7.225866801615109e-09,0.0,53.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5027712634936132,-1.7332984734404804e-05,0.5000086664923672,nan,1604.6274789841846,9092.501953125,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.62161023914814,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.2069921868993528,0.0,0.2069921868993528,0.0,0.6,0.008,0.9999999990962637,0.6616468274255223,2.9398597404481196e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5041219320643766,-3.1289171499633035e-05,0.5000156445857498,nan,1598.3535259729251,9002.5029296875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.5985713237896562,28.0,74.0,0.3783783783783784,2.0,26.0,0.07142857142857142,0.9285714285714286,0.20770472632302953,0.197096933180404,0.20852071041092377,0.0,0.6,0.008,1.0000000000295175,0.677376506743591,-7.184557532177408e-10,2.0,26.0,0.8571428571428571,13.0,1.0,0.3712322977869758,0.2573186205438323,2.0,0.5084380963524038,-0.00045747400835801884,0.500228737004179,-0.010443599688280973,1592.3934250604361,8792.6416015625,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6053938250988722,21.0,74.0,0.28378378378378377,1.0,20.0,0.047619047619047616,0.9523809523809523,0.2063255020172309,0.2002191538882986,0.2066308194236775,0.0,0.6,0.008,0.9999999999793695,0.6859365324849237,-1.5080383265574957e-09,1.0,20.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5033738309799215,-0.0006130342170756926,0.5003065171085378,-0.0037648392972921647,1596.7218140140176,8788.2119140625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6617239629849792,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.20703827969236976,0.0,0.20703827969236976,0.0,0.6,0.008,1.0000000001399973,0.6695328404232535,-8.483392680856495e-10,0.0,16.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5024990191316308,-0.0005897134833503515,0.5002948567416752,nan,1590.3115409892052,8745.1083984375,,,,,,,,,,
