step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.8097552340477705,54.0,74.0,0.7297297297297297,5.0,49.0,0.09259259259259259,0.9074074074074074,0.15055960926505818,0.145594460919695,0.15106625705540136,0.0,0.6,0.008,0.9999999999953556,0.6489589694594529,9.609738413427013e-09,5.0,49.0,0.8148148148148148,9.8,1.0,0.4450648281969386,0.3084954308311044,2.0,0.5066918475830491,-0.006830032602975939,0.503415016301488,-0.004793189238901629,2303.3532339613885,8632.5830078125,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7484020926058292,49.0,74.0,0.6621621621621622,3.0,46.0,0.061224489795918366,0.9387755102040817,0.15102145378410908,0.1447068021153756,0.1514332788929395,0.0,0.6,0.008,1.0000000000210763,0.6501149449016945,-9.007098565950042e-09,3.0,46.0,0.8775510204081632,15.333333333333334,1.0,0.33228660136771543,0.2303235208758784,2.0,0.5073322620419395,-0.00012533756167199092,0.500062668780836,-0.00927594377990734,1658.803376951255,9034.73486328125,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6407998595386744,22.0,74.0,0.2972972972972973,2.0,20.0,0.09090909090909091,0.9090909090909091,0.15060743896280282,0.14511729794574646,0.15115645306450848,0.0,0.6,0.008,0.9999999999885878,0.6600621847134812,4.4864984723769807e-10,2.0,20.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5072510615073484,-0.0012022180127955618,0.5006011090063978,-0.006039801847268421,1713.4134400403127,8781.396484375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6558433035388589,25.0,74.0,0.33783783783783783,0.0,25.0,0.0,1.0,0.1502456926267816,0.0,0.1502456926267816,0.0,0.6,0.008,1.0000000000140592,0.6520697508928108,-4.3161099980261575e-09,0.0,25.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5030305617175063,-0.0005222985540361454,0.500261149277018,nan,1614.9481849279255,8784.1142578125,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6372513473033905,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.15047900576472015,0.0,0.15047900576472015,0.0,0.6,0.008,1.0000000001885865,0.6648453495277157,2.529676077892607e-09,0.0,49.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5033753793059991,-5.157885762393383e-05,0.5000257894288119,nan,1616.653149947524,9019.91650390625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6077055688947439,53.0,74.0,0.7162162162162162,0.0,53.0,0.0,1.0,0.15014342015838344,0.0,0.15014342015838344,0.0,0.6,0.008,0.9999999996082214,0.6696472174050874,4.641197768408164e-09,0.0,53.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5025843346297262,-1.9669150316000042e-05,0.500009834575158,nan,1604.218035005033,9092.501953125,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6215319726616144,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.15050613659525428,0.0,0.15050613659525428,0.0,0.6,0.008,1.0000000009080892,0.6617025043850345,-9.655590545208995e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5038485261955703,-2.8292603950352877e-05,0.5000141463019752,nan,1598.4834129922092,9002.5029296875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.5985612608492374,28.0,74.0,0.3783783783783784,2.0,26.0,0.07142857142857142,0.9285714285714286,0.15099115630275337,0.1437940748801017,0.15154477795064966,0.0,0.6,0.008,1.000000000172986,0.6771299739029975,2.3858360619574844e-09,2.0,26.0,0.8571428571428571,13.0,1.0,0.3712322977869758,0.2573186205438323,2.0,0.507855984596837,-0.0004818858985425875,0.5002409429492712,-0.010547593059217663,1593.5351810185239,8792.6416015625,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6051266863942146,21.0,74.0,0.28378378378378377,1.0,20.0,0.047619047619047616,0.9523809523809523,0.15004301468618347,0.14610875439162277,0.1502397277009115,0.0,0.6,0.008,0.9999999999582452,0.6861025184044048,2.0319997693905218e-10,1.0,20.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5030944803321316,-0.0006229147254723868,0.5003114573627362,-0.003797126643801653,1594.2619499983266,8788.2119140625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6614784114062786,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.15054874981802258,0.0,0.15054874981802258,0.0,0.6,0.008,0.9999999999931833,0.669990350967509,2.0684836400495202e-10,0.0,16.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5023809839873096,-0.0006033250822877998,0.5003016625411439,nan,1595.3501410549507,8745.1083984375,,,,,,,,,,
