step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7061344385147095,478.1244790065102,6168.9111328125,,,,,
2,1,2,0.0,32.0,32.0,0.6953562498092651,162.6563469762914,7769.7900390625,,,,,
3,1,3,0.0,32.0,32.0,0.6946957111358643,126.17040902841836,7769.0400390625,,,,,
4,1,4,0.0,32.0,32.0,0.6991574764251709,124.94869297370315,7769.0400390625,,,,,
5,1,5,0.0,32.0,32.0,0.6926690340042114,126.66491098934785,7769.0400390625,,,,,
6,1,6,0.0,32.0,32.0,0.6889224052429199,144.4729799986817,7769.0400390625,,,,,
7,1,7,0.0,32.0,32.0,0.7054349184036255,178.0984989600256,7769.0400390625,,,,,
8,1,8,0.0,32.0,32.0,0.6901564002037048,165.8495879964903,7769.0400390625,,,,,
9,1,9,0.0,32.0,32.0,0.6890271306037903,132.32290704036132,7769.0400390625,,,,,
10,1,10,0.0,32.0,32.0,0.7079417705535889,128.29119601519778,7769.0400390625,,,,,
11,1,11,0.0,32.0,32.0,0.6822897791862488,127.65915202908218,7769.0400390625,,,,,
12,1,12,0.0,32.0,32.0,0.6852972507476807,127.36311799380928,7769.0400390625,,,,,
13,1,13,0.0,32.0,32.0,0.717312753200531,149.79511697310954,7769.0400390625,,,,,
14,1,14,0.0,32.0,32.0,0.701950192451477,162.395094987005,7769.0400390625,,,,,
15,1,15,0.0,32.0,32.0,0.6903290748596191,163.41726202517748,7769.0400390625,,,,,
16,1,16,0.0,32.0,32.0,0.6676028966903687,135.76533400919288,7769.0400390625,,,,,
17,1,17,0.0,32.0,32.0,0.7257717251777649,130.6553750182502,7769.0400390625,,,,,
18,1,18,0.0,32.0,32.0,0.6979457139968872,124.64926595566794,7769.0400390625,,,,,
19,1,19,0.0,32.0,32.0,0.7046376466751099,132.48994096647948,7769.0400390625,,,,,
20,1,20,0.0,32.0,32.0,0.6937202215194702,146.13979402929544,7769.0400390625,,,,,
