step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6890532970428467,489.82728499686345,6011.19189453125,,,,,
2,1,2,0.0,32.0,32.0,0.6814193725585938,155.76275502098724,7496.50732421875,,,,,
3,1,3,0.0,32.0,32.0,0.6932944059371948,118.22659499011934,7495.00732421875,,,,,
4,1,4,0.0,32.0,32.0,0.6882233619689941,119.59193903021514,7495.00732421875,,,,,
5,1,5,0.0,32.0,32.0,0.6936951279640198,118.73442999785766,7495.00732421875,,,,,
6,1,6,0.0,32.0,32.0,0.6789575815200806,119.52805501641706,7495.00732421875,,,,,
7,1,7,0.0,32.0,32.0,0.6835454106330872,162.38741402048618,7495.00732421875,,,,,
8,1,8,0.0,32.0,32.0,0.708808183670044,163.9001930016093,7495.00732421875,,,,,
9,1,9,0.0,32.0,32.0,0.7019914388656616,132.76385801145807,7495.00732421875,,,,,
10,1,10,0.0,32.0,32.0,0.6926928162574768,123.99799400009215,7495.00732421875,,,,,
11,1,11,0.0,32.0,32.0,0.6947813630104065,121.42688303720206,7495.00732421875,,,,,
12,1,12,0.0,32.0,32.0,0.6861730813980103,121.35791999753565,7495.00732421875,,,,,
13,1,13,0.0,32.0,32.0,0.6805442571640015,120.44061603955925,7495.00732421875,,,,,
14,1,14,0.0,32.0,32.0,0.7015612125396729,140.51557698985562,7495.00732421875,,,,,
15,1,15,0.0,32.0,32.0,0.6874743700027466,152.32812298927456,7495.00732421875,,,,,
16,1,16,0.0,32.0,32.0,0.7002965211868286,143.58193898806348,7495.00732421875,,,,,
17,1,17,0.0,32.0,32.0,0.674589991569519,129.8573220265098,7495.00732421875,,,,,
18,1,18,0.0,32.0,32.0,0.6734782457351685,122.81082599656656,7495.00732421875,,,,,
19,1,19,0.0,32.0,32.0,0.6920984983444214,121.72478198772296,7495.00732421875,,,,,
20,1,20,0.0,32.0,32.0,0.6899529695510864,122.40566103719175,7495.00732421875,,,,,
21,1,21,0.0,32.0,32.0,0.6924116611480713,131.59437698777765,7495.00732421875,,,,,
22,1,22,0.0,32.0,32.0,0.6971670389175415,142.52955396659672,7495.00732421875,,,,,
23,1,23,0.0,32.0,32.0,0.6828086376190186,144.83109902357683,7495.00732421875,,,,,
24,1,24,0.0,32.0,32.0,0.6778666973114014,137.1653939713724,7495.00732421875,,,,,
25,1,25,0.0,32.0,32.0,0.7040159702301025,128.43663699459285,7495.00732421875,,,,,
26,1,26,0.0,32.0,32.0,0.6971776485443115,123.86211496777833,7495.00732421875,,,,,
27,1,27,0.0,32.0,32.0,0.6844527721405029,122.76618997566402,7495.00732421875,,,,,
28,1,28,0.0,32.0,32.0,0.7172483205795288,126.54706201283261,7495.00732421875,,,,,
29,1,29,0.0,32.0,32.0,0.702760636806488,134.58996498957276,7495.00732421875,,,,,
30,1,30,0.0,32.0,32.0,0.701370358467102,141.63670100970194,7495.00732421875,,,,,
31,1,31,0.0,32.0,32.0,0.6890335083007812,136.7796899867244,7495.00732421875,,,,,
32,1,32,0.0,32.0,32.0,0.6897190809249878,133.3752710488625,7495.00732421875,,,,,
33,1,33,0.0,32.0,32.0,0.6969005465507507,127.29296099860221,7495.00732421875,,,,,
34,1,34,0.0,32.0,32.0,0.7012979984283447,124.90619299933314,7495.00732421875,,,,,
35,1,35,0.0,32.0,32.0,0.7213910818099976,128.19407996721566,7479.6083984375,,,,,
36,1,36,0.0,32.0,32.0,0.6980714797973633,130.87331998394802,7495.00732421875,,,,,
37,1,37,0.0,32.0,32.0,0.6962727308273315,136.71145995613188,7495.00732421875,,,,,
38,1,38,0.0,32.0,32.0,0.7174873352050781,137.64922198606655,7495.00732421875,,,,,
39,1,39,0.0,32.0,32.0,0.6872783899307251,135.35587704973295,7495.00732421875,,,,,
40,1,40,0.0,32.0,32.0,0.701397180557251,129.9020669539459,7495.00732421875,,,,,
41,1,41,0.0,32.0,32.0,0.7175912857055664,127.23329500295222,7495.00732421875,,,,,
42,1,42,0.0,32.0,32.0,0.6668827533721924,126.87438499415293,7495.00732421875,,,,,
43,1,43,0.0,32.0,32.0,0.693575918674469,128.740017011296,7495.00732421875,,,,,
44,1,44,0.0,32.0,32.0,0.6889440417289734,132.09927099524066,7495.00732421875,,,,,
45,1,45,0.0,32.0,32.0,0.6852264404296875,137.20686599845067,7495.00732421875,,,,,
