step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7061344385147095,474.19152403017506,6168.9111328125,,,,,
2,1,2,0.0,32.0,32.0,0.6953562498092651,166.19741398608312,7769.7900390625,,,,,
3,1,3,0.0,32.0,32.0,0.6949567198753357,126.59446697216481,7769.0400390625,,,,,
4,1,4,0.0,32.0,32.0,0.69889235496521,126.49043003330007,7769.0400390625,,,,,
5,1,5,0.0,32.0,32.0,0.692992091178894,128.5838150070049,7769.0400390625,,,,,
6,1,6,0.0,32.0,32.0,0.6893731355667114,150.79559199512005,7769.0400390625,,,,,
7,1,7,0.0,32.0,32.0,0.7026374340057373,177.37036000471562,7769.0400390625,,,,,
8,1,8,0.0,32.0,32.0,0.6811410784721375,166.0367880249396,7769.0400390625,,,,,
9,1,9,0.0,32.0,32.0,0.667517900466919,127.32852500630543,7769.0400390625,,,,,
10,1,10,0.0,32.0,32.0,0.7047935724258423,127.82051402609795,7769.0400390625,,,,,
11,1,11,0.0,32.0,32.0,0.6571204662322998,127.09531799191609,7769.0400390625,,,,,
12,1,12,0.0,32.0,32.0,0.7003418803215027,131.00235897582024,7769.0400390625,,,,,
13,1,13,0.0,32.0,32.0,0.7791430950164795,153.77954399446025,7769.0400390625,,,,,
14,1,14,0.0,32.0,32.0,0.7290480732917786,165.260927984491,7769.0400390625,,,,,
15,1,15,0.0,32.0,32.0,0.7075150012969971,152.44055102812126,7769.0400390625,,,,,
16,1,16,0.0,32.0,32.0,0.6550692915916443,131.68171601137146,7769.0400390625,,,,,
17,1,17,0.0,32.0,32.0,0.743956446647644,129.18259797152132,7769.0400390625,,,,,
18,1,18,0.0,32.0,32.0,0.6938257217407227,128.01927397958934,7769.0400390625,,,,,
19,1,19,0.0,32.0,32.0,0.6899730563163757,135.57609199779108,7769.0400390625,,,,,
20,1,20,0.0,32.0,32.0,0.6845455169677734,146.5642479597591,7769.0400390625,,,,,
21,1,21,0.0,32.0,32.0,0.692287027835846,161.5317270043306,7769.0400390625,,,,,
22,1,22,0.0,32.0,32.0,0.667843222618103,148.644567001611,7769.0400390625,,,,,
23,1,23,0.0,32.0,32.0,0.6878492832183838,136.156952008605,7769.0400390625,,,,,
24,1,24,0.0,32.0,32.0,0.6710777282714844,130.17918798141181,7769.0400390625,,,,,
25,1,25,0.0,32.0,32.0,0.698800802230835,129.85601101536304,7769.0400390625,,,,,
26,1,26,0.0,32.0,32.0,0.6959790587425232,137.9660609527491,7769.0400390625,,,,,
27,1,27,0.0,32.0,32.0,0.7051471471786499,143.8948450377211,7769.0400390625,,,,,
28,1,28,0.0,32.0,32.0,0.6572328805923462,153.94149901112542,7769.0400390625,,,,,
29,1,29,0.0,32.0,32.0,0.7094337940216064,143.8421009806916,7769.0400390625,,,,,
30,1,30,0.0,32.0,32.0,0.7094279527664185,138.79353099036962,7769.0400390625,,,,,
31,1,31,0.0,32.0,32.0,0.72336745262146,133.05717299226671,7769.0400390625,,,,,
32,1,32,0.0,32.0,32.0,0.6772392392158508,132.0560280000791,7769.0400390625,,,,,
33,1,33,0.0,32.0,32.0,0.6861010789871216,138.2325849845074,7769.0400390625,,,,,
34,1,34,0.0,32.0,32.0,0.6852668523788452,141.44628797657788,7769.0400390625,,,,,
35,1,35,0.0,32.0,32.0,0.6913576722145081,149.62641097372398,7769.0400390625,,,,,
36,1,36,0.0,32.0,32.0,0.6836869716644287,146.52167999884114,7769.0400390625,,,,,
37,1,37,0.0,32.0,32.0,0.6691807508468628,140.3841269784607,7769.0400390625,,,,,
38,1,38,0.0,32.0,32.0,0.6983343958854675,134.90445498609915,7769.0400390625,,,,,
39,1,39,0.0,32.0,32.0,0.6573050022125244,132.90980499004945,7769.0400390625,,,,,
40,1,40,0.0,32.0,32.0,0.6746575236320496,138.22684402111918,7769.0400390625,,,,,
41,1,41,0.0,32.0,32.0,0.6712234020233154,140.30255400575697,7474.19970703125,,,,,
42,1,42,0.0,32.0,32.0,0.6615498065948486,147.87043002434075,7769.0400390625,,,,,
43,1,43,0.0,32.0,32.0,0.6679646968841553,145.67571703810245,7769.0400390625,,,,,
44,1,44,0.0,32.0,32.0,0.6592723727226257,139.51454602647573,7769.0400390625,,,,,
45,1,45,0.0,32.0,32.0,0.6934231519699097,135.89771901024505,7769.0400390625,,,,,
46,1,46,0.0,32.0,32.0,0.64488685131073,133.20658897282556,7769.0400390625,,,,,
47,1,47,0.0,32.0,32.0,0.6705783605575562,139.08942800480872,7769.0400390625,,,,,
48,1,48,0.0,32.0,32.0,0.6221151947975159,141.18374697864056,7769.0400390625,,,,,
49,1,49,0.0,32.0,32.0,0.614392876625061,145.7713340059854,7769.0400390625,,,,,
50,1,50,0.0,32.0,32.0,0.6407840847969055,144.79270001174882,7769.0400390625,,,,,
51,1,51,0.0,32.0,32.0,0.6539119482040405,140.62774099875242,7769.0400390625,,,,,
52,1,52,0.0,32.0,32.0,0.6897077560424805,174.86235400428995,7374.07568359375,,,,,
53,1,53,0.0,32.0,32.0,0.7198431491851807,130.13070996385068,7769.0400390625,,,,,
54,1,54,0.0,32.0,32.0,0.6582198143005371,137.04642601078376,7769.0400390625,,,,,
55,1,55,0.0,32.0,32.0,0.6074988842010498,140.50093002151698,7769.0400390625,,,,,
56,1,56,0.0,32.0,32.0,0.6675388813018799,144.75714095169678,7769.0400390625,,,,,
57,1,57,0.0,32.0,32.0,0.6410508155822754,143.2236569817178,7769.0400390625,,,,,
58,1,58,0.0,32.0,32.0,0.637481153011322,159.4764559995383,7769.0400390625,,,,,
59,1,59,0.0,32.0,32.0,0.5682437419891357,132.98311497783288,7769.0400390625,,,,,
60,1,60,0.0,32.0,32.0,0.6760814189910889,130.2206629770808,7769.0400390625,,,,,
61,1,61,0.0,32.0,32.0,0.6826462745666504,136.65151299210265,7769.0400390625,,,,,
62,1,62,0.0,32.0,32.0,0.743869423866272,138.50601902231574,7769.0400390625,,,,,
63,1,63,0.0,32.0,32.0,0.7807567119598389,143.33407202502713,7769.0400390625,,,,,
64,1,64,0.0,32.0,32.0,0.5245592594146729,147.94567099306732,7769.0400390625,,,,,
65,1,65,0.0,32.0,32.0,0.6129561066627502,151.76101098768413,7769.0400390625,,,,,
66,1,66,0.0,32.0,32.0,0.6652936935424805,135.7700090156868,7769.0400390625,,,,,
67,1,67,0.0,32.0,32.0,0.7249143719673157,132.09916796768084,7769.0400390625,,,,,
68,1,68,0.0,32.0,32.0,0.5753828883171082,137.75479298783466,7769.0400390625,,,,,
69,1,69,0.0,32.0,32.0,0.6262133121490479,139.53393802512437,7769.0400390625,,,,,
70,1,70,0.0,32.0,32.0,0.6180295944213867,136.76878402475268,7769.0400390625,,,,,
71,1,71,0.0,32.0,32.0,0.6209941506385803,153.11964199645445,7769.0400390625,,,,,
72,1,72,0.0,32.0,32.0,0.6430194973945618,145.41540096979588,7769.0400390625,,,,,
73,1,73,0.0,32.0,32.0,0.6369737982749939,137.6763519947417,7769.0400390625,,,,,
74,1,74,0.0,32.0,32.0,0.626715898513794,136.16168696898967,7769.0400390625,,,,,
75,1,75,0.0,32.0,32.0,0.5612488985061646,136.7891610134393,7769.0400390625,,,,,
76,1,76,0.0,32.0,32.0,0.5571798086166382,138.34360498003662,7769.0400390625,,,,,
77,1,77,0.0,32.0,32.0,0.542169451713562,138.42297799419612,7769.0400390625,,,,,
78,1,78,0.0,26.0,26.0,0.656529426574707,128.22275998769328,6848.248046875,,,,,
79,1,79,0.0,32.0,32.0,0.5566115379333496,134.85488598234951,7769.0400390625,,,,,
80,1,80,0.0,32.0,32.0,0.4835231304168701,140.9027759800665,7769.0400390625,,,,,
81,1,81,0.0,32.0,32.0,0.5870643258094788,137.25870300550014,7769.0400390625,,,,,
82,1,82,0.0,32.0,32.0,0.43427371978759766,137.5201090122573,7769.0400390625,,,,,
83,1,83,0.0,32.0,32.0,0.613410472869873,138.6404309887439,7769.0400390625,,,,,
84,1,84,0.0,32.0,32.0,0.5588266849517822,143.2036010082811,7769.0400390625,,,,,
85,1,85,0.0,32.0,32.0,0.44252029061317444,140.63640095992014,7769.0400390625,,,,,
86,1,86,0.0,32.0,32.0,0.425550639629364,143.0835939827375,7769.0400390625,,,,,
87,1,87,0.0,32.0,32.0,0.5132642984390259,139.07355099217966,7769.0400390625,,,,,
88,1,88,0.0,32.0,32.0,0.5011129379272461,137.67903397092596,7769.0400390625,,,,,
89,1,89,0.0,32.0,32.0,0.3673773407936096,137.71640497725457,7769.0400390625,,,,,
90,1,90,0.0,32.0,32.0,0.5528008937835693,137.29956204770133,7769.0400390625,,,,,
91,1,91,0.0,32.0,32.0,0.43465712666511536,145.50316997338086,7769.0400390625,,,,,
92,1,92,0.0,32.0,32.0,0.39313387870788574,141.53022796381265,7769.0400390625,,,,,
93,1,93,0.0,32.0,32.0,0.5017827153205872,141.67559199267998,7769.0400390625,,,,,
94,1,94,0.0,32.0,32.0,0.37633320689201355,141.22393500292674,7769.0400390625,,,,,
95,1,95,0.0,32.0,32.0,0.4501245617866516,139.12757899379358,7769.0400390625,,,,,
96,1,96,0.0,32.0,32.0,0.5569161176681519,139.6796030458063,7769.0400390625,,,,,
97,1,97,0.0,32.0,32.0,0.40913310647010803,134.08993900520727,7769.0400390625,,,,,
98,1,98,0.0,32.0,32.0,0.5147704482078552,144.51873302459717,7769.0400390625,,,,,
99,1,99,0.0,32.0,32.0,0.3750428557395935,142.58970599621534,7769.0400390625,,,,,
100,1,100,0.0,32.0,32.0,0.4980871081352234,141.11116103595123,7769.0400390625,,,,,
100,1,,1.0,32.0,32.0,,141.11116103595123,7769.0400390625,0.7617328519855595,0.5170858734183841,0.8132530120481928,0.4208504087649859,0.05152016006263327
