step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6890532970428467,471.09912999439985,6011.19189453125,,,,,
2,1,2,0.0,32.0,32.0,0.6814193725585938,156.17137297522277,7496.50732421875,,,,,
3,1,3,0.0,32.0,32.0,0.6932845115661621,118.3951249695383,7495.00732421875,,,,,
4,1,4,0.0,32.0,32.0,0.6884440183639526,119.04439103091136,7495.00732421875,,,,,
5,1,5,0.0,32.0,32.0,0.6937969923019409,119.59151196060702,7495.00732421875,,,,,
6,1,6,0.0,32.0,32.0,0.6783499717712402,119.05087903141975,7495.00732421875,,,,,
7,1,7,0.0,32.0,32.0,0.6850546598434448,162.2089029988274,7495.00732421875,,,,,
8,1,8,0.0,32.0,32.0,0.7039470672607422,164.09609897527844,7495.00732421875,,,,,
9,1,9,0.0,32.0,32.0,0.6990244388580322,136.20229897787794,7495.00732421875,,,,,
10,1,10,0.0,32.0,32.0,0.6939891576766968,123.39353800052777,7495.00732421875,,,,,
11,1,11,0.0,32.0,32.0,0.6916589736938477,120.25560199981555,7495.00732421875,,,,,
12,1,12,0.0,32.0,32.0,0.7023673057556152,121.33878003805876,7495.00732421875,,,,,
13,1,13,0.0,32.0,32.0,0.6831492185592651,120.99673901684582,7495.00732421875,,,,,
14,1,14,0.0,32.0,32.0,0.7042298316955566,137.14741496369243,7495.00732421875,,,,,
15,1,15,0.0,32.0,32.0,0.6770757436752319,157.98562398413196,7495.00732421875,,,,,
16,1,16,0.0,32.0,32.0,0.7136977910995483,147.63015398057178,7495.00732421875,,,,,
17,1,17,0.0,32.0,32.0,0.6444030404090881,131.70342601370066,7495.00732421875,,,,,
18,1,18,0.0,32.0,32.0,0.6376808285713196,123.7401319667697,7495.00732421875,,,,,
19,1,19,0.0,32.0,32.0,0.6713674664497375,121.69590900884941,7495.00732421875,,,,,
20,1,20,0.0,32.0,32.0,0.6946380138397217,122.13314097607508,7495.00732421875,,,,,
21,1,21,0.0,32.0,32.0,0.6878736615180969,128.4711820189841,7495.00732421875,,,,,
22,1,22,0.0,32.0,32.0,0.6850844621658325,141.53093902859837,7495.00732421875,,,,,
23,1,23,0.0,32.0,32.0,0.655532717704773,145.8836660021916,7495.00732421875,,,,,
24,1,24,0.0,32.0,32.0,0.6614573001861572,138.008036010433,7495.00732421875,,,,,
25,1,25,0.0,32.0,32.0,0.7100429534912109,128.25079198228195,7495.00732421875,,,,,
26,1,26,0.0,32.0,32.0,0.6886647939682007,124.86147903837264,7495.00732421875,,,,,
27,1,27,0.0,32.0,32.0,0.6641627550125122,125.32923300750554,7495.00732421875,,,,,
28,1,28,0.0,32.0,32.0,0.6515082120895386,124.54653199529275,7495.00732421875,,,,,
29,1,29,0.0,32.0,32.0,0.6709839105606079,131.96174398763105,7495.00732421875,,,,,
30,1,30,0.0,32.0,32.0,0.6615158319473267,142.14874600293115,7495.00732421875,,,,,
31,1,31,0.0,32.0,32.0,0.6329749822616577,137.00749195413664,7495.00732421875,,,,,
32,1,32,0.0,32.0,32.0,0.5663735866546631,134.3742050230503,7495.00732421875,,,,,
33,1,33,0.0,32.0,32.0,0.5972177982330322,127.70178698701784,7495.00732421875,,,,,
34,1,34,0.0,32.0,32.0,0.6496817469596863,126.35427300119773,7495.00732421875,,,,,
35,1,35,0.0,32.0,32.0,0.5624474287033081,128.46829101908952,7479.6083984375,,,,,
36,1,36,0.0,32.0,32.0,0.6530332565307617,130.32801199005917,7495.00732421875,,,,,
37,1,37,0.0,32.0,32.0,0.7064338326454163,135.38091501686722,7495.00732421875,,,,,
38,1,38,0.0,32.0,32.0,0.7881710529327393,137.96488899970427,7495.00732421875,,,,,
39,1,39,0.0,32.0,32.0,0.6444054841995239,136.2666100030765,7495.00732421875,,,,,
40,1,40,0.0,32.0,32.0,0.7649720907211304,130.2072069956921,7495.00732421875,,,,,
41,1,41,0.0,32.0,32.0,0.458762526512146,128.28973500290886,7495.00732421875,,,,,
42,1,42,0.0,32.0,32.0,0.7815321087837219,127.81564297620207,7495.00732421875,,,,,
43,1,43,0.0,32.0,32.0,0.6947351694107056,128.04439099272713,7495.00732421875,,,,,
44,1,44,0.0,32.0,32.0,0.7128254175186157,129.9335179501213,7495.00732421875,,,,,
45,1,45,0.0,32.0,32.0,0.6672407984733582,137.99285801360384,7495.00732421875,,,,,
46,1,46,0.0,32.0,32.0,0.5978546142578125,137.82724202610552,7495.00732421875,,,,,
47,1,47,0.0,32.0,32.0,0.5470888614654541,133.2452559727244,7495.00732421875,,,,,
48,1,48,0.0,32.0,32.0,0.7148985862731934,129.2964390013367,7495.00732421875,,,,,
49,1,49,0.0,32.0,32.0,0.6331522464752197,127.62614898383617,7495.00732421875,,,,,
50,1,50,0.0,32.0,32.0,0.5227893590927124,125.15913002425805,7495.00732421875,,,,,
51,1,51,0.0,32.0,32.0,0.4988590478897095,130.90707402443513,7495.00732421875,,,,,
