step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.6984678506851196,791.2555389921181,21009.9892578125,,,,,
2,1,2,0.0,128.0,128.0,0.6961966753005981,595.3314370126463,22470.6796875,,,,,
3,1,3,0.0,128.0,128.0,0.6902331113815308,491.64977099280804,22470.6796875,,,,,
4,1,4,0.0,128.0,128.0,0.695789098739624,551.1130510130897,22470.6796875,,,,,
5,1,5,0.0,128.0,128.0,0.6887608766555786,492.581925005652,22470.6796875,,,,,
6,1,6,0.0,128.0,128.0,0.6906232237815857,546.1351770209149,22470.6796875,,,,,
7,1,7,0.0,128.0,128.0,0.7014487981796265,501.89031701302156,22470.6796875,,,,,
8,1,8,0.0,128.0,128.0,0.6988891959190369,539.232075039763,22470.6796875,,,,,
9,1,9,0.0,128.0,128.0,0.6993188261985779,509.9964260007255,22470.6796875,,,,,
10,1,10,0.0,128.0,128.0,0.6997147798538208,529.0303429937921,22470.6796875,,,,,
11,1,11,0.0,128.0,128.0,0.6957622766494751,515.0212990120053,22470.6796875,,,,,
12,1,12,0.0,128.0,128.0,0.6924118399620056,522.5539710372686,22470.6796875,,,,,
13,1,13,0.0,128.0,128.0,0.6967060565948486,519.2715309676714,22470.6796875,,,,,
14,1,14,0.0,128.0,128.0,0.6924073696136475,520.7287130178884,22470.6796875,,,,,
15,1,15,0.0,128.0,128.0,0.6930145025253296,520.9530249703676,22470.6796875,,,,,
16,1,16,0.0,128.0,128.0,0.6915715932846069,519.2787600099109,22470.6796875,,,,,
17,1,17,0.0,128.0,128.0,0.6900907158851624,522.4262309493497,22470.6796875,,,,,
18,1,18,0.0,128.0,128.0,0.6941044330596924,517.9259110009298,22470.6796875,,,,,
19,1,19,0.0,128.0,128.0,0.6814785599708557,526.0526250349358,22470.6796875,,,,,
20,1,20,0.0,58.0,58.0,0.677213191986084,238.65577997639775,11521.91845703125,,,,,
21,1,21,0.0,128.0,128.0,0.6907227635383606,495.20154600031674,22470.6796875,,,,,
22,1,22,0.0,128.0,128.0,0.6576857566833496,524.2988200043328,22470.6796875,,,,,
23,1,23,0.0,128.0,128.0,0.6524401903152466,513.3146169828251,22470.6796875,,,,,
24,1,24,0.0,128.0,128.0,0.6341667771339417,526.9192309933715,22470.6796875,,,,,
