step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.7392557263374329,787.3541050357744,21009.9892578125,,,,,
2,1,2,0.0,128.0,128.0,0.7105020880699158,596.5399749693461,22470.6796875,,,,,
3,1,3,0.0,128.0,128.0,0.6793357133865356,493.88970399741083,22470.6796875,,,,,
4,1,4,0.0,128.0,128.0,0.7221033573150635,549.9263580422848,22470.6796875,,,,,
5,1,5,0.0,128.0,128.0,0.7111072540283203,491.4705069968477,22470.6796875,,,,,
6,1,6,0.0,128.0,128.0,0.722557544708252,546.5577929862775,22470.6796875,,,,,
7,1,7,0.0,128.0,128.0,0.7286241054534912,501.98294897563756,22470.6796875,,,,,
8,1,8,0.0,128.0,128.0,0.7119656205177307,539.7873329930007,22470.6796875,,,,,
9,1,9,0.0,128.0,128.0,0.6959444880485535,512.3374760150909,22470.6796875,,,,,
10,1,10,0.0,128.0,128.0,0.6928741931915283,531.0163510148413,22470.6796875,,,,,
11,1,11,0.0,128.0,128.0,0.6944760084152222,516.586864949204,22470.6796875,,,,,
12,1,12,0.0,128.0,128.0,0.6990938782691956,528.3171230112202,22470.6796875,,,,,
13,1,13,0.0,128.0,128.0,0.7327415347099304,515.2241279720329,22470.6796875,,,,,
14,1,14,0.0,128.0,128.0,0.7201343178749084,525.1729900483042,22470.6796875,,,,,
15,1,15,0.0,128.0,128.0,0.70176100730896,520.0715480023064,22470.6796875,,,,,
16,1,16,0.0,128.0,128.0,0.6892102360725403,518.9594569965266,22470.6796875,,,,,
17,1,17,0.0,128.0,128.0,0.6942222714424133,523.98355898913,22470.6796875,,,,,
18,1,18,0.0,128.0,128.0,0.6890583038330078,517.8858099970967,22470.6796875,,,,,
19,1,19,0.0,128.0,128.0,0.6881503462791443,524.364710028749,22470.6796875,,,,,
20,1,20,0.0,58.0,58.0,0.6970021724700928,239.40514295827597,11521.91845703125,,,,,
21,1,21,0.0,128.0,128.0,0.6919881701469421,496.3048899662681,22470.6796875,,,,,
22,1,22,0.0,128.0,128.0,0.6927453875541687,523.6159639898688,22470.6796875,,,,,
23,1,23,0.0,128.0,128.0,0.6939451694488525,519.6912990068085,22470.6796875,,,,,
24,1,24,0.0,128.0,128.0,0.6939929723739624,523.7387500237674,22470.6796875,,,,,
25,1,25,0.0,128.0,128.0,0.6978476047515869,521.6341820196249,22470.6796875,,,,,
26,1,26,0.0,128.0,128.0,0.6923657655715942,523.6882229801267,22470.6796875,,,,,
27,1,27,0.0,128.0,128.0,0.6973525285720825,520.9714560187422,22470.6796875,,,,,
28,1,28,0.0,128.0,128.0,0.7048705816268921,522.9058900149539,22470.6796875,,,,,
29,1,29,0.0,128.0,128.0,0.6936318874359131,524.0135429776274,22470.6796875,,,,,
30,1,30,0.0,128.0,128.0,0.6958471536636353,521.6618080157787,22470.6796875,,,,,
31,1,31,0.0,128.0,128.0,0.697371244430542,523.2104449532926,22470.6796875,,,,,
32,1,32,0.0,128.0,128.0,0.6922862529754639,521.0830809664913,22470.6796875,,,,,
33,1,33,0.0,128.0,128.0,0.6915309429168701,521.8582610250451,22470.6796875,,,,,
34,1,34,0.0,128.0,128.0,0.6907967329025269,522.4473709822632,22470.6796875,,,,,
35,1,35,0.0,128.0,128.0,0.690547525882721,522.2273899707943,22470.6796875,,,,,
36,1,36,0.0,128.0,128.0,0.6919584274291992,522.6562430034392,22470.6796875,,,,,
37,1,37,0.0,128.0,128.0,0.6958198547363281,523.1076669879258,22470.6796875,,,,,
38,1,38,0.0,128.0,128.0,0.6921438574790955,521.5657780063339,22470.6796875,,,,,
39,1,39,0.0,128.0,128.0,0.6859254837036133,523.8156939740293,22470.6796875,,,,,
40,1,40,0.0,58.0,58.0,0.6835102438926697,230.5634169606492,11521.91845703125,,,,,
41,1,41,0.0,128.0,128.0,0.681256115436554,503.28717596130446,22470.6796875,,,,,
42,1,42,0.0,128.0,128.0,0.6750449538230896,521.3059060042724,22470.6796875,,,,,
43,1,43,0.0,128.0,128.0,0.6504043936729431,524.4795019971207,22470.6796875,,,,,
44,1,44,0.0,128.0,128.0,0.6371675729751587,521.7936999979429,22470.6796875,,,,,
45,1,45,0.0,128.0,128.0,0.6155762076377869,526.3464649906382,22470.6796875,,,,,
46,1,46,0.0,128.0,128.0,0.6336074471473694,521.8309850315563,22470.6796875,,,,,
47,1,47,0.0,128.0,128.0,0.6328257918357849,524.0129139856435,22470.6796875,,,,,
48,1,48,0.0,128.0,128.0,0.5978223085403442,522.3720319918357,22470.6796875,,,,,
49,1,49,0.0,128.0,128.0,0.6113835573196411,524.4641110184602,22470.6796875,,,,,
50,1,50,0.0,128.0,128.0,0.6592258214950562,523.4903400414623,22470.6796875,,,,,
51,1,51,0.0,128.0,128.0,0.6210923194885254,522.2536639776081,22470.6796875,,,,,
52,1,52,0.0,128.0,128.0,0.5931707620620728,524.2214039899409,22470.6796875,,,,,
53,1,53,0.0,128.0,128.0,0.5838564038276672,523.2844239799306,22470.6796875,,,,,
54,1,54,0.0,128.0,128.0,0.6793032288551331,526.1527539696544,22470.6796875,,,,,
55,1,55,0.0,128.0,128.0,0.5032265186309814,522.0544729963876,22470.6796875,,,,,
56,1,56,0.0,128.0,128.0,0.4797477722167969,526.8323240452446,22470.6796875,,,,,
57,1,57,0.0,128.0,128.0,0.5816613435745239,522.4831689847633,22470.6796875,,,,,
58,1,58,0.0,128.0,128.0,0.7437153458595276,526.0593650164083,22470.6796875,,,,,
59,1,59,0.0,128.0,128.0,0.5975784063339233,522.5782800116576,22470.6796875,,,,,
60,1,60,0.0,58.0,58.0,0.6151866912841797,230.6923539726995,11521.91845703125,,,,,
61,1,61,0.0,128.0,128.0,0.48777660727500916,503.98568296805024,22470.6796875,,,,,
62,1,62,0.0,128.0,128.0,0.48985546827316284,520.8204970113002,22470.6796875,,,,,
63,1,63,0.0,128.0,128.0,0.555239200592041,523.7585660070181,22470.6796875,,,,,
64,1,64,0.0,128.0,128.0,0.5074586868286133,524.958522990346,22470.6796875,,,,,
65,1,65,0.0,128.0,128.0,0.417106032371521,524.4489049655385,22470.6796875,,,,,
