step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.6941122710704803,64.0,74.0,0.8648648648648649,3.0,61.0,0.046875,0.953125,0.15013760364319184,0.14613917376452534,0.1503342477355853,0.0,0.6,0.0033914772,1.0000000002441836,0.6238699569224287,-2.412660923403247e-08,3.0,61.0,0.90625,20.333333333333332,1.0,0.27297082906017056,0.189208960538168,2.0,0.504516114467915,0.0007140601606637532,0.4996429699196681,0.012354034013482116,1054.8793619964272,4557.5849609375,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.7000198811292648,64.0,74.0,0.8648648648648649,5.0,59.0,0.078125,0.921875,0.14989260870284254,0.1448690703006189,0.15031833229625136,0.0,0.6,0.0033914772,1.0000000000024631,0.6333664462306716,-1.1913643855727036e-08,5.0,59.0,0.84375,11.8,1.0,0.3955377776025776,0.2741658953501733,2.0,0.5056630054582325,0.0035457018287414505,0.49822714908562926,0.00422030272597101,471.2728300364688,5119.22119140625,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.7014301121234894,64.0,74.0,0.8648648648648649,8.0,56.0,0.125,0.875,0.1494781028650076,0.14534464191396657,0.1500685972865849,0.0,0.6,0.0033914772,1.000000000239137,0.6491237879977877,-5.896167215071255e-09,8.0,56.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5051664650058727,0.0003196174362373712,0.49984019128188134,0.005324149247380201,483.2780010183342,5112.47119140625,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.6874612793326378,64.0,74.0,0.8648648648648649,3.0,61.0,0.046875,0.953125,0.14982386367991235,0.14611934913612143,0.1500060529197709,0.0,0.6,0.0033914772,0.9999999994824813,0.6495057131862094,-2.0791668155938526e-08,3.0,61.0,0.90625,20.333333333333332,1.0,0.27297082906017056,0.189208960538168,2.0,0.5054655077232643,-0.0007667622766834832,0.5003833811383417,0.004657457236722614,469.24954099813476,5121.47119140625,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6914946734905243,64.0,74.0,0.8648648648648649,4.0,60.0,0.0625,0.9375,0.14998033616428577,0.14592591361032425,0.15025063100121655,0.0,0.6,0.0033914772,1.00000000264468,0.6498405389489801,-1.3482307229641691e-08,4.0,60.0,0.875,15.0,1.0,0.3372900377631142,0.2337916387064601,2.0,0.5041704813875644,0.0004136362257402994,0.49979318188712984,0.006805995225400598,474.57818797556683,5119.22119140625,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6933221891522408,64.0,74.0,0.8648648648648649,6.0,58.0,0.09375,0.90625,0.1501998376513192,0.14531371787602665,0.15070529831772872,0.0,0.6,0.0033914772,0.9999999998128483,0.6435462049521077,1.2528539841387635e-09,6.0,58.0,0.8125,9.666666666666666,1.0,0.4488644598691294,0.31112913481184973,2.0,0.5057181365660635,2.5277237455156865e-05,0.4999873613812724,0.015254901065719625,469.7678679949604,5114.72119140625,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.7054456025362015,64.0,74.0,0.8648648648648649,2.0,62.0,0.03125,0.96875,0.1505780106238403,0.1456917981559726,0.1507356303808683,0.0,0.6,0.0033914772,1.0000000008320136,0.6309822261746305,5.425267511233478e-09,2.0,62.0,0.9375,31.0,1.0,0.20062229545881616,0.13906077845474274,2.0,0.5059723529200159,0.0006331404805882401,0.49968342975970587,-0.0015967898763610143,469.55962100764737,5116.97998046875,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.7057099863886833,63.0,74.0,0.8513513513513513,3.0,60.0,0.047619047619047616,0.9523809523809523,0.15059021026555647,0.14576783625620646,0.15083132896602397,0.0,0.6,0.0033914772,0.9999999998993048,0.6444342558393782,-2.28899173100294e-09,3.0,60.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5057331779208937,-0.0001934263435548113,0.5000967131717774,-0.0021075479108494913,470.75622499687597,5096.72998046875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.6876443549990654,62.0,74.0,0.8378378378378378,6.0,56.0,0.0967741935483871,0.9032258064516129,0.1508459891283991,0.14583008092660965,0.15138340786430513,0.0,0.6,0.0033914772,0.9999999999697035,0.6165450634928876,6.793244039805267e-09,6.0,56.0,0.8064516129032258,9.333333333333334,1.0,0.4586857873466403,0.3179367602622423,2.0,0.5085973865977758,0.00017850097959221548,0.49991074951020387,0.014559756637232843,476.03160300059244,5094.65869140625,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.6940847262740135,65.0,74.0,0.8783783783783784,2.0,63.0,0.03076923076923077,0.9692307692307692,0.14974554954000543,0.1460620477283638,0.14986248610545438,0.0,0.6,0.0033914772,1.000000001245616,0.6374789869979033,-9.224414606406134e-09,2.0,63.0,0.9384615384615385,31.5,1.0,0.19823493524386776,0.13740598645277027,2.0,0.5039665778477094,0.00013183847093758277,0.4999340807645312,0.008239100316143885,473.0773519841023,5141.72119140625,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.6955697387456894,61.0,74.0,0.8243243243243243,7.0,54.0,0.11475409836065574,0.8852459016393442,0.1501397228529621,0.14487641409332805,0.15082200361809986,0.0,0.6,0.0033914772,1.000000000194466,0.6545096490083189,1.9444097424595262e-08,7.0,54.0,0.7704918032786885,7.714285714285714,1.0,0.5140912501642233,0.3563409006018689,2.0,0.5068865191542005,4.1379814687347326e-05,0.49997931009265634,0.015418915036132555,474.3761250283569,5074.40869140625,,,,,,,,,,
12,1,12,0.0,32.0,32.0,0.6940326243638992,64.0,74.0,0.8648648648648649,6.0,58.0,0.09375,0.90625,0.14974043366044182,0.14650975423972126,0.15007464187637845,0.0,0.6,0.0033914772,0.9999999982735498,0.6545297350445112,8.060858903628262e-09,6.0,58.0,0.8125,9.666666666666666,1.0,0.4488644598691294,0.31112913481184973,2.0,0.50507136983984,0.0005559259310530251,0.4997220370344735,0.0063612495054135194,469.25877302419394,5114.72119140625,,,,,,,,,,
13,1,13,0.0,32.0,32.0,0.7150692269206047,60.0,74.0,0.8108108108108109,7.0,53.0,0.11666666666666667,0.8833333333333333,0.15001191749871035,0.14472476997155787,0.15071022000229645,0.0,0.6,0.0033914772,1.000000000214418,0.6342654343385473,7.666831871318843e-09,7.0,53.0,0.7666666666666667,7.571428571428571,1.0,0.5197027576504053,0.360230501194607,2.0,0.5071706473329891,0.0008861785886403442,0.4995569107056798,0.006008931152564823,466.65246202610433,5054.03369140625,,,,,,,,,,
14,1,14,0.0,32.0,32.0,0.6924393847584724,62.0,74.0,0.8378378378378378,7.0,55.0,0.11290322580645161,0.8870967741935484,0.14990219910802013,0.14580694159895172,0.15042341370008339,0.0,0.6,0.0033914772,0.9999999994579474,0.6267444701514093,-5.098847453835215e-09,7.0,55.0,0.7741935483870968,7.857142857142857,1.0,0.5086113025287895,0.35254249034875185,2.0,0.5054156947114796,-5.773923716093362e-06,0.500002886961858,0.001131880390756833,473.00090303178877,5089.97119140625,,,,,,,,,,
15,1,15,0.0,32.0,32.0,0.700657993555069,63.0,74.0,0.8513513513513513,5.0,58.0,0.07936507936507936,0.9206349206349206,0.14944589229726044,0.14581941652332478,0.14975851951915145,0.0,0.6,0.0033914772,0.9999999990668397,0.649153747753922,7.345605479197191e-09,5.0,58.0,0.8412698412698413,11.6,1.0,0.39993801858512784,0.27721590998101237,2.0,0.5049852128358332,-0.00022891747544952323,0.5001144587377248,0.005036789022176163,473.82682701572776,5098.97119140625,,,,,,,,,,
16,1,16,0.0,32.0,32.0,0.676720030605793,60.0,74.0,0.8108108108108109,9.0,51.0,0.15,0.85,0.14961834997169682,0.1447244396721492,0.1504819812010287,0.0,0.6,0.0033914772,0.9999999992128172,0.6420575188060416,9.043981844300178e-09,9.0,51.0,0.7,5.666666666666667,1.0,0.6098402758625001,0.4227090678059912,2.0,0.5067178743911865,-0.00034387652307156134,0.5001719382615358,0.013735133787109749,472.00613998575136,5051.90869140625,,,,,,,,,,
17,1,17,0.0,32.0,32.0,0.7302764654159546,52.0,74.0,0.7027027027027027,5.0,47.0,0.09615384615384616,0.9038461538461539,0.15053346042503885,0.14544358474461597,0.15107493656125404,0.0,0.6,0.0033914772,0.9999999999150421,0.6336807777332228,-8.354940493765656e-09,5.0,47.0,0.8076923076923077,9.4,1.0,0.4566836026855427,0.3165489516094422,2.0,0.5082658891512709,-0.00011874424922204862,0.500059372124611,0.003574260565801607,468.1226160028018,4981.97119140625,,,,,,,,,,
18,1,18,0.0,32.0,32.0,0.704869881272316,61.0,74.0,0.8243243243243243,8.0,53.0,0.13114754098360656,0.8688524590163934,0.14969054042867252,0.145604082113035,0.1503073643253725,0.0,0.6,0.0033914772,1.0000000005536682,0.6345357921560535,-1.006870780730835e-08,8.0,53.0,0.7377049180327869,6.625,1.0,0.5605769137606327,0.38856230726017815,2.0,0.506403174912531,0.000638781970476586,0.4996806090147617,0.008509050078863524,468.4628690010868,5072.15869140625,,,,,,,,,,
19,1,19,0.0,32.0,32.0,0.7111333757638931,58.0,74.0,0.7837837837837838,7.0,51.0,0.1206896551724138,0.8793103448275862,0.15035647750668285,0.143928140927876,0.15123879821357786,0.0,0.6,0.0033914772,0.999999999952945,0.6267359603334852,1.2671437108581447e-09,7.0,51.0,0.7586206896551724,7.285714285714286,1.0,0.5313399853262668,0.3682968127476645,2.0,0.5089542735022768,0.0010891044049884415,0.4994554477975058,0.012281531988349833,465.86696803569794,5024.7900390625,,,,,,,,,,
20,1,20,0.0,32.0,32.0,0.6981351599097252,63.0,74.0,0.8513513513513513,3.0,60.0,0.047619047619047616,0.9523809523809523,0.14996511758686887,0.14491704107032446,0.15021752141269612,0.0,0.6,0.0033914772,1.000000001102993,0.6221349717200494,-4.101612290089615e-09,3.0,60.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5049608185417015,-0.00024660820333854744,0.5001233041016693,0.0014249444795391096,469.2412649746984,5096.72998046875,,,,,,,,,,
