step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.8196499273180962,57.0,74.0,0.7702702702702703,6.0,51.0,0.10526315789473684,0.8947368421052632,0.15173219031412918,0.14398363206356232,0.15264378540243118,0.0,0.6,0.0033914772,1.0000000000903704,0.644805637083833,-1.8093239156796087e-08,6.0,51.0,0.7894736842105263,8.5,1.0,0.4854607318920133,0.33649573758351653,2.0,0.5117416907959366,0.0030317016763893676,0.49848414916180533,0.009633056673083189,1026.7572500160895,4559.7099609375,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.6969700381159782,64.0,74.0,0.8648648648648649,4.0,60.0,0.0625,0.9375,0.14984109005911614,0.14385064484150367,0.15024045307362366,0.0,0.6,0.0033914772,1.000000001162751,0.6515803154414708,6.353085547539162e-09,4.0,60.0,0.875,15.0,1.0,0.3372900377631142,0.2337916387064601,2.0,0.5047189899288268,3.279892140555378e-05,0.49998360053929725,6.23030794955365e-05,456.34445000905544,5113.1044921875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.7477092742919922,61.0,74.0,0.8243243243243243,3.0,58.0,0.04918032786885246,0.9508196721311475,0.1501867359265312,0.14403379098107966,0.1505049916995718,0.0,0.6,0.0033914772,0.9999999999653408,0.655905654288108,-5.46643089848511e-09,3.0,58.0,0.9016393442622951,19.333333333333332,1.0,0.2829047641259927,0.1960946396209082,2.0,0.5058437049513391,0.0002027397765328814,0.4998986301117336,0.020040085604611096,471.6665600426495,5074.8544921875,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.7400454692542553,61.0,74.0,0.8243243243243243,1.0,60.0,0.01639344262295082,0.9836065573770492,0.14985838467116078,0.14679106843763398,0.14990950660838623,0.0,0.6,0.0033914772,0.9999999998457577,0.6487152013578907,1.8386557017763487e-08,1.0,60.0,0.9672131147540983,60.0,1.0,0.12068098515962741,0.08364968461059234,2.0,0.503938204172635,6.254198498570652e-05,0.49996872900750716,-0.0016589427118301576,458.3860049606301,5079.35498046875,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.7358832284808159,60.0,74.0,0.8108108108108109,1.0,59.0,0.016666666666666666,0.9833333333333333,0.1504217229494836,0.1446400108160346,0.15051971807038952,0.0,0.6,0.0033914772,1.0000000000201144,0.6411005524134572,-1.529152268375434e-08,1.0,59.0,0.9666666666666667,59.0,1.0,0.12229156821547821,0.08476605571481294,2.0,0.5049409015995086,0.0001223197495244005,0.4999388401252378,0.014736106131078775,464.7289410349913,5061.35498046875,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.7193743512034416,63.0,74.0,0.8513513513513513,5.0,58.0,0.07936507936507936,0.9206349206349206,0.1501643247110127,0.14613150395109134,0.1505119816730749,0.0,0.6,0.0033914772,1.0000000003361438,0.6531902645455973,-2.3624595683991772e-08,5.0,58.0,0.8412698412698413,11.6,1.0,0.39993801858512784,0.27721590998101237,2.0,0.5051533379435308,-0.0004019436066265748,0.5002009718033132,0.0029889722931154042,514.7124259965494,5115.56005859375,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.6372088827192783,63.0,74.0,0.8513513513513513,2.0,61.0,0.031746031746031744,0.9682539682539683,0.1498738948353615,0.14461204439166975,0.15004641452203993,0.0,0.6,0.0033914772,1.0000000000473128,0.6334358714938809,6.700383419904371e-10,2.0,61.0,0.9365079365079365,30.5,1.0,0.2030739011327471,0.14076010201547273,2.0,0.5045800189453336,-0.0006466327213274781,0.5003233163606637,-0.0025882747523075854,458.85874499799684,5099.60498046875,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.7420162633061409,61.0,74.0,0.8243243243243243,3.0,58.0,0.04918032786885246,0.9508196721311475,0.14981168481906343,0.14583154188332462,0.15001755428125682,0.0,0.6,0.0033914772,1.0000000002436056,0.6538790290039792,7.247166134115067e-10,3.0,58.0,0.9016393442622951,19.333333333333332,1.0,0.2829047641259927,0.1960946396209082,2.0,0.5049852202316775,-0.00013264156347976035,0.5000663207817398,0.013369964376066051,577.9459860059433,5097.64404296875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.7353969365358353,60.0,74.0,0.8108108108108109,5.0,55.0,0.08333333333333333,0.9166666666666666,0.1503034399904873,0.14384023981002422,0.15089100364325667,0.0,0.6,0.0033914772,1.0000000000802767,0.6475689775678889,-2.9186145377965224e-09,5.0,55.0,0.8333333333333334,11.0,1.0,0.41381682144973386,0.2868359630561613,2.0,0.5074196251419935,0.0017122997290130988,0.49914385013549345,0.0087953833391889,457.9663229524158,5063.59619140625,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.6668500900268555,62.0,74.0,0.8378378378378378,3.0,59.0,0.04838709677419355,0.9516129032258065,0.15024394017560938,0.14494273043768965,0.15051349321313076,0.0,0.6,0.0033914772,1.0000000015410722,0.6588410973372869,-1.5442064331888622e-08,3.0,59.0,0.9032258064516129,19.666666666666668,1.0,0.2795055167827806,0.19373846090893485,2.0,0.5049307710135578,-0.0002580649425659023,0.5001290324712829,-0.0023030124702727874,468.0597059777938,5092.8544921875,,,,,,,,,,
