step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.7531959097832441,61.0,74.0,0.8243243243243243,0.0,61.0,0.0,1.0,0.15021096346040244,0.0,0.15021096346040244,0.0,0.6,0.0037755179329291787,1.000000000030567,0.6474459471021492,-4.6271182061044485e-09,0.0,61.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5031989293674822,0.00023010729838998404,0.499884946350805,nan,2215.12452699244,8604.2744140625,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7036359813064337,66.0,74.0,0.8918918918918919,0.0,66.0,0.0,1.0,0.14998803114231005,0.0,0.14998803114231005,0.0,0.6,0.0037755179329291787,0.9999999997899629,0.6491854435969281,3.284766373318884e-09,0.0,66.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013146712174655,0.000210570057959103,0.49989471497102045,nan,1600.0481139635667,9187.47509765625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.7157365623861551,62.0,74.0,0.8378378378378378,0.0,62.0,0.0,1.0,0.15007310572740107,0.0,0.15007310572740107,0.0,0.6,0.0037755179329291787,0.9999999999789416,0.6512190811743834,-8.198892154338477e-09,0.0,62.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5023651387756981,0.00011565846291597668,0.499942170768542,nan,1578.2271689968184,9146.982421875,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6745768524706364,62.0,74.0,0.8378378378378378,0.0,62.0,0.0,1.0,0.14995145834087903,0.0,0.14995145834087903,0.0,0.6,0.0037755179329291787,1.0000000002384541,0.6420646189146947,-3.10857284100115e-10,0.0,62.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011737781355383,9.314463337767588e-05,0.49995342768331114,nan,1594.5396489696577,9146.982421875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6959382724016905,63.0,74.0,0.8513513513513513,1.0,62.0,0.015873015873015872,0.9841269841269841,0.14995117230612426,0.14575497455422132,0.15001885291502592,0.0,0.6,0.0037755179329291787,1.0000000004104441,0.6601667368402693,3.8118101101167345e-10,1.0,62.0,0.9682539682539683,62.0,1.0,0.11759463680496848,0.08151039095033467,2.0,0.5015549382755518,8.601582418654476e-05,0.4999569920879067,0.0036885626207989164,1590.8648999757133,9162.73193359375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6971518844366074,61.0,74.0,0.8243243243243243,0.0,61.0,0.0,1.0,0.15001388960818174,0.0,0.15001388960818174,0.0,0.6,0.0037755179329291787,1.0000000013952532,0.6672814760732918,-3.778443547976765e-09,0.0,61.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011468289040105,0.0001006351564518065,0.4999496824217741,nan,1587.1624080464244,9128.982421875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6870076861232519,56.0,74.0,0.7567567567567568,0.0,56.0,0.0,1.0,0.1500601094857741,0.0,0.1500601094857741,0.0,0.6,0.0037755179329291787,1.000000000008973,0.6585328157910443,-5.689001493225728e-09,0.0,56.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014500888029363,8.308966474335951e-05,0.4999584551676283,nan,1583.2713149720803,9079.4814453125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.6984076984226704,55.0,74.0,0.7432432432432432,0.0,55.0,0.0,1.0,0.15000660782817785,0.0,0.15000660782817785,0.0,0.6,0.0037755179329291787,0.9999999979112933,0.6677084820605341,-3.5197722779499863e-09,0.0,55.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014601429850284,0.00010017414431228426,0.49994991292784385,nan,1577.6820909813978,9074.98046875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6810880284756422,40.0,74.0,0.5405405405405406,3.0,37.0,0.075,0.925,0.15009787501390204,0.1456617193736919,0.1504575633090542,0.0,0.6,0.0037755179329291787,1.0000000000239504,0.6564145709467227,-3.400632678933142e-09,3.0,37.0,0.85,12.333333333333334,1.0,0.3843115152725972,0.2663844432679211,2.0,0.5040777162296962,0.004325935651254637,0.4978370321743727,0.0021197543173493193,1582.6618580031209,8903.2275390625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.688979996368289,37.0,74.0,0.5,0.0,37.0,0.0,1.0,0.14989331420577104,0.0,0.14989331420577104,0.0,0.6,0.0037755179329291787,0.9999999997473531,0.6610077760208567,4.705529851606402e-10,0.0,37.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5022829251703668,-0.00010605155201178164,0.5000530257760059,nan,1589.3470820155926,8882.2275390625,,,,,,,,,,
