step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.6957098599523306,66.0,74.0,0.8918918918918919,1.0,65.0,0.015151515151515152,0.9848484848484849,0.16869467967614427,0.16608975498960216,0.16873475544055258,0.0,0.6,0.005798652457006398,1.000000000549496,0.6316118629590495,1.3702440930880827e-08,1.0,65.0,0.9696969696969697,65.0,1.0,0.11327427464320065,0.07851574409890744,2.0,0.5013431989287176,0.00031739735345345696,0.49984130132327326,0.0028470553812815855,2218.172917026095,8606.0244140625,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.6969009414315224,64.0,74.0,0.8648648648648649,0.0,64.0,0.0,1.0,0.16882205548360368,0.0,0.16882205548360368,0.0,0.6,0.005798652457006398,0.9999999997154122,0.6518236574444892,8.410372810995485e-09,0.0,64.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016955242362736,0.00019736119623649104,0.49990131940188176,nan,1600.3738479921594,9168.92041015625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6864813659340143,61.0,74.0,0.8243243243243243,4.0,57.0,0.06557377049180328,0.9344262295081968,0.16928031228598314,0.16623823461792914,0.16949379142058343,0.0,0.6,0.005798652457006398,1.0000000000625269,0.6424613045026972,8.720776823487455e-09,4.0,57.0,0.8688524590163934,14.25,1.0,0.34918434465340825,0.24203614399218215,2.0,0.5038958662428259,0.001233715985227204,0.49938314200738637,0.013464846923563157,1594.1246529691853,9139.53564453125,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6990041639655828,61.0,74.0,0.8243243243243243,0.0,61.0,0.0,1.0,0.16869798707414244,0.0,0.16869798707414244,0.0,0.6,0.005798652457006398,1.0000000005305123,0.6372109137999824,-3.31147410344534e-09,0.0,61.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012610050718842,0.0001404009982996451,0.4999297995008502,nan,1593.7666120007634,9136.294921875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.7207131925970316,49.0,74.0,0.6621621621621622,3.0,46.0,0.061224489795918366,0.9387755102040817,0.16908943594186293,0.1658466113014694,0.16930092450536688,0.0,0.6,0.005798652457006398,1.0000000000308753,0.6340421777345246,3.9885635850910414e-09,3.0,46.0,0.8775510204081632,15.333333333333334,1.0,0.33228660136771543,0.2303235208758784,2.0,0.5040725272016161,0.0001584228838999899,0.49992078855805,0.013329233852430662,1585.0362820201553,8999.78564453125,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.7154907938092947,53.0,74.0,0.7162162162162162,7.0,46.0,0.1320754716981132,0.8679245283018868,0.1692996472185527,0.16589823428392883,0.1698172535346911,0.0,0.6,0.005798652457006398,1.0000000000334652,0.6216068359783835,2.574854955332743e-09,7.0,46.0,0.7358490566037735,6.571428571428571,1.0,0.5631027948974909,0.390313114648621,2.0,0.5053508320062319,8.08819566973659e-05,0.4999595590216513,0.0027577325833296785,1583.8940989924595,9040.53564453125,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.709768570959568,61.0,74.0,0.8243243243243243,4.0,57.0,0.06557377049180328,0.9344262295081968,0.1688455355535662,0.165500115849197,0.16908030184860962,0.0,0.6,0.005798652457006398,0.9999999999505351,0.6265144923455702,9.566398903565101e-10,4.0,57.0,0.8688524590163934,14.25,1.0,0.34918434465340825,0.24203614399218215,2.0,0.5032456727915862,0.0013791898398499173,0.499310405080075,0.020996129699132657,1591.434424975887,9127.29296875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.6947284042835236,67.0,74.0,0.9054054054054054,2.0,65.0,0.029850746268656716,0.9701492537313433,0.16890656717785563,0.16622301630536207,0.1689891379739323,0.0,0.6,0.005798652457006398,1.00000000126344,0.6406983501937091,-1.62075008392751e-08,2.0,65.0,0.9402985074626866,32.5,1.0,0.19364277583000022,0.13422294410236618,2.0,0.5022939361457242,-0.0002763375639376507,0.5001381687819688,0.004336279010756325,1589.602507010568,9212.794921875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6951905712485313,68.0,74.0,0.918918918918919,1.0,67.0,0.014705882352941176,0.9852941176470589,0.16862678971002365,0.1665880428965547,0.16865721876694112,0.0,0.6,0.005798652457006398,1.0000000002381613,0.6339231656317896,-4.614465298437878e-11,1.0,67.0,0.9705882352941176,67.0,1.0,0.11058081591599117,0.0766487807761876,2.0,0.5019476253113855,0.00014834594496180117,0.4999258270275191,0.0005333934042562227,1596.4928370085545,9219.54541015625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6932612806558609,67.0,74.0,0.9054054054054054,0.0,67.0,0.0,1.0,0.1686149545910264,0.0,0.1686149545910264,0.0,0.6,0.005798652457006398,1.0000000012125179,0.6037956978068325,-9.229137075891909e-09,0.0,67.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016014559327318,0.00027994318215122975,0.4998600284089244,nan,1603.840923984535,9217.29541015625,,,,,,,,,,
