step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7539014220237732,424.6892330702394,3211.705078125,,,,,
2,1,2,0.0,32.0,32.0,0.7836986780166626,110.52414507139474,4704.56787109375,,,,,
3,1,3,0.0,32.0,32.0,0.7604430913925171,111.1570899374783,4410.056640625,,,,,
4,1,4,0.0,32.0,32.0,0.8316564559936523,175.55274500045925,4271.564453125,,,,,
5,1,5,0.0,32.0,32.0,0.7062150239944458,62.35453300178051,4485.7744140625,,,,,
6,1,6,0.0,32.0,32.0,0.7861655950546265,61.55327497981489,4433.376953125,,,,,
7,1,7,0.0,32.0,32.0,0.7130261659622192,61.91610696259886,4485.7744140625,,,,,
8,1,8,0.0,32.0,32.0,0.717137336730957,61.14467000588775,4433.376953125,,,,,
9,1,9,0.0,32.0,32.0,0.7287720441818237,62.2339250985533,4508.0693359375,,,,,
10,1,10,0.0,32.0,32.0,0.6531031727790833,64.60268795490265,4555.076171875,,,,,
11,1,11,0.0,32.0,32.0,0.686355471611023,61.95821100845933,4386.42041015625,,,,,
12,1,12,0.0,32.0,32.0,0.7780944108963013,66.04607100598514,4734.25,,,,,
13,1,13,0.0,32.0,32.0,0.7276980876922607,67.44652101770043,4508.0693359375,,,,,
14,1,14,0.0,32.0,32.0,0.7222558259963989,73.54381703771651,4764.27734375,,,,,
15,1,15,0.0,32.0,32.0,0.7193264961242676,76.1896810727194,4734.25,,,,,
16,1,16,0.0,32.0,32.0,0.7244163751602173,74.0317489253357,4331.32958984375,,,,,
17,1,17,0.0,32.0,32.0,0.701095700263977,81.32262004073709,4386.42041015625,,,,,
18,1,18,0.0,32.0,32.0,0.6834367513656616,81.05500100646168,4698.25146484375,,,,,
19,1,19,0.0,32.0,32.0,0.6953849792480469,68.72155400924385,4508.0693359375,,,,,
20,1,20,0.0,32.0,32.0,0.6933823823928833,66.45297701470554,4433.376953125,,,,,
21,1,21,0.0,32.0,32.0,0.6884433031082153,60.63304003328085,4212.10302734375,,,,,
22,1,22,0.0,32.0,32.0,0.6827458739280701,63.69883508887142,4555.076171875,,,,,
23,1,23,0.0,32.0,32.0,0.6801368594169617,56.12684693187475,4063.82470703125,,,,,
24,1,24,0.0,32.0,32.0,0.6671419143676758,72.029375936836,5045.93505859375,,,,,
25,1,25,0.0,32.0,32.0,0.681870698928833,66.07717194128782,4555.076171875,,,,,
26,1,26,0.0,32.0,32.0,0.6535016298294067,62.92035093065351,4108.03271484375,,,,,
27,1,27,0.0,32.0,32.0,0.6397150158882141,72.21158302854747,4865.3291015625,,,,,
28,1,28,0.0,32.0,32.0,0.6894626617431641,71.22687494847924,4622.13720703125,,,,,
29,1,29,0.0,32.0,32.0,0.6585873365402222,73.13248794525862,4622.13720703125,,,,,
30,1,30,0.0,32.0,32.0,0.6213451623916626,68.64794599823654,4307.3642578125,,,,,
31,1,31,0.0,32.0,32.0,0.6713161468505859,88.91996298916638,4884.15185546875,,,,,
32,1,32,0.0,32.0,32.0,0.625308632850647,76.78368501365185,4555.076171875,,,,,
33,1,33,0.0,32.0,32.0,0.6366681456565857,79.14883701596409,4794.64794921875,,,,,
34,1,34,0.0,32.0,32.0,0.6335526704788208,67.78869603294879,4331.32958984375,,,,,
35,1,35,0.0,32.0,32.0,0.5741624236106873,61.80027697701007,4212.10302734375,,,,,
36,1,36,0.0,32.0,32.0,0.5880357623100281,59.707504929974675,4136.080078125,,,,,
37,1,37,0.0,32.0,32.0,0.5259371995925903,63.507269020192325,4764.27734375,,,,,
38,1,38,0.0,32.0,32.0,0.6197668313980103,73.27417191118002,4808.83935546875,,,,,
39,1,39,0.0,32.0,32.0,0.550184965133667,69.10680199507624,4639.8251953125,,,,,
40,1,40,0.0,32.0,32.0,0.5992270708084106,65.80438301898539,4555.076171875,,,,,
41,1,41,0.0,32.0,32.0,0.6499860286712646,60.983736999332905,4307.3642578125,,,,,
42,1,42,0.0,32.0,32.0,0.5441188216209412,76.9268610747531,5015.54736328125,,,,,
43,1,43,0.0,32.0,32.0,0.49175500869750977,75.2355350414291,3876.0302734375,,,,,
44,1,44,0.0,32.0,32.0,0.6252298355102539,66.21099903713912,4410.056640625,,,,,
45,1,45,0.0,32.0,32.0,0.4811132848262787,66.67581794317812,4167.5205078125,,,,,
46,1,46,0.0,32.0,32.0,0.5173470973968506,61.39014090877026,4045.24072265625,,,,,
47,1,47,0.0,32.0,32.0,0.5088603496551514,74.64086799882352,4622.13720703125,,,,,
48,1,48,0.0,32.0,32.0,0.478148490190506,79.09186801407486,4956.47900390625,,,,,
49,1,49,0.0,32.0,32.0,0.5648236274719238,72.4819659953937,4698.25146484375,,,,,
50,1,50,0.0,32.0,32.0,0.5169872045516968,65.0310079799965,4410.056640625,,,,,
51,1,51,0.0,32.0,32.0,0.5049059391021729,60.0563760381192,4307.3642578125,,,,,
52,1,52,0.0,32.0,32.0,0.5500221252441406,62.308858963660896,4271.564453125,,,,,
53,1,53,0.0,32.0,32.0,0.4978226125240326,69.88351396284997,4764.27734375,,,,,
54,1,54,0.0,32.0,32.0,0.4407498240470886,61.864704941399395,4167.5205078125,,,,,
55,1,55,0.0,32.0,32.0,0.5194127559661865,60.35116291604936,4167.5205078125,,,,,
56,1,56,0.0,32.0,32.0,0.38673341274261475,70.86102396715432,4622.13720703125,,,,,
57,1,57,0.0,32.0,32.0,0.5059782266616821,83.35012500174344,5212.2392578125,,,,,
58,1,58,0.0,32.0,32.0,0.4358431398868561,71.32816000375897,4575.50634765625,,,,,
59,1,59,0.0,32.0,32.0,0.4133375287055969,70.20438311155885,4433.376953125,,,,,
60,1,60,0.0,32.0,32.0,0.3929376006126404,65.54785708431154,4307.3642578125,,,,,
61,1,61,0.0,32.0,32.0,0.5065345764160156,69.95090493001044,4555.076171875,,,,,
62,1,62,0.0,32.0,32.0,0.43072444200515747,66.00004399660975,4212.10302734375,,,,,
63,1,63,0.0,32.0,32.0,0.40263861417770386,63.92341700848192,4167.5205078125,,,,,
64,1,64,0.0,32.0,32.0,0.28534936904907227,63.55717091355473,4167.5205078125,,,,,
65,1,65,0.0,32.0,32.0,0.47127848863601685,66.79485202766955,4508.0693359375,,,,,
66,1,66,0.0,32.0,32.0,0.4571291208267212,63.716834993101656,4271.564453125,,,,,
67,1,67,0.0,32.0,32.0,0.4835657477378845,73.6205109860748,4808.83935546875,,,,,
68,1,68,0.0,32.0,32.0,0.45893603563308716,79.47187509853393,5123.66064453125,,,,,
69,1,69,0.0,32.0,32.0,0.41767823696136475,69.41062805708498,4622.13720703125,,,,,
70,1,70,0.0,32.0,32.0,0.44279178977012634,67.36912904307246,4485.7744140625,,,,,
71,1,71,0.0,32.0,32.0,0.41488900780677795,63.35325597319752,4167.5205078125,,,,,
72,1,72,0.0,32.0,32.0,0.5210946798324585,78.11794197186828,4808.83935546875,,,,,
73,1,73,0.0,32.0,32.0,0.5415351390838623,71.6420829994604,4485.7744140625,,,,,
74,1,74,0.0,32.0,32.0,0.3437296152114868,69.53154690563679,4485.7744140625,,,,,
75,1,75,0.0,32.0,32.0,0.4326299726963043,70.47084497753531,4485.7744140625,,,,,
76,1,76,0.0,32.0,32.0,0.4733792841434479,68.95482598338276,4433.376953125,,,,,
77,1,77,0.0,32.0,32.0,0.45846080780029297,67.61992897372693,4386.42041015625,,,,,
78,1,78,0.0,32.0,32.0,0.5709247589111328,66.53424503747374,4433.376953125,,,,,
79,1,79,0.0,32.0,32.0,0.35383278131484985,68.23030894156545,4555.076171875,,,,,
80,1,80,0.0,32.0,32.0,0.32315266132354736,67.51115305814892,4508.0693359375,,,,,
81,1,81,0.0,32.0,32.0,0.39537811279296875,65.4498829971999,4433.376953125,,,,,
82,1,82,0.0,32.0,32.0,0.3564884066581726,71.45796006079763,4734.25,,,,,
83,1,83,0.0,32.0,32.0,0.33981776237487793,64.26845700480044,4271.564453125,,,,,
