step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7539014220237732,426.75397801212966,3211.705078125,,,,,
2,1,2,0.0,32.0,32.0,0.7836986780166626,108.82723389659077,4704.56787109375,,,,,
3,1,3,0.0,32.0,32.0,0.7597941160202026,113.87872905470431,4410.056640625,,,,,
4,1,4,0.0,32.0,32.0,0.8282778859138489,173.43300604261458,4271.564453125,,,,,
5,1,5,0.0,32.0,32.0,0.7043906450271606,62.3227849137038,4485.7744140625,,,,,
6,1,6,0.0,32.0,32.0,0.7753911018371582,60.778975021094084,4433.376953125,,,,,
7,1,7,0.0,32.0,32.0,0.706073522567749,62.02970806043595,4485.7744140625,,,,,
8,1,8,0.0,32.0,32.0,0.7069399356842041,62.21781496424228,4433.376953125,,,,,
9,1,9,0.0,32.0,32.0,0.7124946117401123,62.99195589963347,4508.0693359375,,,,,
10,1,10,0.0,32.0,32.0,0.6662324666976929,64.60325804073364,4555.076171875,,,,,
11,1,11,0.0,32.0,32.0,0.6786608695983887,61.336598941124976,4386.42041015625,,,,,
12,1,12,0.0,32.0,32.0,0.7161543369293213,66.15251093171537,4734.25,,,,,
13,1,13,0.0,32.0,32.0,0.6682871580123901,64.42111695650965,4508.0693359375,,,,,
14,1,14,0.0,32.0,32.0,0.6438249945640564,71.8465680256486,4764.27734375,,,,,
15,1,15,0.0,32.0,32.0,0.6529492735862732,76.48266898468137,4734.25,,,,,
16,1,16,0.0,32.0,32.0,0.6410742402076721,74.97718895319849,4331.32958984375,,,,,
17,1,17,0.0,32.0,32.0,0.6541587114334106,80.88860695715994,4386.42041015625,,,,,
18,1,18,0.0,32.0,32.0,0.6489753127098083,82.14652806054801,4698.25146484375,,,,,
19,1,19,0.0,32.0,32.0,0.641116738319397,69.97556006535888,4508.0693359375,,,,,
20,1,20,0.0,32.0,32.0,0.6484789848327637,66.13660498987883,4433.376953125,,,,,
