step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7003102898597717,435.0771619938314,3436.10791015625,,,,,
2,1,2,0.0,32.0,32.0,0.677495539188385,103.57951396144927,4150.3056640625,,,,,
3,1,3,0.0,32.0,32.0,0.7181792259216309,117.81233199872077,4761.55908203125,,,,,
4,1,4,0.0,32.0,32.0,0.7024763226509094,170.19251896999776,4089.75341796875,,,,,
5,1,5,0.0,32.0,32.0,0.7056542634963989,61.67721201200038,4581.57421875,,,,,
6,1,6,0.0,32.0,32.0,0.6973680257797241,60.57304400019348,4412.95166015625,,,,,
7,1,7,0.0,32.0,32.0,0.6798182725906372,61.082025058567524,4491.7490234375,,,,,
8,1,8,0.0,32.0,32.0,0.7032051682472229,57.14839603751898,4188.03955078125,,,,,
9,1,9,0.0,32.0,32.0,0.7425544261932373,54.54517307225615,3956.21240234375,,,,,
10,1,10,0.0,32.0,32.0,0.6901962161064148,59.44869201630354,4412.95166015625,,,,,
11,1,11,0.0,32.0,32.0,0.6390725374221802,56.59694306086749,4188.03955078125,,,,,
12,1,12,0.0,32.0,32.0,0.807513952255249,57.08297609817237,4102.64794921875,,,,,
13,1,13,0.0,32.0,32.0,0.7453017234802246,64.14365593809634,4598.615234375,,,,,
14,1,14,0.0,32.0,32.0,0.81645268201828,53.02238301374018,3841.0966796875,,,,,
15,1,15,0.0,32.0,32.0,0.7028475403785706,65.8266949467361,4575.63818359375,,,,,
16,1,16,0.0,32.0,32.0,0.7013736963272095,64.56579302903265,4021.75927734375,,,,,
17,1,17,0.0,32.0,32.0,0.6699427962303162,72.86138506606221,4412.95166015625,,,,,
18,1,18,0.0,32.0,32.0,0.7065811157226562,71.80535804945976,4089.75341796875,,,,,
19,1,19,0.0,32.0,32.0,0.7084877490997314,79.09282308537513,4598.615234375,,,,,
20,1,20,0.0,32.0,32.0,0.6839506030082703,68.82887508254498,4386.77001953125,,,,,
21,1,21,0.0,32.0,32.0,0.7046679854393005,62.90344905573875,4326.92431640625,,,,,
22,1,22,0.0,32.0,32.0,0.6966375708580017,53.391041001304984,3841.0966796875,,,,,
23,1,23,0.0,32.0,32.0,0.6542490124702454,58.74921602662653,4270.58349609375,,,,,
24,1,24,0.0,32.0,32.0,0.6252486705780029,59.29529597051442,4359.7080078125,,,,,
25,1,25,0.0,32.0,32.0,0.694962739944458,71.59492198843509,4984.17431640625,,,,,
26,1,26,0.0,32.0,32.0,0.6977920532226562,58.77656990196556,4188.03955078125,,,,,
27,1,27,0.0,32.0,32.0,0.6741632223129272,54.670501966029406,3925.8359375,,,,,
28,1,28,0.0,32.0,32.0,0.8185008764266968,61.4969739690423,4524.11572265625,,,,,
29,1,29,0.0,32.0,32.0,0.7990995645523071,71.88961596693844,4869.16162109375,,,,,
30,1,30,0.0,32.0,32.0,0.658789873123169,65.18396001774818,4386.77001953125,,,,,
31,1,31,0.0,32.0,32.0,0.6644977331161499,72.61196803301573,4673.69677734375,,,,,
32,1,32,0.0,32.0,32.0,0.6850560307502747,66.40548293944448,4021.75927734375,,,,,
33,1,33,0.0,32.0,32.0,0.7391525506973267,69.44622006267309,4228.83642578125,,,,,
34,1,34,0.0,32.0,32.0,0.6852799654006958,80.928711919114,4801.88330078125,,,,,
35,1,35,0.0,32.0,32.0,0.6623860597610474,67.37597694154829,4228.83642578125,,,,,
36,1,36,0.0,32.0,32.0,0.678281307220459,64.22892201226205,4326.92431640625,,,,,
37,1,37,0.0,32.0,32.0,0.6811120510101318,60.64663105644286,4188.03955078125,,,,,
38,1,38,0.0,32.0,32.0,0.7022792100906372,57.621440035291016,3956.21240234375,,,,,
39,1,39,0.0,32.0,32.0,0.7087147235870361,65.91589201707393,4673.69677734375,,,,,
40,1,40,0.0,32.0,32.0,0.6761172413825989,57.53837898373604,4002.3671875,,,,,
41,1,41,0.0,32.0,32.0,0.6771163940429688,60.85463601630181,4412.95166015625,,,,,
42,1,42,0.0,32.0,32.0,0.6946414113044739,59.027315001003444,4270.58349609375,,,,,
43,1,43,0.0,32.0,32.0,0.7156295776367188,59.722539968788624,4359.7080078125,,,,,
44,1,44,0.0,32.0,32.0,0.7093828916549683,59.89645200315863,4102.64794921875,,,,,
45,1,45,0.0,32.0,32.0,0.6784653663635254,57.2087939362973,3925.8359375,,,,,
46,1,46,0.0,32.0,32.0,0.6377708911895752,63.163632061332464,4270.58349609375,,,,,
47,1,47,0.0,32.0,32.0,0.6847009658813477,80.24236594792455,4984.17431640625,,,,,
48,1,48,0.0,32.0,32.0,0.6944611668586731,60.31077296938747,3900.46875,,,,,
49,1,49,0.0,32.0,32.0,0.7029812335968018,61.134907067753375,4188.03955078125,,,,,
50,1,50,0.0,32.0,32.0,0.716098427772522,71.44104596227407,4491.7490234375,,,,,
51,1,51,0.0,32.0,32.0,0.6980089545249939,78.42576806433499,4943.97265625,,,,,
52,1,52,0.0,32.0,32.0,0.6624060273170471,60.3680619969964,4002.3671875,,,,,
53,1,53,0.0,32.0,32.0,0.6891321539878845,56.567338993772864,4089.75341796875,,,,,
54,1,54,0.0,32.0,32.0,0.6864081621170044,61.171334935352206,4286.87060546875,,,,,
55,1,55,0.0,32.0,32.0,0.6816965341567993,63.2035800954327,4491.7490234375,,,,,
56,1,56,0.0,32.0,32.0,0.6932296752929688,62.166219926439226,4386.77001953125,,,,,
57,1,57,0.0,32.0,32.0,0.6905369162559509,58.078562025912106,4049.291015625,,,,,
58,1,58,0.0,32.0,32.0,0.7190351486206055,59.77848207112402,4270.58349609375,,,,,
59,1,59,0.0,32.0,32.0,0.6829882264137268,60.57133502326906,4102.64794921875,,,,,
60,1,60,0.0,32.0,32.0,0.6672934293746948,59.14756003767252,4049.291015625,,,,,
61,1,61,0.0,32.0,32.0,0.6872419714927673,58.16446803510189,3925.8359375,,,,,
62,1,62,0.0,32.0,32.0,0.6632969379425049,63.812697073444724,4326.92431640625,,,,,
63,1,63,0.0,32.0,32.0,0.7002132534980774,59.38581295777112,3718.1826171875,,,,,
64,1,64,0.0,32.0,32.0,0.7424760460853577,71.09637802932411,4598.615234375,,,,,
65,1,65,0.0,32.0,32.0,0.6796972751617432,67.68219592049718,4359.7080078125,,,,,
66,1,66,0.0,32.0,32.0,0.6746153831481934,65.86587394122034,4286.87060546875,,,,,
67,1,67,0.0,32.0,32.0,0.7007782459259033,63.660957966931164,4049.291015625,,,,,
68,1,68,0.0,32.0,32.0,0.6946638822555542,66.1832399200648,4491.7490234375,,,,,
69,1,69,0.0,32.0,32.0,0.7031983733177185,64.61389805190265,4412.95166015625,,,,,
70,1,70,0.0,32.0,32.0,0.6581363677978516,64.16187796276063,4524.11572265625,,,,,
71,1,71,0.0,32.0,32.0,0.7219915986061096,65.13170304242522,4491.7490234375,,,,,
72,1,72,0.0,32.0,32.0,0.6655917167663574,56.67406693100929,4089.75341796875,,,,,
73,1,73,0.0,32.0,32.0,0.7260197401046753,63.275369931943715,4524.11572265625,,,,,
74,1,74,0.0,32.0,32.0,0.6783705949783325,57.503391057252884,4021.75927734375,,,,,
75,1,75,0.0,32.0,32.0,0.694298505783081,59.91171894129366,4150.8564453125,,,,,
76,1,76,0.0,32.0,32.0,0.6417102217674255,60.265266918577254,4150.8564453125,,,,,
77,1,77,0.0,32.0,32.0,0.7192880511283875,65.61332708224654,4412.95166015625,,,,,
78,1,78,0.0,32.0,32.0,0.666276216506958,63.326946925371885,4286.87060546875,,,,,
79,1,79,0.0,32.0,32.0,0.7059177756309509,61.73100299201906,4002.3671875,,,,,
80,1,80,0.0,32.0,32.0,0.6594060659408569,63.79433302208781,4270.58349609375,,,,,
81,1,81,0.0,32.0,32.0,0.6749943494796753,72.37410300876945,4646.24169921875,,,,,
82,1,82,0.0,32.0,32.0,0.6747410297393799,67.87820800673217,4524.11572265625,,,,,
83,1,83,0.0,32.0,32.0,0.6881526708602905,64.29718690924346,4286.87060546875,,,,,
84,1,84,0.0,32.0,32.0,0.7054412961006165,58.39035799726844,4089.75341796875,,,,,
85,1,85,0.0,32.0,32.0,0.6960374116897583,61.68343301396817,4359.7080078125,,,,,
86,1,86,0.0,32.0,32.0,0.6943638324737549,62.52319598570466,4270.58349609375,,,,,
87,1,87,0.0,32.0,32.0,0.6913406252861023,63.96688905078918,4412.95166015625,,,,,
88,1,88,0.0,32.0,32.0,0.6823186874389648,61.60650693345815,4188.03955078125,,,,,
89,1,89,0.0,32.0,32.0,0.6653532981872559,61.2234539585188,4359.7080078125,,,,,
90,1,90,0.0,32.0,32.0,0.7079336047172546,58.97686502430588,4002.3671875,,,,,
91,1,91,0.0,32.0,32.0,0.6731201410293579,61.81227206252515,4270.58349609375,,,,,
92,1,92,0.0,32.0,32.0,0.7381488084793091,69.1489449236542,4646.24169921875,,,,,
93,1,93,0.0,32.0,32.0,0.6949330568313599,62.20148399006575,4102.64794921875,,,,,
94,1,94,0.0,32.0,32.0,0.7015223503112793,61.76607101224363,4188.03955078125,,,,,
95,1,95,0.0,32.0,32.0,0.6953265070915222,70.88591391220689,4646.24169921875,,,,,
96,1,96,0.0,32.0,32.0,0.7016050815582275,70.85530005861074,4581.57421875,,,,,
97,1,97,0.0,32.0,32.0,0.6948212385177612,60.95329602248967,3956.21240234375,,,,,
98,1,98,0.0,32.0,32.0,0.6819226741790771,59.763564029708505,4002.3671875,,,,,
99,1,99,0.0,32.0,32.0,0.6750541925430298,63.10906098224223,4286.87060546875,,,,,
100,1,100,0.0,32.0,32.0,0.677885890007019,63.514439039863646,4359.7080078125,,,,,
100,1,,1.0,32.0,32.0,,63.514439039863646,4359.7080078125,0.5091743119266054,0.696159343634333,0.5578256544269403,0.6866716052177683,0.04865134250033487
