step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7003102898597717,430.39011501241475,3436.10791015625,,,,,
2,1,2,0.0,32.0,32.0,0.6805452704429626,102.12930501438677,4150.3056640625,,,,,
3,1,3,0.0,32.0,32.0,0.7222597599029541,111.51400906965137,4761.55908203125,,,,,
4,1,4,0.0,32.0,32.0,0.7054387331008911,168.86509105097502,4089.75341796875,,,,,
5,1,5,0.0,32.0,32.0,0.7093082666397095,61.623940942808986,4581.57421875,,,,,
6,1,6,0.0,32.0,32.0,0.7000142335891724,61.59905390813947,4412.95166015625,,,,,
7,1,7,0.0,32.0,32.0,0.680229902267456,61.514121014624834,4491.7490234375,,,,,
8,1,8,0.0,32.0,32.0,0.6948319673538208,57.07096995320171,4188.03955078125,,,,,
9,1,9,0.0,32.0,32.0,0.7147881984710693,54.48790790978819,3956.21240234375,,,,,
10,1,10,0.0,32.0,32.0,0.6955069303512573,59.72148501314223,4412.95166015625,,,,,
11,1,11,0.0,32.0,32.0,0.6510747075080872,57.480040937662125,4188.03955078125,,,,,
12,1,12,0.0,32.0,32.0,0.6751484870910645,56.928514037281275,4102.64794921875,,,,,
13,1,13,0.0,32.0,32.0,0.6345006227493286,64.94674098212272,4598.615234375,,,,,
14,1,14,0.0,32.0,32.0,0.6050522327423096,55.750404950231314,3841.0966796875,,,,,
15,1,15,0.0,32.0,32.0,0.696856677532196,65.80165505874902,4575.63818359375,,,,,
16,1,16,0.0,32.0,32.0,0.5349031686782837,63.07387806009501,4021.75927734375,,,,,
17,1,17,0.0,32.0,32.0,0.5836185812950134,73.2485520420596,4412.95166015625,,,,,
18,1,18,0.0,32.0,32.0,0.5853250026702881,70.59230597224087,4089.75341796875,,,,,
19,1,19,0.0,32.0,32.0,0.48811885714530945,78.46848096232861,4598.615234375,,,,,
20,1,20,0.0,32.0,32.0,0.4118175506591797,68.63812101073563,4386.77001953125,,,,,
21,1,21,0.0,32.0,32.0,0.4624236822128296,63.81986802443862,4326.92431640625,,,,,
22,1,22,0.0,32.0,32.0,0.44110479950904846,53.486153949052095,3841.0966796875,,,,,
23,1,23,0.0,32.0,32.0,0.22830082476139069,58.631730964407325,4270.58349609375,,,,,
24,1,24,0.0,32.0,32.0,0.3041570782661438,57.92919697705656,4359.7080078125,,,,,
25,1,25,0.0,32.0,32.0,0.20305097103118896,72.35347910318524,4984.17431640625,,,,,
26,1,26,0.0,32.0,32.0,0.4685008227825165,59.35438710730523,4188.03955078125,,,,,
27,1,27,0.0,32.0,32.0,0.18566259741783142,54.62916800752282,3925.8359375,,,,,
28,1,28,0.0,32.0,32.0,0.09782648086547852,62.274178955703974,4524.11572265625,,,,,
29,1,29,0.0,32.0,32.0,0.6846250295639038,73.82906996645033,4869.16162109375,,,,,
30,1,30,0.0,32.0,32.0,1.048886775970459,64.3651329446584,4386.77001953125,,,,,
31,1,31,0.0,32.0,32.0,1.1119623184204102,73.8475969992578,4673.69677734375,,,,,
32,1,32,0.0,32.0,32.0,0.5598135590553284,66.96318194735795,4021.75927734375,,,,,
33,1,33,0.0,32.0,32.0,0.3958199620246887,69.06399899162352,4228.83642578125,,,,,
