step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7118915915489197,425.11541093699634,3211.9033203125,,,,,
2,1,2,0.0,32.0,32.0,0.695133626461029,117.6617129240185,5011.85009765625,,,,,
3,1,3,0.0,32.0,32.0,0.6894469261169434,112.74834501091391,4483.244140625,,,,,
4,1,4,0.0,32.0,32.0,0.6961643695831299,180.2624830743298,4698.69287109375,,,,,
5,1,5,0.0,32.0,32.0,0.7061945796012878,63.227368984371424,4549.4990234375,,,,,
6,1,6,0.0,32.0,32.0,0.701767086982727,60.668152989819646,4270.19384765625,,,,,
7,1,7,0.0,32.0,32.0,0.6978505849838257,57.83966602757573,4312.3798828125,,,,,
8,1,8,0.0,32.0,32.0,0.7003092169761658,61.75555905792862,4431.533203125,,,,,
9,1,9,0.0,32.0,32.0,0.7045291662216187,54.87829202320427,4060.23095703125,,,,,
10,1,10,0.0,32.0,32.0,0.7024561166763306,56.82770500425249,4140.39990234375,,,,,
11,1,11,0.0,32.0,32.0,0.7003542184829712,60.64370705280453,4404.369140625,,,,,
12,1,12,0.0,32.0,32.0,0.6950808763504028,60.907155042514205,4404.369140625,,,,,
13,1,13,0.0,32.0,32.0,0.7070003747940063,64.07173501793295,4483.244140625,,,,,
14,1,14,0.0,32.0,32.0,0.6942230463027954,61.36258505284786,4312.3798828125,,,,,
15,1,15,0.0,32.0,32.0,0.7018193006515503,64.87816805019975,4140.39990234375,,,,,
16,1,16,0.0,32.0,32.0,0.7004809975624084,70.05330093670636,4483.244140625,,,,,
17,1,17,0.0,32.0,32.0,0.6926581859588623,81.82712702546269,4483.244140625,,,,,
18,1,18,0.0,32.0,32.0,0.6866114139556885,88.19152892101556,4698.69287109375,,,,,
19,1,19,0.0,32.0,32.0,0.6910747289657593,71.69685908593237,4431.533203125,,,,,
20,1,20,0.0,32.0,32.0,0.7058796882629395,62.8574340371415,4312.3798828125,,,,,
21,1,21,0.0,32.0,32.0,0.6922286748886108,67.82211293466389,4614.01513671875,,,,,
22,1,22,0.0,32.0,32.0,0.6968250274658203,73.30255501437932,4907.6982421875,,,,,
23,1,23,0.0,32.0,32.0,0.696895956993103,71.72758597880602,4873.4541015625,,,,,
24,1,24,0.0,32.0,32.0,0.6876934766769409,65.48616010695696,4549.4990234375,,,,,
25,1,25,0.0,32.0,32.0,0.6939232349395752,65.27483894024044,4614.01513671875,,,,,
26,1,26,0.0,32.0,32.0,0.6836928129196167,67.6877360092476,4698.69287109375,,,,,
27,1,27,0.0,32.0,32.0,0.684411346912384,73.57749994844198,5011.09423828125,,,,,
28,1,28,0.0,32.0,32.0,0.696857213973999,63.42079397290945,4215.7724609375,,,,,
29,1,29,0.0,32.0,32.0,0.6966291069984436,70.12305001262575,4614.01513671875,,,,,
30,1,30,0.0,32.0,32.0,0.6970465183258057,71.87775790225714,4380.81494140625,,,,,
31,1,31,0.0,32.0,32.0,0.6795615553855896,75.13860205654055,4404.369140625,,,,,
32,1,32,0.0,32.0,32.0,0.6859204173088074,85.23327496368438,4793.14404296875,,,,,
33,1,33,0.0,32.0,32.0,0.6916283369064331,80.46263898722827,4793.14404296875,,,,,
34,1,34,0.0,32.0,32.0,0.6884814500808716,69.38425998669118,4483.244140625,,,,,
35,1,35,0.0,32.0,32.0,0.7001789808273315,69.43666003644466,4726.06640625,,,,,
36,1,36,0.0,32.0,32.0,0.6973341703414917,73.84144200477749,4973.427734375,,,,,
