step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7118915915489197,433.11747000552714,3211.9033203125,,,,,
2,1,2,0.0,32.0,32.0,0.695133626461029,116.78151995874941,5011.85009765625,,,,,
3,1,3,0.0,32.0,32.0,0.6858018636703491,113.44332504086196,4483.244140625,,,,,
4,1,4,0.0,32.0,32.0,0.7057740688323975,190.71184005588293,4698.69287109375,,,,,
5,1,5,0.0,32.0,32.0,0.6715090274810791,63.64401802420616,4549.4990234375,,,,,
6,1,6,0.0,32.0,32.0,0.6632246971130371,60.25477999355644,4270.19384765625,,,,,
7,1,7,0.0,32.0,32.0,0.7109951972961426,58.40699700638652,4312.3798828125,,,,,
8,1,8,0.0,32.0,32.0,0.6611195206642151,61.415488948114216,4431.533203125,,,,,
9,1,9,0.0,32.0,32.0,0.6623749732971191,55.1624889485538,4060.23095703125,,,,,
10,1,10,0.0,32.0,32.0,0.6435765027999878,57.56297195330262,4140.39990234375,,,,,
11,1,11,0.0,32.0,32.0,0.6306454539299011,61.16169202141464,4404.369140625,,,,,
12,1,12,0.0,32.0,32.0,0.7866681814193726,61.56790105160326,4404.369140625,,,,,
13,1,13,0.0,32.0,32.0,0.5914181470870972,62.434194958768785,4483.244140625,,,,,
14,1,14,0.0,32.0,32.0,0.6632162928581238,59.604546055197716,4312.3798828125,,,,,
15,1,15,0.0,32.0,32.0,0.6286662220954895,66.33227691054344,4140.39990234375,,,,,
16,1,16,0.0,32.0,32.0,0.590776801109314,72.05039099790156,4483.244140625,,,,,
17,1,17,0.0,32.0,32.0,0.6853475570678711,84.54300195444375,4483.244140625,,,,,
18,1,18,0.0,32.0,32.0,0.5920039415359497,89.84531695023179,4698.69287109375,,,,,
19,1,19,0.0,32.0,32.0,0.5900726914405823,73.37735791224986,4431.533203125,,,,,
20,1,20,0.0,32.0,32.0,0.5146995186805725,63.18384304177016,4312.3798828125,,,,,
21,1,21,0.0,32.0,32.0,0.573215126991272,67.49371893238276,4614.01513671875,,,,,
22,1,22,0.0,32.0,32.0,0.653719425201416,73.76433291938156,4907.6982421875,,,,,
23,1,23,0.0,32.0,32.0,0.6686388850212097,71.7931620310992,4873.4541015625,,,,,
24,1,24,0.0,32.0,32.0,0.4185756742954254,65.64415502361953,4549.4990234375,,,,,
25,1,25,0.0,32.0,32.0,0.46872466802597046,65.4889770084992,4614.01513671875,,,,,
26,1,26,0.0,32.0,32.0,0.5108000040054321,66.4915059460327,4698.69287109375,,,,,
