step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.7634958028793335,509.47833294048905,8964.47509765625,,,,,
2,1,2,0.0,128.0,128.0,0.7576385736465454,186.76305504050106,9887.81689453125,,,,,
3,1,3,0.0,128.0,128.0,0.7098276615142822,216.05317702051252,10940.892578125,,,,,
4,1,4,0.0,128.0,128.0,0.6987283825874329,281.920799985528,10940.642578125,,,,,
5,1,5,0.0,128.0,128.0,0.7129155397415161,155.245193047449,10046.2890625,,,,,
6,1,6,0.0,128.0,128.0,0.7006950378417969,197.19790504314005,11625.25146484375,,,,,
7,1,7,0.0,128.0,128.0,0.6768550872802734,199.55216301605105,11395.0185546875,,,,,
8,1,8,0.0,128.0,128.0,0.6706321239471436,220.2261929633096,10941.892578125,,,,,
9,1,9,0.0,128.0,128.0,0.6348637938499451,174.71678089350462,9761.89013671875,,,,,
10,1,10,0.0,128.0,128.0,0.5902273654937744,188.04804095998406,11620.39013671875,,,,,
11,1,11,0.0,128.0,128.0,0.5275070667266846,175.17239693552256,10536.57763671875,,,,,
12,1,12,0.0,128.0,128.0,0.6353163123130798,163.5224639903754,9889.25439453125,,,,,
13,1,13,0.0,128.0,128.0,0.5292030572891235,182.2220489848405,10278.2392578125,,,,,
14,1,14,0.0,128.0,128.0,0.5072821974754333,216.88349195756018,11064.08642578125,,,,,
15,1,15,0.0,128.0,128.0,0.6071054935455322,179.10555005073547,10536.57763671875,,,,,
16,1,16,0.0,128.0,128.0,0.6534632444381714,170.45236309058964,10278.2392578125,,,,,
17,1,17,0.0,128.0,128.0,0.5834203362464905,175.5215390585363,10683.837890625,,,,,
18,1,18,0.0,128.0,128.0,0.4390565752983093,172.8809439809993,10153.7431640625,,,,,
19,1,19,0.0,128.0,128.0,0.3993983268737793,192.2377059236169,10278.2392578125,,,,,
20,1,20,0.0,128.0,128.0,0.7289319038391113,164.71175802871585,9501.91943359375,,,,,
21,1,21,0.0,128.0,128.0,1.0923795700073242,174.0940579911694,10278.2392578125,,,,,
22,1,22,0.0,128.0,128.0,0.9278131723403931,163.02004898898304,10046.2890625,,,,,
23,1,23,0.0,128.0,128.0,0.9220569133758545,174.83291099779308,10447.91552734375,,,,,
24,1,24,0.0,128.0,128.0,0.663629949092865,189.5967989694327,10825.580078125,,,,,
25,1,25,0.0,128.0,128.0,0.6002819538116455,179.92167896591127,9761.89013671875,,,,,
26,1,26,0.0,128.0,128.0,0.608288049697876,196.90710701979697,11064.08642578125,,,,,
27,1,27,0.0,128.0,128.0,0.5737544298171997,176.85229098424315,10683.837890625,,,,,
28,1,28,0.0,128.0,128.0,0.5659670829772949,194.49312495999038,11502.65966796875,,,,,
29,1,29,0.0,128.0,128.0,0.4986983835697174,181.14808399695903,10683.837890625,,,,,
30,1,30,0.0,128.0,128.0,0.5237318873405457,176.02572601754218,9889.25439453125,,,,,
31,1,31,0.0,128.0,128.0,0.5164256691932678,166.6296700714156,9359.00830078125,,,,,
32,1,32,0.0,128.0,128.0,0.349264532327652,166.77653801161796,10046.2890625,,,,,
33,1,33,0.0,128.0,128.0,0.45156627893447876,184.16112300474197,10941.892578125,,,,,
34,1,34,0.0,128.0,128.0,0.33636194467544556,173.57533797621727,10447.91552734375,,,,,
35,1,35,0.0,128.0,128.0,0.3789677321910858,164.5544950151816,9501.91943359375,,,,,
36,1,36,0.0,128.0,128.0,0.36515510082244873,159.91808800026774,8951.53173828125,,,,,
37,1,37,0.0,128.0,128.0,0.3994901478290558,207.1433219825849,11502.65966796875,,,,,
38,1,38,0.0,128.0,128.0,0.35321593284606934,199.06963501125574,11757.158203125,,,,,
39,1,39,0.0,128.0,128.0,0.386217325925827,191.00661296397448,11197.2060546875,,,,,
40,1,40,0.0,128.0,128.0,0.29830044507980347,198.51210701745003,11396.0791015625,,,,,
41,1,41,0.0,128.0,128.0,0.25958696007728577,179.02282904833555,10153.7431640625,,,,,
42,1,42,0.0,128.0,128.0,0.38273653388023376,192.864277982153,10825.5908203125,,,,,
43,1,43,0.0,128.0,128.0,0.33354759216308594,183.66425903514028,10684.900390625,,,,,
44,1,44,0.0,128.0,128.0,0.2948762774467468,148.7364349886775,8951.53173828125,,,,,
45,1,45,0.0,128.0,128.0,0.22873860597610474,178.3557030139491,10684.900390625,,,,,
46,1,46,0.0,128.0,128.0,0.22842927277088165,186.52475194539875,10684.900390625,,,,,
47,1,47,0.0,128.0,128.0,0.3618640899658203,194.1125940065831,10946.642578125,,,,,
48,1,48,0.0,128.0,128.0,0.259490966796875,215.78801493160427,11880.93115234375,,,,,
49,1,49,0.0,128.0,128.0,0.312879741191864,178.38068201672286,10447.91552734375,,,,,
50,1,50,0.0,128.0,128.0,0.2609598636627197,162.39172092173249,9761.89013671875,,,,,
51,1,51,0.0,128.0,128.0,0.250299870967865,205.02991403918713,11617.05615234375,,,,,
52,1,52,0.0,128.0,128.0,0.24673011898994446,187.0480760699138,10534.13037109375,,,,,
53,1,53,0.0,128.0,128.0,0.3176838159561157,169.71047304105014,9889.25439453125,,,,,
54,1,54,0.0,128.0,128.0,0.2508184015750885,186.74477597232908,10826.6845703125,,,,,
55,1,55,0.0,128.0,128.0,0.26680126786231995,182.6999660115689,10685.154296875,,,,,
56,1,56,0.0,128.0,128.0,0.2912251651287079,199.65544692240655,11397.1943359375,,,,,
57,1,57,0.0,128.0,128.0,0.30241528153419495,185.82766398321837,10685.154296875,,,,,
58,1,58,0.0,128.0,128.0,0.26249492168426514,204.24982905387878,11397.1943359375,,,,,
59,1,59,0.0,128.0,128.0,0.28814005851745605,228.64210500847548,12570.96728515625,,,,,
60,1,60,0.0,128.0,128.0,0.22624430060386658,172.64653206802905,10153.7431640625,,,,,
61,1,61,0.0,128.0,128.0,0.2631204128265381,191.924913902767,11063.02392578125,,,,,
62,1,62,0.0,128.0,128.0,0.3042840361595154,139.11565393209457,8737.34423828125,,,,,
63,1,63,0.0,128.0,128.0,0.3534037172794342,199.80525004211813,11197.6044921875,,,,,
64,1,64,0.0,128.0,128.0,0.3257937729358673,191.47284608334303,10826.6845703125,,,,,
65,1,65,0.0,128.0,128.0,0.28096139430999756,176.84034898411483,10447.91552734375,,,,,
66,1,66,0.0,128.0,128.0,0.3032033145427704,185.36046601366252,10826.6845703125,,,,,
67,1,67,0.0,128.0,128.0,0.34970778226852417,172.3511490272358,10046.2890625,,,,,
68,1,68,0.0,128.0,128.0,0.22316771745681763,172.0433150185272,10046.2890625,,,,,
69,1,69,0.0,128.0,128.0,0.36755529046058655,188.94139595795423,10947.892578125,,,,,
70,1,70,0.0,128.0,128.0,0.2066430002450943,174.0558339515701,10153.7431640625,,,,,
71,1,71,0.0,128.0,128.0,0.1819862425327301,182.282930938527,10684.216796875,,,,,
72,1,72,0.0,128.0,128.0,0.2593488395214081,185.5457320343703,10826.6845703125,,,,,
73,1,73,0.0,128.0,128.0,0.19406959414482117,181.7132169380784,10447.91552734375,,,,,
74,1,74,0.0,128.0,128.0,0.20254655182361603,222.61883097235113,12179.84716796875,,,,,
75,1,75,0.0,128.0,128.0,0.21206369996070862,213.3144959807396,11881.39990234375,,,,,
76,1,76,0.0,128.0,128.0,0.20950719714164734,183.94066498149186,10533.48876953125,,,,,
77,1,77,0.0,128.0,128.0,0.21650207042694092,171.9783500302583,10046.2890625,,,,,
78,1,78,0.0,128.0,128.0,0.34475618600845337,169.6349720004946,9638.47705078125,,,,,
79,1,79,0.0,128.0,128.0,0.22856512665748596,162.81624301336706,9501.91943359375,,,,,
80,1,80,0.0,128.0,128.0,0.22154337167739868,164.89047405775636,9889.25439453125,,,,,
81,1,81,0.0,128.0,128.0,0.2296939194202423,213.97984796203673,11881.39990234375,,,,,
82,1,82,0.0,128.0,128.0,0.1833210289478302,180.7615739526227,10533.48876953125,,,,,
83,1,83,0.0,128.0,128.0,0.3018319010734558,188.90344502869993,10947.892578125,,,,,
84,1,84,0.0,128.0,128.0,0.16010357439517975,204.09336406737566,11398.48046875,,,,,
85,1,85,0.0,128.0,128.0,0.278311550617218,163.62234600819647,9638.47705078125,,,,,
86,1,86,0.0,128.0,128.0,0.18475626409053802,200.83566301036626,11501.05029296875,,,,,
87,1,87,0.0,128.0,128.0,0.20447462797164917,193.0626779794693,11063.02392578125,,,,,
88,1,88,0.0,128.0,128.0,0.17970450222492218,228.963713045232,12456.6123046875,,,,,
89,1,89,0.0,128.0,128.0,0.14558365941047668,229.07547501381487,12456.6123046875,,,,,
90,1,90,0.0,128.0,128.0,0.18403394520282745,176.67287797667086,10447.91552734375,,,,,
91,1,91,0.0,128.0,128.0,0.17177291214466095,202.3199669783935,11398.48046875,,,,,
92,1,92,0.0,128.0,128.0,0.18243364989757538,187.22965300548822,10947.892578125,,,,,
93,1,93,0.0,128.0,128.0,0.23455271124839783,166.85865900944918,9761.89013671875,,,,,
