step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.6997404098510742,568.3592850109562,10705.08544921875,,,,,
2,1,2,0.0,128.0,128.0,0.7002706527709961,202.1531609352678,10732.2373046875,,,,,
3,1,3,0.0,128.0,128.0,0.6894642114639282,205.99632302764803,10170.619140625,,,,,
4,1,4,0.0,128.0,128.0,0.6887848377227783,283.88504905160517,10810.2265625,,,,,
5,1,5,0.0,128.0,128.0,0.6936436295509338,168.20098704192787,10810.2265625,,,,,
6,1,6,0.0,128.0,128.0,0.67934250831604,168.80012897308916,9943.95849609375,,,,,
7,1,7,0.0,128.0,128.0,0.6858972311019897,215.53984796628356,12336.01708984375,,,,,
8,1,8,0.0,128.0,128.0,0.6739343404769897,248.04007599595934,11894.8818359375,,,,,
9,1,9,0.0,128.0,128.0,0.663554847240448,204.73546790890396,11646.869140625,,,,,
10,1,10,0.0,128.0,128.0,0.6280512809753418,179.19605504721403,11095.78173828125,,,,,
11,1,11,0.0,128.0,128.0,0.613693118095398,169.24886405467987,10170.619140625,,,,,
12,1,12,0.0,128.0,128.0,0.5173510313034058,217.27522206492722,12337.14208984375,,,,,
13,1,13,0.0,128.0,128.0,0.5761867761611938,248.33770608529449,12213.03271484375,,,,,
14,1,14,0.0,128.0,128.0,0.4759826362133026,182.67498107161373,10291.705078125,,,,,
15,1,15,0.0,128.0,128.0,0.4453352093696594,150.38779308088124,9505.75146484375,,,,,
16,1,16,0.0,128.0,128.0,0.3998711109161377,184.03706897515804,10810.2265625,,,,,
17,1,17,0.0,128.0,128.0,0.44941431283950806,173.62001410219818,10291.705078125,,,,,
18,1,18,0.0,128.0,128.0,0.352722704410553,186.4209669874981,10428.08837890625,,,,,
19,1,19,0.0,128.0,128.0,0.29153645038604736,189.17712103575468,10428.08837890625,,,,,
20,1,20,0.0,128.0,128.0,0.3353779911994934,168.97067800164223,10170.619140625,,,,,
21,1,21,0.0,128.0,128.0,0.39262014627456665,182.72448098286986,10981.361328125,,,,,
22,1,22,0.0,128.0,128.0,0.40997105836868286,170.00528902281076,10170.619140625,,,,,
23,1,23,0.0,128.0,128.0,0.2320358157157898,191.9619090622291,10981.361328125,,,,,
24,1,24,0.0,128.0,128.0,0.257999449968338,200.69395599421114,10981.361328125,,,,,
25,1,25,0.0,128.0,128.0,0.39787429571151733,166.6987689677626,9943.95849609375,,,,,
26,1,26,0.0,128.0,128.0,0.24583792686462402,188.46417404711246,10981.361328125,,,,,
27,1,27,0.0,128.0,128.0,0.22369062900543213,179.85023593064398,10589.89794921875,,,,,
28,1,28,0.0,128.0,128.0,0.2914125621318817,179.0416920557618,10732.2373046875,,,,,
29,1,29,0.0,128.0,128.0,0.32124584913253784,165.56381806731224,9655.23681640625,,,,,
