step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.7634958028793335,512.9810450598598,8964.47509765625,,,,,
2,1,2,0.0,128.0,128.0,0.7576385736465454,190.55076804943383,9887.81689453125,,,,,
3,1,3,0.0,128.0,128.0,0.7098276615142822,213.66904804017395,10940.892578125,,,,,
4,1,4,0.0,128.0,128.0,0.6987283825874329,282.5978600885719,10940.642578125,,,,,
5,1,5,0.0,128.0,128.0,0.7129155397415161,154.85847694799304,10046.2890625,,,,,
6,1,6,0.0,128.0,128.0,0.7006950378417969,204.4783430173993,11625.25146484375,,,,,
7,1,7,0.0,128.0,128.0,0.6768550872802734,207.19541190192103,11395.0185546875,,,,,
8,1,8,0.0,128.0,128.0,0.6706321239471436,220.712369075045,10941.892578125,,,,,
9,1,9,0.0,128.0,128.0,0.6348637938499451,170.70996202528477,9761.89013671875,,,,,
10,1,10,0.0,128.0,128.0,0.5902273654937744,187.77224095538259,11620.39013671875,,,,,
11,1,11,0.0,128.0,128.0,0.5275070667266846,176.25192389823496,10536.57763671875,,,,,
12,1,12,0.0,128.0,128.0,0.6353163123130798,174.91444491315633,9889.25439453125,,,,,
13,1,13,0.0,128.0,128.0,0.5292030572891235,183.40805592015386,10278.2392578125,,,,,
14,1,14,0.0,128.0,128.0,0.5072821974754333,215.6730639981106,11064.08642578125,,,,,
15,1,15,0.0,128.0,128.0,0.6071054935455322,174.64498803019524,10536.57763671875,,,,,
16,1,16,0.0,128.0,128.0,0.6534632444381714,168.93890092615038,10278.2392578125,,,,,
17,1,17,0.0,128.0,128.0,0.5834203362464905,179.76552597247064,10683.837890625,,,,,
18,1,18,0.0,128.0,128.0,0.4390565752983093,174.8840189538896,10153.7431640625,,,,,
19,1,19,0.0,128.0,128.0,0.3993983268737793,190.69837999995798,10278.2392578125,,,,,
20,1,20,0.0,128.0,128.0,0.7289319038391113,163.4810339892283,9501.91943359375,,,,,
21,1,21,0.0,128.0,128.0,1.0923795700073242,169.1893950337544,10278.2392578125,,,,,
22,1,22,0.0,128.0,128.0,0.9278131723403931,166.77441296633333,10046.2890625,,,,,
23,1,23,0.0,128.0,128.0,0.9220569133758545,177.28199099656194,10447.91552734375,,,,,
24,1,24,0.0,128.0,128.0,0.663629949092865,193.04181402549148,10825.580078125,,,,,
25,1,25,0.0,128.0,128.0,0.6002819538116455,177.3072270443663,9761.89013671875,,,,,
26,1,26,0.0,128.0,128.0,0.608288049697876,191.11112598329782,11064.08642578125,,,,,
27,1,27,0.0,128.0,128.0,0.5737544298171997,177.7731959009543,10683.837890625,,,,,
28,1,28,0.0,128.0,128.0,0.5659670829772949,197.07822997588664,11502.65966796875,,,,,
29,1,29,0.0,128.0,128.0,0.4986983835697174,186.4507949212566,10683.837890625,,,,,
30,1,30,0.0,128.0,128.0,0.5237318873405457,175.2440120326355,9889.25439453125,,,,,
31,1,31,0.0,128.0,128.0,0.5164256691932678,162.21555194351822,9359.00830078125,,,,,
32,1,32,0.0,128.0,128.0,0.349264532327652,166.35350103024393,10046.2890625,,,,,
