step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.7467846497893333,14.0,74.0,0.1891891891891892,3.0,11.0,0.21428571428571427,0.7857142857142857,0.14896504283117418,0.14532360704710454,0.14995816168137496,0.0,0.6,0.0033914772,1.0000000000547062,0.673559467978302,-2.9400903089743376e-10,3.0,11.0,0.5714285714285714,3.6666666666666665,1.0,0.7495952284055795,0.5195798191305157,2.0,0.508396266619192,0.0025631701078177808,0.4987184149460911,-0.003062021179257756,1026.3605520594865,4550.3974609375,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.7665731757879257,53.0,74.0,0.7162162162162162,4.0,49.0,0.07547169811320754,0.9245283018867925,0.15030879447243395,0.14371905916469235,0.15084673204857613,0.0,0.6,0.0033914772,0.9999999999482608,0.641269150993532,-4.524650883588044e-09,4.0,49.0,0.8490566037735849,12.25,1.0,0.3860188717159936,0.26756789257287217,2.0,0.5067442159151463,0.00016161632188190286,0.49991919183905903,0.0004113014935151408,517.9457049816847,4945.95458984375,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.757909506559372,50.0,74.0,0.6756756756756757,1.0,49.0,0.02,0.98,0.15027160796649883,0.14478540961535188,0.15038357119815488,0.0,0.6,0.0033914772,0.9999999998938411,0.6447792797413715,-6.827611457327855e-09,1.0,49.0,0.96,49.0,1.0,0.14144051368792349,0.09803909327973451,2.0,0.5054209316654805,7.236003462606015e-05,0.49996381998268696,-0.0015291539414933025,580.9918569866568,4950.29052734375,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.8106319457292557,56.0,74.0,0.7567567567567568,6.0,50.0,0.10714285714285714,0.8928571428571429,0.15053785200906952,0.14543969168143214,0.151149631248386,0.0,0.6,0.0033914772,0.9999999999754482,0.6481122467246944,-1.0670559022262084e-08,6.0,50.0,0.7857142857142857,8.333333333333334,1.0,0.49123731297043294,0.34049975847129904,2.0,0.5084152766471121,0.00013608076598405118,0.499931959617008,0.009465426813184992,468.48273393698037,4994.14892578125,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.7065551653504372,56.0,74.0,0.7567567567567568,3.0,53.0,0.05357142857142857,0.9464285714285714,0.14977449800287881,0.1459751589582995,0.14998955492993046,0.0,0.6,0.0033914772,0.9999999994054395,0.6637991956513082,6.195329461602087e-09,3.0,53.0,0.8928571428571429,17.666666666666668,1.0,0.30137861473918637,0.208899737087529,2.0,0.5044836129015373,0.004772780086072585,0.4976136099569637,-0.0001732792283889498,461.39051497448236,4974.5107421875,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.748785562813282,45.0,74.0,0.6081081081081081,5.0,40.0,0.1111111111111111,0.8888888888888888,0.15037164486709284,0.14402235789367385,0.15116530573877024,0.0,0.6,0.0033914772,0.9999999997224265,0.6516187990515634,-2.8254229002065326e-09,5.0,40.0,0.7777777777777778,8.0,1.0,0.5032583059217456,0.3488320758430324,2.0,0.50854365510173,-0.0002306767164832621,0.5001153383582416,0.006885734451578735,452.0728929201141,4870.03369140625,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.7092926204204559,33.0,74.0,0.44594594594594594,1.0,32.0,0.030303030303030304,0.9696969696969697,0.15028236503663137,0.14431135168497308,0.15046895920387068,0.0,0.6,0.0033914772,1.000000001174216,0.6522177944834433,-3.869726976222887e-09,1.0,32.0,0.9393939393939394,32.0,1.0,0.1959092420197065,0.1357939387515955,2.0,0.5056957333828889,-2.866774083715733e-05,0.5000143338704186,0.002509273591024349,458.64985091611743,4795.19921875,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6926881745457649,18.0,74.0,0.24324324324324326,1.0,17.0,0.05555555555555555,0.9444444444444444,0.15119459312779165,0.14668039761392765,0.1514601340403719,0.0,0.6,0.0033914772,0.9999999997783985,0.6694500060810898,4.819466860317423e-09,1.0,17.0,0.8888888888888888,17.0,1.0,0.3095434002964257,0.21455913517640599,2.0,0.5085802734949775,-0.00035785516956821084,0.5001789275847841,-0.004107419409565338,448.4099419787526,4680.5947265625,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.6806507855653763,6.0,74.0,0.08108108108108109,1.0,5.0,0.16666666666666666,0.8333333333333334,0.1508923245618904,0.14148457885371804,0.15277387370352485,0.0,0.6,0.0033914772,0.9999999999151293,0.6752476306430051,4.7537189875181544e-09,1.0,5.0,0.6666666666666666,5.0,1.0,0.6500223927944538,0.450561188866305,2.0,0.5131787737308265,-0.002094443654641509,0.5010472218273208,-0.0015264071903175185,440.0532440049574,4685.0947265625,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.7410172373056412,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.667883206674246,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,432.1632890496403,4682.5947265625,,,,,,,,,,
