step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.7005364373326302,58.0,74.0,0.7837837837837838,4.0,54.0,0.06896551724137931,0.9310344827586207,0.15006515806754425,0.14598724411694253,0.1503672257675888,0.0,0.6,0.0033914772,0.9999999988153874,0.650423080699218,2.4931372536857965e-08,4.0,54.0,0.8620689655172413,13.5,1.0,0.3620512228800983,0.2509547843576205,2.0,0.5052154242133333,0.0025920876907629966,0.4987039561546185,0.004417848467871332,1048.2583530247211,4535.7412109375,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.6969319507479668,60.0,74.0,0.8108108108108109,7.0,53.0,0.11666666666666667,0.8833333333333333,0.1498753602237579,0.14643535146626913,0.1503297010030489,0.0,0.6,0.0033914772,0.9999999986731115,0.6336777806155037,7.602785290217184e-09,7.0,53.0,0.7666666666666667,7.571428571428571,1.0,0.5197027576504053,0.360230501194607,2.0,0.5065968014454661,0.0004996692316374472,0.49975016538418127,0.004469859327125978,526.2090410105884,5045.5009765625,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.6953991279006004,56.0,74.0,0.7567567567567568,5.0,51.0,0.08928571428571429,0.9107142857142857,0.14973202647243072,0.14343148665830824,0.1503497264542075,0.0,0.6,0.0033914772,0.9999999986278075,0.6603826633956144,-4.0236818094856114e-09,5.0,51.0,0.8214285714285714,10.2,1.0,0.43408109115043464,0.3008820844653084,2.0,0.50666362951929,0.0003656608705394263,0.49981716956473027,0.002988405740334472,584.9060360342264,4984.63330078125,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.6891436874866486,57.0,74.0,0.7702702702702703,4.0,53.0,0.07017543859649122,0.9298245614035088,0.1499193508093167,0.14581162404474474,0.150229367923624,0.0,0.6,0.0033914772,1.0000000025398157,0.6585300107823129,-1.5352237843791217e-08,4.0,53.0,0.8596491228070176,13.25,1.0,0.36657798369944616,0.2540924958566207,2.0,0.5051892830906496,0.00013980508623490095,0.49993009745688255,0.005664695285936313,467.2856410034001,5025.25048828125,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6996170878410339,44.0,74.0,0.5945945945945946,4.0,40.0,0.09090909090909091,0.9090909090909091,0.14992745871425278,0.1463058154041239,0.15028962304526566,0.0,0.6,0.0033914772,0.9999999999370973,0.6361663719078061,8.305182001347294e-09,4.0,40.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5057412846385557,-4.901011736152639e-05,0.5000245050586808,3.183412790867843e-05,460.1037490647286,4859.38818359375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6924782171845436,52.0,74.0,0.7027027027027027,4.0,48.0,0.07692307692307693,0.9230769230769231,0.15005107136794577,0.1456005135626351,0.150421951185055,0.0,0.6,0.0033914772,1.000000000268978,0.6271748816373351,-1.626871553566997e-08,4.0,48.0,0.8461538461538461,12.0,1.0,0.3912435347753558,0.27118935304184477,2.0,0.5050623224133047,-0.0005393084419007084,0.5002696542209504,0.0012188922365462037,461.2804389325902,4926.85888671875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.6898208111524582,54.0,74.0,0.7297297297297297,7.0,47.0,0.12962962962962962,0.8703703703703703,0.14937286818274545,0.1441857913995253,0.15014541153343783,0.0,0.6,0.0033914772,0.9999999992228863,0.6581785318371766,2.8477769119952136e-10,7.0,47.0,0.7407407407407407,6.714285714285714,1.0,0.5564215384345279,0.38568202056872025,2.0,0.506540712010659,-0.00026431283118260874,0.5001321564155913,0.0028069478445075144,457.61310507077724,4929.6337890625,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6903193891048431,34.0,74.0,0.4594594594594595,2.0,32.0,0.058823529411764705,0.9411764705882353,0.15023480823508242,0.14611719581667698,0.15049215901123283,0.0,0.6,0.0033914772,1.00000000000186,0.6464308180090217,2.0557961315826366e-09,2.0,32.0,0.8823529411764706,16.0,1.0,0.3227569300434987,0.22371805606583461,2.0,0.5065392941950885,0.0003598609475590676,0.4998200695262205,-0.0031307363159335634,444.65271406807005,4796.88671875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.6838445290923119,37.0,74.0,0.5,2.0,35.0,0.05405405405405406,0.9459459459459459,0.15011819321456377,0.14487455507738733,0.15041782967954528,0.0,0.6,0.0033914772,0.9999999988820558,0.6398112200806646,-1.0122775010772321e-09,2.0,35.0,0.8918918918918919,17.5,1.0,0.3033748072325145,0.2102833922861343,2.0,0.5071804087994497,0.0003770890492945295,0.4998114554753527,-0.001618724386925475,456.35289093479514,4812.29345703125,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.6707764342427254,15.0,74.0,0.20270270270270271,3.0,12.0,0.2,0.8,0.14946712873278725,0.1442225186982252,0.15077828124142778,0.0,0.6,0.0033914772,0.9999999998790801,0.6624986070767392,1.4971125166338516e-08,3.0,12.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5082367739979913,-0.0023087765730451792,0.5011543882865226,0.0015297917417502888,444.2729010479525,4666.9384765625,,,,,,,,,,
