step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.7050254084169865,65.0,74.0,0.8783783783783784,0.0,65.0,0.0,1.0,0.15007206359274827,0.0,0.15007206359274827,0.0,0.6,0.0021278112754879066,0.9999999998552408,0.6426849002256803,-2.7489451638155976e-08,0.0,65.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017881108285404,0.00016115591027467772,0.49991942204486267,nan,2230.874279048294,8598.0087890625,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7080558687448502,62.0,74.0,0.8378378378378378,0.0,62.0,0.0,1.0,0.1500897266824352,0.0,0.1500897266824352,0.0,0.6,0.0021278112754879066,0.9999999999935422,0.6240776941058134,-7.3827277538759184e-09,0.0,62.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5024569634822813,7.587533727725291e-05,0.49996206233136137,nan,1656.4088080776855,9122.537109375,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6963351164013147,64.0,74.0,0.8648648648648649,0.0,64.0,0.0,1.0,0.14992311769096195,0.0,0.14992311769096195,0.0,0.6,0.0021278112754879066,0.9999999998642182,0.6254466442502691,1.1505281984491931e-09,0.0,64.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5025514392323694,4.3248130014931956e-05,0.49997837593499256,nan,1733.945538988337,9145.19384765625,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.7014125157147646,63.0,74.0,0.8513513513513513,0.0,63.0,0.0,1.0,0.15020476849514847,0.0,0.15020476849514847,0.0,0.6,0.0021278112754879066,0.9999999999354163,0.6194959204762088,-1.8676854726413367e-09,0.0,63.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5026946429582844,0.00031386758809927756,0.49984306620595037,nan,1616.592531092465,9140.732421875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6948809716850519,66.0,74.0,0.8918918918918919,0.0,66.0,0.0,1.0,0.1498696197048557,0.0,0.1498696197048557,0.0,0.6,0.0021278112754879066,0.999999998037642,0.6433745501899988,1.5086338666478516e-08,0.0,66.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013330621945409,0.00015307812118408036,0.499923460939408,nan,1607.0865499787033,9193.79541015625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6930856052786112,66.0,74.0,0.8918918918918919,0.0,66.0,0.0,1.0,0.15014976443290706,0.0,0.15014976443290706,0.0,0.6,0.0021278112754879066,1.0000000003092306,0.6617467954210808,-1.0153204782368972e-08,0.0,66.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017709405624452,3.325467623653822e-05,0.49998337266188175,nan,1619.0428850241005,9171.56103515625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6917736455798149,68.0,74.0,0.918918918918919,0.0,68.0,0.0,1.0,0.15009277373847435,0.0,0.15009277373847435,0.0,0.6,0.0021278112754879066,1.0000000011747117,0.6568237626389639,-1.4473214898728712e-08,0.0,68.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5020237094032407,1.7570926183260873e-05,0.49999121453690837,nan,1617.7602680400014,9187.43701171875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.6865039728581905,65.0,74.0,0.8783783783783784,0.0,65.0,0.0,1.0,0.1503054637128799,0.0,0.1503054637128799,0.0,0.6,0.0021278112754879066,1.0000000001246285,0.6383794320168997,-2.2597844385554483e-09,0.0,65.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5026036857241305,7.792571701984497e-05,0.4999610371414901,nan,1610.0184990791604,9181.43603515625,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6947581507265568,65.0,74.0,0.8783783783783784,0.0,65.0,0.0,1.0,0.15013617614349015,0.0,0.15013617614349015,0.0,0.6,0.0021278112754879066,0.9999999998700757,0.6308574338917906,-8.316917906302886e-09,0.0,65.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015388373587586,3.644973877495135e-05,0.49998177513061254,nan,1602.295571938157,9167.68603515625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6969497464597225,60.0,74.0,0.8108108108108109,1.0,59.0,0.016666666666666666,0.9833333333333333,0.15000368056382685,0.14577116426488843,0.15007541812821565,0.0,0.6,0.0021278112754879066,1.0000000000838587,0.6345792886816616,-9.854166995522558e-09,1.0,59.0,0.9666666666666667,59.0,1.0,0.12229156821547821,0.08476605571481294,2.0,0.5028956097230363,0.0002527144767382589,0.4998736427616309,0.002451396533040693,1603.8140939781442,9079.23974609375,,,,,,,,,,
