step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.7050254084169865,65.0,74.0,0.8783783783783784,1.0,64.0,0.015384615384615385,0.9846153846153847,0.1500511956795232,0.14832612844416465,0.1500781498550757,0.0,0.6,0.0021278112754879066,1.0000000005375937,0.6426849202814897,4.599231320765262e-09,1.0,64.0,0.9692307692307692,64.0,1.0,0.11467547648225064,0.07948698320304035,2.0,0.5012703311549829,0.0002113100122616468,0.4998943449938692,-0.0036617133161723366,2226.686469046399,8596.7587890625,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7080558687448502,62.0,74.0,0.8378378378378378,1.0,61.0,0.016129032258064516,0.9838709677419355,0.15006376032668925,0.1481849550106838,0.15009456041383687,0.0,0.6,0.0021278112754879066,1.000000000011988,0.6240776899689743,-3.499634433714361e-09,1.0,61.0,0.967741935483871,61.0,1.0,0.11911599780175203,0.08256491803586906,2.0,0.5017455625936665,4.54688452422984e-05,0.49997726557737887,0.011187810607500747,1657.4779970105737,9116.505859375,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6964417565613985,64.0,74.0,0.8648648648648649,1.0,63.0,0.015625,0.984375,0.14994569549326753,0.14818243174931126,0.14997368380666365,0.0,0.6,0.0021278112754879066,1.000000000155597,0.6250633606720439,-6.8491312562827075e-09,1.0,63.0,0.96875,63.0,1.0,0.11611504645087352,0.08048481706801006,2.0,0.5017850072483516,9.401337763525115e-05,0.49995299331118237,0.00497870222932165,1727.3339900420979,9146.67822265625,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.7018765825778246,63.0,74.0,0.8513513513513513,1.0,62.0,0.015873015873015872,0.9841269841269841,0.15014435331817003,0.1476787657449305,0.15018412085967392,0.0,0.6,0.0021278112754879066,0.9999999999589491,0.6195492982959502,-7.13835737458657e-10,1.0,62.0,0.9682539682539683,62.0,1.0,0.11759463680496848,0.08151039095033467,2.0,0.5019204959726147,0.0003043729935476151,0.4998478135032262,0.006507326096453965,1611.124538932927,9128.419921875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6950851436704397,66.0,74.0,0.8918918918918919,0.0,66.0,0.0,1.0,0.14990806004392668,0.0,0.14990806004392668,0.0,0.6,0.0021278112754879066,1.0000000012253651,0.6417933103345846,2.9773403171005936e-09,0.0,66.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5009301437484434,0.00015035563037599787,0.499924822184812,nan,1609.8184899892658,9186.84228515625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6932205688208342,66.0,74.0,0.8918918918918919,0.0,66.0,0.0,1.0,0.15011663131324426,0.0,0.15011663131324426,0.0,0.6,0.0021278112754879066,1.0000000041103392,0.6572800127703742,-9.463903447772207e-09,0.0,66.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011892615362562,5.313923084031558e-05,0.49997343038457986,nan,1609.3651130795479,9168.73291015625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.692041777074337,68.0,74.0,0.918918918918919,0.0,68.0,0.0,1.0,0.15006232681398246,0.0,0.15006232681398246,0.0,0.6,0.0021278112754879066,0.9999999982514423,0.6518412506993966,3.348559408013817e-09,0.0,68.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014106062730446,2.6075204116953273e-05,0.49998696239794155,nan,1607.264525955543,9192.55419921875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.6887997705489397,65.0,74.0,0.8783783783783784,1.0,64.0,0.015384615384615385,0.9846153846153847,0.15021391501747317,0.14758875721168946,0.15025493310818852,0.0,0.6,0.0021278112754879066,0.9999999999411928,0.6358287668255423,-3.9073515321840585e-09,1.0,64.0,0.9692307692307692,64.0,1.0,0.11467547648225064,0.07948698320304035,2.0,0.5018586369875832,6.0746338466171524e-05,0.4999696268307669,0.010176522451517086,1606.5942379646003,9170.59228515625,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6943662483245134,66.0,74.0,0.8918918918918919,0.0,66.0,0.0,1.0,0.1500849716396406,0.0,0.1500849716396406,0.0,0.6,0.0021278112754879066,0.9999999983657321,0.6306937740942011,1.3638502819408198e-08,0.0,66.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5009422550676689,2.030683772318298e-05,0.49998984658113843,nan,1606.9147990783677,9183.02978515625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6948600020259619,62.0,74.0,0.8378378378378378,2.0,60.0,0.03225806451612903,0.967741935483871,0.14998278844836244,0.1477330392748778,0.15005778008747858,0.0,0.6,0.0021278112754879066,1.0000000002166753,0.6324232299024648,-1.5694064807344581e-09,2.0,60.0,0.9354838709677419,30.0,1.0,0.20559247933118446,0.14250584739273933,2.0,0.5018347747072506,0.0001626024441657944,0.4999186987779171,0.005049307286371328,1610.9764568973333,9128.41064453125,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.6881244797259569,62.0,74.0,0.8378378378378378,2.0,60.0,0.03225806451612903,0.967741935483871,0.15016244376168292,0.14778104504481615,0.1502418237189118,0.0,0.6,0.0021278112754879066,1.0000000005373098,0.6624402283609908,6.841126012550355e-09,2.0,60.0,0.9354838709677419,30.0,1.0,0.20559247933118446,0.14250584739273933,2.0,0.5018970163564483,-0.0012915437756748597,0.5006457718878374,0.006951756087629648,1610.2495779050514,9147.34130859375,,,,,,,,,,
