step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.70947265625,355.23494699737057,2426.19873046875,,,,,
2,1,2,0.0,32.0,32.0,0.69189453125,49.5086430455558,3321.58544921875,,,,,
3,1,3,0.0,32.0,32.0,0.6817626953125,59.13225596304983,3400.583984375,,,,,
4,1,4,0.0,32.0,32.0,0.68408203125,54.7428359859623,3193.8427734375,,,,,
5,1,5,0.0,32.0,32.0,0.662841796875,60.305008955765516,3424.8642578125,,,,,
6,1,6,0.0,32.0,32.0,0.6715087890625,56.36407999554649,3264.42822265625,,,,,
7,1,7,0.0,32.0,32.0,0.684326171875,63.984275970142335,3634.12255859375,,,,,
8,1,8,0.0,32.0,32.0,0.65667724609375,56.673519022297114,3265.81884765625,,,,,
9,1,9,0.0,32.0,32.0,0.657958984375,57.874869962688535,3347.1240234375,,,,,
10,1,10,0.0,32.0,32.0,0.63714599609375,63.11481597367674,3534.7890625,,,,,
11,1,11,0.0,32.0,32.0,0.66455078125,61.78180000279099,3481.076171875,,,,,
12,1,12,0.0,32.0,32.0,0.6522216796875,61.06389098567888,3402.146484375,,,,,
13,1,13,0.0,32.0,32.0,0.63922119140625,73.076193977613,3287.7177734375,,,,,
14,1,14,0.0,32.0,32.0,0.58953857421875,76.28782099345699,3209.4296875,,,,,
15,1,15,0.0,32.0,32.0,0.67205810546875,81.34484302718192,3322.87451171875,,,,,
16,1,16,0.0,32.0,32.0,0.64569091796875,78.25133798178285,3410.02197265625,,,,,
17,1,17,0.0,32.0,32.0,0.55535888671875,63.38837498333305,3273.3486328125,,,,,
18,1,18,0.0,32.0,32.0,0.57525634765625,63.13825101824477,3365.328125,,,,,
19,1,19,0.0,32.0,32.0,0.6688232421875,59.91043499670923,3322.87451171875,,,,,
20,1,20,0.0,32.0,32.0,0.7000274658203125,58.92220005625859,3347.1240234375,,,,,
21,1,21,0.0,32.0,32.0,0.7556304931640625,62.77437205426395,3433.1162109375,,,,,
22,1,22,0.0,32.0,32.0,0.7174224853515625,56.47544498788193,3265.81884765625,,,,,
23,1,23,0.0,32.0,32.0,0.703369140625,55.72763102827594,3259.818359375,,,,,
24,1,24,0.0,32.0,32.0,0.6640472412109375,55.25531497551128,3259.818359375,,,,,
25,1,25,0.0,32.0,32.0,0.71917724609375,54.02967397822067,3131.0673828125,,,,,
26,1,26,0.0,32.0,32.0,0.59783935546875,57.73132696049288,3347.1240234375,,,,,
27,1,27,0.0,32.0,32.0,0.62835693359375,61.61909498041496,3322.87451171875,,,,,
28,1,28,0.0,32.0,32.0,0.697174072265625,65.82984997658059,3347.1240234375,,,,,
29,1,29,0.0,32.0,32.0,0.5684051513671875,78.49039405118674,3564.693359375,,,,,
30,1,30,0.0,32.0,32.0,0.656219482421875,88.39213999453932,3656.4521484375,,,,,
31,1,31,0.0,32.0,32.0,0.69049072265625,72.08375004120171,3322.87451171875,,,,,
32,1,32,0.0,32.0,32.0,0.523773193359375,64.68080700142309,3273.3486328125,,,,,
33,1,33,0.0,32.0,32.0,0.7313232421875,68.28552699880674,3499.07763671875,,,,,
34,1,34,0.0,32.0,32.0,0.577972412109375,63.74819000484422,3402.146484375,,,,,
35,1,35,0.0,32.0,32.0,0.567138671875,56.51002103695646,3158.919921875,,,,,
36,1,36,0.0,32.0,32.0,0.57000732421875,57.474400964565575,3265.81884765625,,,,,
37,1,37,0.0,32.0,32.0,0.59918212890625,63.29430895857513,3499.07763671875,,,,,
38,1,38,0.0,32.0,32.0,0.617156982421875,64.33454796206206,3608.4794921875,,,,,
39,1,39,0.0,32.0,32.0,0.531524658203125,78.73853103956208,3705.94287109375,,,,,
40,1,40,0.0,32.0,32.0,0.494964599609375,53.26132196933031,3151.8974609375,,,,,
41,1,41,0.0,32.0,32.0,0.736724853515625,57.92559002293274,3287.7177734375,,,,,
42,1,42,0.0,32.0,32.0,0.58282470703125,60.241723025683314,3265.81884765625,,,,,
43,1,43,0.0,32.0,32.0,0.6563720703125,63.84843302657828,3312.998046875,,,,,
44,1,44,0.0,32.0,32.0,0.6688232421875,72.14058400131762,3424.3642578125,,,,,
45,1,45,0.0,32.0,32.0,0.5977783203125,68.0426869657822,3209.4296875,,,,,
46,1,46,0.0,32.0,32.0,0.663787841796875,70.86539902957156,3365.328125,,,,,
47,1,47,0.0,32.0,32.0,0.56201171875,67.21688801189885,3322.87451171875,,,,,
48,1,48,0.0,32.0,32.0,0.542236328125,64.5637460402213,3312.998046875,,,,,
49,1,49,0.0,32.0,32.0,0.4302978515625,59.907005983404815,3168.89794921875,,,,,
50,1,50,0.0,32.0,32.0,0.6980514526367188,66.39451900264248,3564.693359375,,,,,
51,1,51,0.0,32.0,32.0,1.1116256713867188,68.88188095763326,3656.4521484375,,,,,
52,1,52,0.0,32.0,32.0,0.5729827880859375,57.845968985930085,3209.4296875,,,,,
53,1,53,0.0,32.0,32.0,0.65191650390625,64.86499303719029,3534.7890625,,,,,
54,1,54,0.0,32.0,32.0,0.47275543212890625,60.04728900734335,3322.87451171875,,,,,
55,1,55,0.0,32.0,32.0,0.5161590576171875,58.78920800751075,3287.7177734375,,,,,
56,1,56,0.0,32.0,32.0,0.497283935546875,58.27385897282511,3259.818359375,,,,,
57,1,57,0.0,32.0,32.0,0.4999237060546875,57.990532950498164,3158.919921875,,,,,
58,1,58,0.0,32.0,32.0,0.5454864501953125,62.32916103908792,3322.87451171875,,,,,
59,1,59,0.0,32.0,32.0,0.49559783935546875,65.97433099523187,3322.87451171875,,,,,
60,1,60,0.0,32.0,32.0,0.37754058837890625,81.46423596190289,3844.3037109375,,,,,
61,1,61,0.0,32.0,32.0,0.4400634765625,66.48057501297444,3209.4296875,,,,,
62,1,62,0.0,32.0,32.0,0.6237754821777344,65.35946601070464,3312.998046875,,,,,
63,1,63,0.0,32.0,32.0,0.4141387939453125,64.86658501671627,3322.87451171875,,,,,
64,1,64,0.0,32.0,32.0,0.606964111328125,67.74118699831888,3433.1162109375,,,,,
65,1,65,0.0,32.0,32.0,0.4302825927734375,64.39743394730613,3402.146484375,,,,,
66,1,66,0.0,32.0,32.0,0.4528923034667969,66.01038604276255,3516.5146484375,,,,,
67,1,67,0.0,32.0,32.0,0.48937225341796875,61.67083099717274,3365.328125,,,,,
68,1,68,0.0,32.0,32.0,0.44344329833984375,57.39700101548806,3158.919921875,,,,,
69,1,69,0.0,32.0,32.0,0.43721771240234375,61.36121798772365,3365.328125,,,,,
70,1,70,0.0,32.0,32.0,0.614776611328125,58.939773007296026,3265.81884765625,,,,,
71,1,71,0.0,32.0,32.0,0.4402656555175781,57.5803309911862,3168.89794921875,,,,,
72,1,72,0.0,32.0,32.0,0.6685619354248047,67.06948997452855,3564.693359375,,,,,
73,1,73,0.0,32.0,32.0,0.535247802734375,62.021177960559726,3265.81884765625,,,,,
74,1,74,0.0,32.0,32.0,0.36722564697265625,62.726584961637855,3273.3486328125,,,,,
75,1,75,0.0,32.0,32.0,0.5079727172851562,61.739027965813875,3168.89794921875,,,,,
76,1,76,0.0,32.0,32.0,0.39874267578125,64.57789900014177,3287.7177734375,,,,,
77,1,77,0.0,32.0,32.0,0.5749778747558594,65.69347099866718,3312.998046875,,,,,
78,1,78,0.0,32.0,32.0,0.4618072509765625,71.43297197762877,3534.7890625,,,,,
79,1,79,0.0,32.0,32.0,0.6188201904296875,66.91796699305996,3402.146484375,,,,,
80,1,80,0.0,32.0,32.0,0.5322227478027344,76.08762796735391,3830.5244140625,,,,,
81,1,81,0.0,32.0,32.0,0.4411296844482422,67.5987380091101,3499.07763671875,,,,,
82,1,82,0.0,32.0,32.0,0.525543212890625,68.04896896937862,3620.6435546875,,,,,
83,1,83,0.0,32.0,32.0,0.4130134582519531,60.062735981773585,3273.3486328125,,,,,
84,1,84,0.0,32.0,32.0,0.7625885009765625,59.90572599694133,3322.87451171875,,,,,
85,1,85,0.0,32.0,32.0,0.52734375,64.72418399062008,3481.076171875,,,,,
86,1,86,0.0,32.0,32.0,0.4701271057128906,57.976729003712535,3192.0927734375,,,,,
87,1,87,0.0,32.0,32.0,0.4155006408691406,60.72918698191643,3312.998046875,,,,,
88,1,88,0.0,32.0,32.0,0.432708740234375,62.96072801342234,3322.87451171875,,,,,
89,1,89,0.0,32.0,32.0,0.42848968505859375,62.42299498990178,3273.3486328125,,,,,
90,1,90,0.0,32.0,32.0,0.3879737854003906,63.51432204246521,3287.7177734375,,,,,
91,1,91,0.0,32.0,32.0,0.58160400390625,64.61402698187158,3322.87451171875,,,,,
92,1,92,0.0,32.0,32.0,0.5274085998535156,64.26539196399972,3273.3486328125,,,,,
93,1,93,0.0,32.0,32.0,0.43460655212402344,62.98844504635781,3265.81884765625,,,,,
94,1,94,0.0,32.0,32.0,0.4444923400878906,60.57745200814679,3158.919921875,,,,,
95,1,95,0.0,32.0,32.0,0.47211456298828125,65.31967001501471,3365.328125,,,,,
96,1,96,0.0,32.0,32.0,0.5117645263671875,61.64036801783368,3273.3486328125,,,,,
97,1,97,0.0,32.0,32.0,0.5147705078125,60.378291993401945,3265.81884765625,,,,,
98,1,98,0.0,32.0,32.0,0.322357177734375,62.991524988319725,3365.328125,,,,,
99,1,99,0.0,32.0,32.0,0.5366973876953125,71.75748003646731,3762.65966796875,,,,,
100,1,100,0.0,32.0,32.0,0.33060455322265625,59.852899983525276,3168.89794921875,,,,,
101,1,101,0.0,32.0,32.0,0.48444366455078125,68.6840929556638,3669.0771484375,,,,,
102,1,102,0.0,32.0,32.0,0.3837738037109375,60.27402600739151,3265.81884765625,,,,,
103,1,103,0.0,32.0,32.0,0.5014762878417969,60.110221966169775,3259.818359375,,,,,
104,1,104,0.0,32.0,32.0,0.49506378173828125,64.8907310096547,3402.146484375,,,,,
105,1,105,0.0,32.0,32.0,0.4567832946777344,65.9911609836854,3365.328125,,,,,
106,1,106,0.0,32.0,32.0,0.4273948669433594,69.77832299889997,3534.7890625,,,,,
107,1,107,0.0,32.0,32.0,0.334442138671875,64.58884000312537,3347.1240234375,,,,,
108,1,108,0.0,32.0,32.0,0.30123329162597656,61.73807301092893,3192.0927734375,,,,,
109,1,109,0.0,32.0,32.0,0.37773895263671875,67.68565904349089,3424.3642578125,,,,,
110,1,110,0.0,32.0,32.0,0.40724945068359375,62.940042989794165,3312.998046875,,,,,
111,1,111,0.0,32.0,32.0,0.3151741027832031,61.67895102407783,3265.81884765625,,,,,
112,1,112,0.0,32.0,32.0,0.4633617401123047,66.90680398605764,3481.076171875,,,,,
113,1,113,0.0,32.0,32.0,0.352386474609375,60.87955099064857,3273.3486328125,,,,,
114,1,114,0.0,32.0,32.0,0.4484291076660156,61.59926200052723,3322.87451171875,,,,,
