step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.66552734375,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15178473447159202,0.0,0.15178473447159202,0.0,0.6,0.0033914772,1.0000000000008293,0.653546695774052,1.2383952431470224e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5102834060033934,0.0008072999189607799,0.4995963500405196,nan,1442.1453080140054,3660.90576171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.679931640625,24.0,74.0,0.32432432432432434,4.0,20.0,0.16666666666666666,0.8333333333333334,0.15065897484948007,0.14629243798243097,0.1515322822228899,0.0,0.6,0.0033914772,1.0000000000814453,0.6600002335801168,-1.8120831125506853e-09,4.0,20.0,0.6666666666666666,5.0,1.0,0.6500223927944538,0.450561188866305,2.0,0.5085407684669273,0.00022490234943374777,0.49988754882528313,-0.0027181392442292445,967.5142960622907,3844.35888671875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.720703125,27.0,74.0,0.36486486486486486,6.0,21.0,0.2222222222222222,0.7777777777777778,0.14948831424251421,0.1443603522667338,0.1509534462355944,0.0,0.6,0.0033914772,0.9999999999650385,0.652527929508434,-7.090146268050361e-10,6.0,21.0,0.5555555555555556,3.5,1.0,0.7642044776547198,0.5297061790576547,2.0,0.5096379254000328,-2.765379255064405e-05,0.5000138268962753,-0.0018428601842926126,969.2916390486062,3880.9775390625,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.682861328125,32.0,74.0,0.43243243243243246,5.0,27.0,0.15625,0.84375,0.1503054045439606,0.14493701529389708,0.1512995507013798,0.0,0.6,0.0033914772,1.0000000002356249,0.6552211017912474,-1.1068721974309645e-08,5.0,27.0,0.6875,5.4,1.0,0.6252623763695226,0.433398853290746,2.0,0.5078898630576455,0.00018017517323434915,0.49990991241338284,0.006718814175946856,996.4106850093231,3918.1142578125,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.658935546875,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.1518627951113986,0.0,0.1518627951113986,0.0,0.6,0.0033914772,1.0000000000555507,0.6576343899090715,2.305336676576376e-08,0.0,8.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.507197459167712,-5.503151987795718e-05,0.500027515759939,nan,872.6106799440458,3785.84521484375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.640380859375,6.0,74.0,0.08108108108108109,1.0,5.0,0.16666666666666666,0.8333333333333334,0.14983824561218329,0.14412536550091687,0.15098082163443655,0.0,0.6,0.0033914772,1.0000000000292135,0.6544979450062005,-4.436796852258282e-09,1.0,5.0,0.6666666666666666,5.0,1.0,0.6500223927944538,0.450561188866305,2.0,0.5105794735804949,0.0006414084928110242,0.4996792957535945,0.002415184095492202,869.7805900592357,3774.25146484375,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.66265869140625,14.0,74.0,0.1891891891891892,1.0,13.0,0.07142857142857142,0.9285714285714286,0.15083876647457117,0.1445577224213906,0.15132192370943118,0.0,0.6,0.0033914772,0.9999999998960066,0.6562666202782532,-8.669678335082361e-10,1.0,13.0,0.8571428571428571,13.0,1.0,0.3712322977869758,0.2573186205438323,2.0,0.5087145743981555,-0.0002563909802120179,0.500128195490106,0.0015585320101147594,896.2989209685475,3812.71240234375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6624755859375,1.0,74.0,0.013513513513513514,1.0,0.0,1.0,0.0,0.14370170324433232,0.14370170324433232,0.0,0.0,0.6,0.0033914772,0.999999999999481,0.6604089542510041,-7.611252442965641e-09,1.0,0.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5209943225188922,nan,nan,nan,846.6716839466244,3781.60302734375,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.673828125,29.0,74.0,0.3918918918918919,4.0,25.0,0.13793103448275862,0.8620689655172413,0.1511870032921683,0.14641514310922008,0.15195050092144005,0.0,0.6,0.0033914772,0.9999999999881075,0.6609825461251941,-2.155672517915349e-08,4.0,25.0,0.7241379310344828,6.25,1.0,0.5787945957782196,0.4011898421870061,2.0,0.5096519697038824,0.0010963824553997374,0.4994518087723001,0.002321776589252981,963.4536060038954,3883.9736328125,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.699951171875,13.0,74.0,0.17567567567567569,1.0,12.0,0.07692307692307693,0.9230769230769231,0.15030072153918336,0.14201148281677836,0.15099149143271715,0.0,0.6,0.0033914772,1.000000000372271,0.6621724407997257,2.0040207870463406e-08,1.0,12.0,0.8461538461538461,12.0,1.0,0.3912435347753558,0.27118935304184477,2.0,0.5061960138538724,-2.6218169296043925e-05,0.500013109084648,-0.003106277276059314,897.5373830180615,3804.89990234375,,,,,,,,,,
