step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.662841796875,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15303942545553453,0.0,0.15303942545553453,0.0,0.6,0.0033914772,0.9999999999624446,0.6623058859011931,5.749472864675432e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5147863001837876,0.0013616993092000484,0.4993191503454,nan,1519.758813898079,3670.84326171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.69140625,22.0,74.0,0.2972972972972973,3.0,19.0,0.13636363636363635,0.8636363636363636,0.15053061715121935,0.14461616589755558,0.15146447787548203,0.0,0.6,0.0033914772,0.9999999996832932,0.6602085763249167,3.751213770295795e-08,3.0,19.0,0.7272727272727273,6.333333333333333,1.0,0.5746356689837792,0.3983070938052845,2.0,0.5087996926067574,0.0020629223329898813,0.49896853883350506,0.005551826415704245,676.5401019947603,3835.41162109375,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.69256591796875,10.0,74.0,0.13513513513513514,2.0,8.0,0.2,0.8,0.15074015614566355,0.1458592583595117,0.1519603805922015,0.0,0.6,0.0033914772,0.9999999999233486,0.676602445827736,-1.291607887769887e-08,2.0,8.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5083617084752265,0.0018048794008791447,0.4990975602995604,-0.0019415970039041157,563.3535028900951,3800.80029296875,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.685791015625,5.0,74.0,0.06756756756756757,1.0,4.0,0.2,0.8,0.14939624881738828,0.1440518438164037,0.1507323500676344,0.0,0.6,0.0033914772,0.9999999999917605,0.6520661683438067,1.33644443184761e-09,1.0,4.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5065454220713044,-9.303649130742997e-05,0.5000465182456537,-0.006553619963177371,569.9668290326372,3771.38037109375,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6552734375,9.0,74.0,0.12162162162162163,1.0,8.0,0.1111111111111111,0.8888888888888888,0.15024845465086228,0.14675166214200192,0.15068555371446982,0.0,0.6,0.0033914772,0.9999999999642291,0.6736096806113323,1.5341029465112204e-08,1.0,8.0,0.7777777777777778,8.0,1.0,0.5032583059217456,0.3488320758430324,2.0,0.5072641137004188,9.763603884493932e-05,0.49995118198057753,-0.001711767066209518,572.0802589785308,3780.34326171875,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6673583984375,6.0,74.0,0.08108108108108109,1.0,5.0,0.16666666666666666,0.8333333333333334,0.14908939752954736,0.14692110232954625,0.1495230565695476,0.0,0.6,0.0033914772,1.0000000001301415,0.6626020522813408,-6.984140359325933e-09,1.0,5.0,0.6666666666666666,5.0,1.0,0.6500223927944538,0.450561188866305,2.0,0.5062413923175731,0.002115668263286352,0.4989421658683568,0.0025256866434920046,562.0958890067413,3776.81005859375,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.6866455078125,12.0,74.0,0.16216216216216217,1.0,11.0,0.08333333333333333,0.9166666666666666,0.1502552122964422,0.14690204242150695,0.15056004592143632,0.0,0.6,0.0033914772,1.0000000001007128,0.6767465649212636,1.8957158426556785e-09,1.0,11.0,0.8333333333333334,11.0,1.0,0.41381682144973386,0.2868359630561613,2.0,0.5063361931973746,-9.24073265196057e-06,0.500004620366326,-0.002315740313408413,545.5329639371485,3803.33740234375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.67279052734375,19.0,74.0,0.25675675675675674,4.0,15.0,0.21052631578947367,0.7894736842105263,0.15034683895369236,0.14097271344528298,0.1528466057559349,0.0,0.6,0.0033914772,0.999999999958132,0.6678433013457643,3.1947271738478827e-09,4.0,15.0,0.5789473684210527,3.75,1.0,0.7424875406882231,0.5146531454289295,2.0,0.5172340504665788,0.001047290556016378,0.4994763547219918,0.0005356453819233478,913.7401620391756,3832.15380859375,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.673095703125,17.0,74.0,0.22972972972972974,2.0,15.0,0.11764705882352941,0.8823529411764706,0.15048129592535642,0.14651099101949028,0.15101066991280523,0.0,0.6,0.0033914772,1.0000000000580487,0.6633094418313166,6.157565613388023e-09,2.0,15.0,0.7647058823529411,7.5,1.0,0.5225593456830405,0.3622105371354494,2.0,0.507034931119643,0.001384859459132871,0.49930757027043354,-0.001293212207823699,914.3536000046879,3825.29443359375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.65985107421875,22.0,74.0,0.2972972972972973,3.0,19.0,0.13636363636363635,0.8636363636363636,0.14918607502673506,0.14411395149515557,0.14998693663698445,0.0,0.6,0.0033914772,1.0000000001412253,0.6667117088662377,-1.007831036552296e-08,3.0,19.0,0.7272727272727273,6.333333333333333,1.0,0.5746356689837792,0.3983070938052845,2.0,0.5076258425350099,-6.428814461886337e-05,0.5000321440723094,-0.0037469597797760525,938.9214150141925,3831.56787109375,,,,,,,,,,
