step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.683258056640625,10.0,74.0,0.13513513513513514,1.0,9.0,0.1,0.9,0.1504477493531176,0.14423158837426722,0.1511384339063232,0.0,0.6,0.0033914772,1.0000000000008584,0.6656005002722831,-3.801788214102819e-09,1.0,9.0,0.8,9.0,1.0,0.4689955647353811,0.3250829533914487,2.0,0.5075157836757644,0.0006091109244152904,0.49969544453779235,0.006162007078928794,2831.8390420172364,7683.37646484375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.680511474609375,27.0,74.0,0.36486486486486486,2.0,25.0,0.07407407407407407,0.9259259259259259,0.15036274419655754,0.14653344538841961,0.1506690881012086,0.0,0.6,0.0033914772,0.9999999999620426,0.6674155289032444,-4.552557392230541e-09,2.0,25.0,0.8518518518518519,12.5,1.0,0.3809465568514903,0.2640520318256294,2.0,0.5052928873050276,-0.00015154643243966767,0.5000757732162199,0.006944158677864141,2261.79975096602,7840.0009765625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6716156005859375,18.0,74.0,0.24324324324324326,2.0,16.0,0.1111111111111111,0.8888888888888888,0.15034721407399115,0.144948662866403,0.15102203297493966,0.0,0.6,0.0033914772,1.000000000090672,0.6633132255195038,6.003348995918234e-09,2.0,16.0,0.7777777777777778,8.0,1.0,0.5032583059217456,0.3488320758430324,2.0,0.5070890561115651,0.00012027529737679288,0.4999398623513116,0.00456164351706025,2209.3183220131323,7813.37841796875,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6738128662109375,26.0,74.0,0.35135135135135137,1.0,25.0,0.038461538461538464,0.9615384615384616,0.1500558083483259,0.1465117501076969,0.15019757067795106,0.0,0.6,0.0033914772,0.9999999999909085,0.6596489722633048,3.3054237576330497e-09,1.0,25.0,0.9230769230769231,25.0,1.0,0.23519335296534255,0.16302360949436723,2.0,0.5027379543310171,0.0003734533616807312,0.49981327331915965,0.0037976232065356852,2251.7419330542907,7831.34326171875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6693878173828125,29.0,74.0,0.3918918918918919,2.0,27.0,0.06896551724137931,0.9310344827586207,0.1499450185898539,0.14640932660664743,0.15020692169972105,0.0,0.6,0.0033914772,1.000000000139525,0.65735340361826,2.5566416053891086e-09,2.0,27.0,0.8620689655172413,13.5,1.0,0.3620512228800983,0.2509547843576205,2.0,0.5043793077330939,0.0036616564406607593,0.49816917177966963,0.004272986999583237,2278.9404790382832,7900.50537109375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6539764404296875,24.0,74.0,0.32432432432432434,2.0,22.0,0.08333333333333333,0.9166666666666666,0.14986802684540615,0.14619838576505528,0.15020163057998348,0.0,0.6,0.0033914772,1.000000000045213,0.6642961075881305,-5.368121734266963e-09,2.0,22.0,0.8333333333333334,11.0,1.0,0.41381682144973386,0.2868359630561613,2.0,0.5042627038252213,-0.00015864772862626304,0.5000793238643131,0.005248408977645966,2240.0941679952666,7837.47802734375,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.651123046875,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.15050214254415356,0.0,0.15050214254415356,0.0,0.6,0.0033914772,0.9999999999874393,0.6619000406661562,4.936963520616575e-09,0.0,9.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5036775162487785,-0.0007301796576939523,0.500365089828847,nan,2179.4803889933974,7746.27490234375,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.6392288208007812,23.0,74.0,0.3108108108108108,0.0,23.0,0.0,1.0,0.15051230701509108,0.0,0.15051230701509108,0.0,0.6,0.0033914772,0.9999999998976901,0.6586180759079272,1.6499371645474117e-09,0.0,23.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032283116100363,0.0004168616517020737,0.49979156917414896,nan,2233.583049965091,7810.85888671875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.637786865234375,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1542645051353948,0.0,0.1542645051353948,0.0,0.6,0.0033914772,1.0,0.6621946741677067,7.002418584918175e-10,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5142150171179827,-0.0016464580548927188,0.5008232290274464,nan,2164.948123972863,7760.97802734375,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.7054634094238281,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6780609607745474,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,2150.3932980122045,7741.81982421875,,,,,,,,,,
