step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.662841796875,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15303942545553453,0.0,0.15303942545553453,0.0,0.6,0.0037755179329291787,0.9999999999624446,0.6623058859011931,5.749472864675432e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5147863001837876,0.0013616993092000484,0.4993191503454,nan,1469.4105909438804,3665.81201171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.69140625,20.0,74.0,0.2702702702702703,2.0,18.0,0.1,0.9,0.1509067507729259,0.14494381016842756,0.15156929972898128,0.0,0.6,0.0037755179329291787,0.9999999996832932,0.6602085763249167,3.751213770295795e-08,2.0,18.0,0.8,9.0,1.0,0.4689955647353811,0.3250829533914487,2.0,0.5086027555121512,0.00012828387843910605,0.49993585806078045,-0.00024157565472059198,914.8940270533785,3817.96044921875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.69329833984375,11.0,74.0,0.14864864864864866,2.0,9.0,0.18181818181818182,0.8181818181818182,0.15016304916556825,0.14625179505278169,0.1510322167461875,0.0,0.6,0.0037755179329291787,1.0000000005204484,0.6773012709563809,-3.1206771452576957e-09,2.0,9.0,0.6363636363636364,4.5,1.0,0.6840384067851413,0.47413929305783764,2.0,0.5083568027460678,-0.00041650779166957363,0.5002082538958348,-0.0007402150008900447,879.5406119897962,3802.01904296875,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.686279296875,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.15084573270538273,0.0,0.15084573270538273,0.0,0.6,0.0037755179329291787,1.0000000001257656,0.6662044137710001,-2.2294131211738953e-09,0.0,6.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5059625828573203,-0.00033492743386887014,0.5001674637169344,nan,872.1814790042117,3777.51513671875,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.651611328125,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.15439226049723603,0.0,0.15439226049723603,0.0,0.6,0.0037755179329291787,1.000000000002385,0.6699189216008675,-5.150879021357517e-09,0.0,1.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5146408683241201,nan,nan,nan,830.018360982649,3767.52099609375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6597900390625,2.0,74.0,0.02702702702702703,1.0,1.0,0.5,0.5,0.14743733988301377,0.14659468042991244,0.14827999933611513,0.0,0.6,0.0037755179329291787,0.9999999999063025,0.6618167559998036,-3.050151426663938e-09,1.0,1.0,0.0,1.0,1.0,0.9999999711460994,0.6931471605599454,2.0,0.508542200389954,nan,nan,0.0030031658030764724,876.889294013381,3770.47607421875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.68695068359375,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15293488137715905,0.0,0.15293488137715905,0.0,0.6,0.0037755179329291787,1.0000000000590366,0.6722098241431869,1.3431754248628203e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5104765477338329,0.0015760933747515082,0.49921195331262425,nan,876.6450099647045,3781.55810546875,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6484375,16.0,74.0,0.21621621621621623,3.0,13.0,0.1875,0.8125,0.15110262176173925,0.1441700962067721,0.1527024353513471,0.0,0.6,0.0037755179329291787,1.0000000001089804,0.670667117088909,-1.5091491803557072e-08,3.0,13.0,0.625,4.333333333333333,1.0,0.6962122312712454,0.48257754517701235,2.0,0.5127893325527809,0.0027656255988404155,0.4986171872005798,3.170673922019444e-05,900.686381966807,3814.84716796875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.6412353515625,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15308682941391433,0.0,0.15308682941391433,0.0,0.6,0.0037755179329291787,0.9999999999937061,0.6652222375310721,4.199671060892815e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5110564130440305,0.00025600355002097785,0.4998719982249895,nan,864.0739670954645,3777.60693359375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.61798095703125,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.15076083184403882,0.0,0.15076083184403882,0.0,0.6,0.0037755179329291787,1.0000000002404978,0.6666581132262562,8.472345160834957e-09,0.0,6.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5059487079638783,-6.817455141572282e-05,0.5000340872757079,nan,867.4910999834538,3778.77099609375,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.64990234375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6762725595325642,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,837.7215410582721,3772.23974609375,,,,,,,,,,
12,1,12,0.0,32.0,32.0,0.62664794921875,2.0,74.0,0.02702702702702703,1.0,1.0,0.5,0.5,0.1482295290529204,0.14550434652219033,0.15095471158365045,0.0,0.6,0.0037755179329291787,0.9999999999197872,0.6738037768389449,-1.7821974117953415e-09,1.0,1.0,0.0,1.0,1.0,0.9999999711460994,0.6931471605599454,2.0,0.5090839417691002,nan,nan,0.008789816063299859,883.9068580418825,3766.63818359375,,,,,,,,,,
13,1,13,0.0,32.0,32.0,0.57476806640625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6718699614496803,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,777.2588609950617,3769.41357421875,,,,,,,,,,
14,1,14,0.0,32.0,32.0,0.651275634765625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.666775617138368,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,557.8191779786721,3761.01513671875,,,,,,,,,,
15,1,15,0.0,32.0,32.0,0.5667724609375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6677641705061265,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,573.8955270498991,3756.15380859375,,,,,,,,,,
16,1,16,0.0,32.0,32.0,0.826904296875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.666730903612762,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,399.0324849728495,3759.34326171875,,,,,,,,,,
17,1,17,0.0,32.0,32.0,0.66357421875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6733313730914726,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,376.7816649051383,3759.34326171875,,,,,,,,,,
18,1,18,0.0,32.0,32.0,0.67645263671875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6690703921896741,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.49802801944315,3762.18115234375,,,,,,,,,,
19,1,19,0.0,32.0,32.0,0.552978515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6645944632142896,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,343.6252640094608,3783.63232421875,,,,,,,,,,
20,1,20,0.0,32.0,32.0,0.6207275390625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6698791161438192,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,339.28334794472903,3769.95458984375,,,,,,,,,,
21,1,21,0.0,32.0,32.0,0.567626953125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6662665803818613,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,306.7614029860124,3759.34326171875,,,,,,,,,,
22,1,22,0.0,32.0,32.0,0.516326904296875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6609651865445191,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.00120502803475,3769.70263671875,,,,,,,,,,
23,1,23,0.0,32.0,32.0,0.586822509765625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6646437943148552,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,312.57106293924153,3769.70263671875,,,,,,,,,,
24,1,24,0.0,32.0,32.0,0.631622314453125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.664673907212342,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,309.9766200175509,3769.95458984375,,,,,,,,,,
25,1,25,0.0,32.0,32.0,0.634002685546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6658513097095168,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,315.5867300229147,3764.36669921875,,,,,,,,,,
26,1,26,0.0,32.0,32.0,0.61724853515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6650846720269372,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,309.0297830058262,3764.42724609375,,,,,,,,,,
27,1,27,0.0,32.0,32.0,0.49462890625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6738017653788607,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,316.4048499893397,3764.31005859375,,,,,,,,,,
28,1,28,0.0,32.0,32.0,0.643218994140625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6648046871430555,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,303.34854999091476,3759.34326171875,,,,,,,,,,
29,1,29,0.0,32.0,32.0,0.4669189453125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6686556494357099,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,313.1473730318248,3760.53662109375,,,,,,,,,,
30,1,30,0.0,32.0,32.0,0.5123291015625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6666591006756499,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,311.28792406525463,3760.45263671875,,,,,,,,,,
31,1,31,0.0,32.0,32.0,0.525238037109375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6659445996504038,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.9107040371746,3764.31005859375,,,,,,,,,,
32,1,32,0.0,32.0,32.0,0.8462677001953125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6673324598677499,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,308.37807001080364,3759.34326171875,,,,,,,,,,
33,1,33,0.0,32.0,32.0,0.4852447509765625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6583425917309332,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.74127201363444,3756.15380859375,,,,,,,,,,
34,1,34,0.0,32.0,32.0,0.456146240234375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6670013039605485,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,315.42578898370266,3764.36669921875,,,,,,,,,,
35,1,35,0.0,32.0,32.0,0.692596435546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.66349822961835,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,311.98503402993083,3760.45263671875,,,,,,,,,,
36,1,36,0.0,32.0,32.0,0.6136016845703125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6647399822952194,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,317.90379201993346,3769.95458984375,,,,,,,,,,
37,1,37,0.0,32.0,32.0,0.473297119140625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6645611545414157,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,312.5696360366419,3757.79052734375,,,,,,,,,,
38,1,38,0.0,32.0,32.0,0.7766571044921875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6654463098246549,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,315.67883491516113,3756.15380859375,,,,,,,,,,
39,1,39,0.0,32.0,32.0,0.6202392578125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6580347020196922,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,309.57565596327186,3760.53662109375,,,,,,,,,,
40,1,40,0.0,32.0,32.0,0.6180419921875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6577293676144293,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,315.77240803744644,3761.29443359375,,,,,,,,,,
41,1,41,0.0,32.0,32.0,0.568450927734375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6645064829579885,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,312.16028006747365,3761.29443359375,,,,,,,,,,
42,1,42,0.0,32.0,32.0,0.617950439453125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6659139728192035,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,317.6872729090974,3769.96630859375,,,,,,,,,,
43,1,43,0.0,32.0,32.0,0.539794921875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6611247621559116,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.3959789304063,3756.15380859375,,,,,,,,,,
44,1,44,0.0,32.0,32.0,0.549774169921875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.660662401740178,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,310.2333029964939,3766.83349609375,,,,,,,,,,
45,1,45,0.0,32.0,32.0,0.5411376953125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6622542306524197,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,317.32599006500095,3766.29443359375,,,,,,,,,,
46,1,46,0.0,32.0,32.0,0.6195526123046875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6614379923754137,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.65040799230337,3762.18115234375,,,,,,,,,,
47,1,47,0.0,32.0,32.0,0.4210662841796875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6659806066915587,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,319.05884807929397,3756.15380859375,,,,,,,,,,
48,1,48,0.0,32.0,32.0,0.489532470703125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6676082847870065,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,310.27291098143905,3769.96630859375,,,,,,,,,,
49,1,49,0.0,32.0,32.0,0.569793701171875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.666873271166608,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.85079205594957,3764.31005859375,,,,,,,,,,
50,1,50,0.0,32.0,32.0,0.4496612548828125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6620211291595254,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,309.20890299603343,3762.18115234375,,,,,,,,,,
51,1,51,0.0,32.0,32.0,0.7595367431640625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6584349443741995,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.8434419417754,3762.18115234375,,,,,,,,,,
52,1,52,0.0,32.0,32.0,0.6706695556640625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.665103029353969,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,311.87901401426643,3764.36669921875,,,,,,,,,,
53,1,53,0.0,32.0,32.0,0.4469451904296875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6643675156215604,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,316.36410497594625,3766.29443359375,,,,,,,,,,
54,1,54,0.0,32.0,32.0,0.5457305908203125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6615772639980367,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,469.278461067006,3766.29443359375,,,,,,,,,,
55,1,55,0.0,32.0,32.0,0.540802001953125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6645176163905182,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,522.2500810632482,3764.31005859375,,,,,,,,,,
56,1,56,0.0,32.0,32.0,0.477813720703125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6670967801301622,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,564.1527670668438,3766.29443359375,,,,,,,,,,
57,1,57,0.0,32.0,32.0,0.5084228515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6680694038273874,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,584.6126310061663,3761.01513671875,,,,,,,,,,
58,1,58,0.0,32.0,32.0,0.51708984375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6663549285130015,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,542.7180919796228,3766.29443359375,,,,,,,,,,
59,1,59,0.0,32.0,32.0,0.5738067626953125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6605812522583809,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,607.0584279950708,3761.68115234375,,,,,,,,,,
60,1,60,0.0,32.0,32.0,0.52740478515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6609577190398686,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,527.6366820326075,3764.36669921875,,,,,,,,,,
61,1,61,0.0,32.0,32.0,0.5172271728515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0037755179329291787,1.0,0.6593211539921545,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,494.9012539582327,3764.36669921875,,,,,,,,,,
