step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.66552734375,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.16127128037606653,0.0,0.16127128037606653,0.0,0.6,0.003391477200000001,1.0000000000108988,0.6535466944448242,2.1944344907275883e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5102834060033934,0.0008072734344750643,0.49959636328276247,nan,1711.3585880724713,3660.90576171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.679931640625,24.0,74.0,0.32432432432432434,4.0,20.0,0.16666666666666666,0.8333333333333334,0.16007516077757256,0.15543571535633288,0.1610030498618205,0.0,0.6,0.003391477200000001,1.0000000006558496,0.6600002065547612,-1.0628451991541557e-08,4.0,20.0,0.6666666666666666,5.0,1.0,0.6500223927944538,0.450561188866305,2.0,0.5085407684669273,0.0002248903865031496,0.4998875548067484,-0.0027180938094673195,1224.2593979462981,3844.35888671875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.72216796875,27.0,74.0,0.36486486486486486,6.0,21.0,0.2222222222222222,0.7777777777777778,0.1588856371909169,0.153470441875554,0.16043283585244913,0.0,0.6,0.003391477200000001,1.0000000000247466,0.652611694370007,2.2113154224284088e-08,6.0,21.0,0.5555555555555556,3.5,1.0,0.7642044776547198,0.5297061790576547,2.0,0.5095158507421184,5.44780330248893e-06,0.49999727609834876,-0.0019354656485254514,1219.4805549224839,3880.9775390625,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.6829833984375,32.0,74.0,0.43243243243243246,4.0,28.0,0.125,0.875,0.1597987507480385,0.15424222309861219,0.1605925404122423,0.0,0.6,0.003391477200000001,1.000000000079323,0.6554555200980384,3.343346222761292e-09,4.0,28.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5076465864445037,0.00011247351265294438,0.4999437632436735,0.00790704902546512,1273.6261329846457,3920.0263671875,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.65704345703125,16.0,74.0,0.21621621621621623,1.0,15.0,0.0625,0.9375,0.1609594485526656,0.1535912547486804,0.1614506614729313,0.0,0.6,0.003391477200000001,0.9999999999409457,0.6570426951426896,-8.592056412579538e-09,1.0,15.0,0.875,15.0,1.0,0.3372900377631142,0.2337916387064601,2.0,0.5083023085766182,0.00012134959850507446,0.49993932520074746,0.001395662970146233,1224.519641022198,3817.34521484375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6300048828125,4.0,74.0,0.05405405405405406,1.0,3.0,0.25,0.75,0.15911801383942123,0.15409958587073372,0.16079082316231705,0.0,0.6,0.003391477200000001,1.000000000014404,0.6600985537520319,-2.9228063898398347e-09,1.0,3.0,0.5,3.0,1.0,0.8112780956052325,0.5623351246188086,2.0,0.5120101909086688,-0.0038072101306170225,0.5019036050653085,0.0019415405322638396,1141.704460955225,3770.35107421875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.6453857421875,12.0,74.0,0.16216216216216217,1.0,11.0,0.08333333333333333,0.9166666666666666,0.16058273005167806,0.15408765931023694,0.1611731910281727,0.0,0.6,0.003391477200000001,1.0000000000577798,0.6576956295093885,4.899494182173812e-09,1.0,11.0,0.8333333333333334,11.0,1.0,0.41381682144973386,0.2868359630561613,2.0,0.5092614517073022,-0.0004609751922544092,0.5002304875961272,0.0012676678053094627,1168.701448943466,3803.24365234375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.63031005859375,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.16387386997667855,0.0,0.16387386997667855,0.0,0.6,0.003391477200000001,0.9999999999793835,0.6528861495888154,6.266546487239362e-09,0.0,3.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5141141018876191,-0.0009593713912181556,0.5004796856956091,nan,1142.6771170226857,3785.85888671875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.65478515625,5.0,74.0,0.06756756756756757,2.0,3.0,0.4,0.6,0.15974924697477055,0.15439085738769054,0.16332150669949053,0.0,0.6,0.003391477200000001,0.9999999997204344,0.6672214800773543,-6.265930538740325e-09,2.0,3.0,0.2,1.5,1.0,0.9709505656007682,0.6730116470092566,2.0,0.5136833288301743,0.00101715128403157,0.4994914243579842,-0.0008169415574344469,1140.88402595371,3782.97021484375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.716552734375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.003391477200000001,1.0,0.6638196867884278,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1113.4871640242636,3768.52490234375,,,,,,,,,,
