step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.662841796875,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15313407365785314,0.0,0.15313407365785314,0.0,0.6,0.003391477200000001,0.9999999999983672,0.6623058833048149,4.985769980147352e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.515247249468863,0.0013617913937196136,0.4993191043031402,nan,1866.481057018973,3665.81201171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.69140625,22.0,74.0,0.2972972972972973,3.0,19.0,0.13636363636363635,0.8636363636363636,0.150547182847643,0.1444480789191461,0.1515101992574057,0.0,0.6,0.003391477200000001,1.0000000002258864,0.6602085459429684,-1.0324989147419184e-08,3.0,19.0,0.7272727272727273,6.333333333333333,1.0,0.5746356689837792,0.3983070938052845,2.0,0.5090744801283119,0.0020629173462503475,0.49896854132687485,0.005551791929357049,1258.7862269720063,3835.96044921875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.69329833984375,14.0,74.0,0.1891891891891892,2.0,12.0,0.14285714285714285,0.8571428571428571,0.15033493820449687,0.14613471829730984,0.1510349748556947,0.0,0.6,0.003391477200000001,0.9999999999677487,0.6773012804986028,-2.83601244365427e-09,2.0,12.0,0.7142857142857143,6.0,1.0,0.5916727497284272,0.41011629828840945,2.0,0.5085596125966402,-0.0004394253555801697,0.5002197126777901,0.00040199143926268166,1223.7464359495789,3812.38427734375,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.686279296875,8.0,74.0,0.10810810810810811,1.0,7.0,0.125,0.875,0.150125499088182,0.14552319622738732,0.15078297092543844,0.0,0.6,0.003391477200000001,0.9999999996281714,0.666204410501331,1.0486982808983087e-08,1.0,7.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5065798693798909,-0.0007910364656709135,0.5003955182328355,0.0006866378616438793,1169.072842109017,3785.73974609375,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.651611328125,10.0,74.0,0.13513513513513514,4.0,6.0,0.4,0.6,0.14868105309270216,0.14536959435506627,0.1508886922511261,0.0,0.6,0.003391477200000001,0.9999999999760781,0.6732758301611238,1.2935167429196587e-08,4.0,6.0,0.2,1.5,1.0,0.9709505656007682,0.6730116470092566,2.0,0.5097292743794347,2.6813504518941045e-05,0.49998659324774053,0.0003169476096152865,1230.6017481023446,3790.61474609375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6597900390625,4.0,74.0,0.05405405405405406,1.0,3.0,0.25,0.75,0.14792569122517718,0.14637960374400605,0.1484410537189009,0.0,0.6,0.003391477200000001,1.000000000001698,0.6631862772827767,5.256014409646928e-09,1.0,3.0,0.5,3.0,1.0,0.8112780956052325,0.5623351246188086,2.0,0.5069143625827427,0.0014971805503591895,0.4992514097248204,0.00246082857702216,1156.0433839913458,3770.13232421875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.68756103515625,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.15248806081374147,0.0,0.15248806081374147,0.0,0.6,0.003391477200000001,1.0000000004237939,0.6721165113797868,-7.433106204495282e-10,0.0,5.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5086337041519802,9.669363862485625e-06,0.49999516531806876,nan,1223.3769709710032,3780.76123046875,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.648193359375,16.0,74.0,0.21621621621621623,4.0,12.0,0.25,0.75,0.15155208052765684,0.14449721347099798,0.1539037028798765,0.0,0.6,0.003391477200000001,0.9999999997731922,0.6706492275330111,-1.5954432494167813e-08,4.0,12.0,0.5,3.0,1.0,0.8112780956052325,0.5623351246188086,2.0,0.5153356773551399,-0.000626896639005281,0.5003134483195026,0.003477202048659551,1220.9434329997748,3805.32958984375,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.6424560546875,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.1491448133244936,0.0,0.1491448133244936,0.0,0.6,0.003391477200000001,0.9999999999572095,0.6649698338218445,-4.192184795062595e-09,0.0,1.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.502850622251688,nan,nan,nan,1163.7904499657452,3771.21630859375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.61785888671875,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.14996381290571117,0.0,0.14996381290571117,0.0,0.6,0.003391477200000001,1.000000000083514,0.6671633214292314,-1.153504689420119e-08,0.0,8.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5042562410353022,0.0008703074418008327,0.4995648462790996,nan,1171.614104998298,3784.95263671875,,,,,,,,,,
