step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.688385009765625,533.7386400206015,8896.51318359375,,,,,
2,1,2,0.0,128.0,128.0,0.682769775390625,211.60207098000683,9321.23876953125,,,,,
3,1,3,0.0,128.0,128.0,0.664306640625,221.76108800340444,9321.36376953125,,,,,
4,1,4,0.0,128.0,128.0,0.670654296875,307.00790701666847,8948.0283203125,,,,,
5,1,5,0.0,128.0,128.0,0.670166015625,260.0133349769749,9724.4619140625,,,,,
6,1,6,0.0,128.0,128.0,0.66192626953125,227.4975180043839,9396.2724609375,,,,,
7,1,7,0.0,128.0,128.0,0.6560821533203125,199.45426101912744,8527.3134765625,,,,,
8,1,8,0.0,128.0,128.0,0.64813232421875,250.1620379916858,8579.1416015625,,,,,
9,1,9,0.0,128.0,128.0,0.6326751708984375,259.6130199963227,9396.2724609375,,,,,
10,1,10,0.0,128.0,128.0,0.6584320068359375,219.2952960031107,8782.7548828125,,,,,
11,1,11,0.0,128.0,128.0,0.621063232421875,256.90630701137707,10293.2177734375,,,,,
12,1,12,0.0,128.0,128.0,0.5962181091308594,258.35394600289874,9031.7919921875,,,,,
13,1,13,0.0,128.0,128.0,0.6489791870117188,237.45916798361577,8723.1962890625,,,,,
14,1,14,0.0,128.0,128.0,0.5930137634277344,210.62314600567333,8628.02880859375,,,,,
15,1,15,0.0,128.0,128.0,0.7251167297363281,207.41377101512626,8628.02880859375,,,,,
16,1,16,0.0,128.0,128.0,0.6404037475585938,230.7591639983002,8628.02880859375,,,,,
17,1,17,0.0,128.0,128.0,0.6248970031738281,230.3321569925174,8427.0244140625,,,,,
18,1,18,0.0,128.0,128.0,0.5856094360351562,219.4242800178472,8628.02880859375,,,,,
19,1,19,0.0,128.0,128.0,0.6890640258789062,200.6887620082125,8427.0244140625,,,,,
20,1,20,0.0,128.0,128.0,0.58856201171875,235.8645060157869,9249.9072265625,,,,,
21,1,21,0.0,128.0,128.0,0.6122894287109375,277.70742401480675,9789.1767578125,,,,,
22,1,22,0.0,128.0,128.0,0.59423828125,242.88655101554468,9249.9072265625,,,,,
