step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6634521484375,366.65765699581243,2298.60009765625,,,,,
2,1,2,0.0,32.0,32.0,0.66650390625,55.26313200243749,3500.2021484375,,,,,
3,1,3,0.0,32.0,32.0,0.7142333984375,60.01340801594779,3311.091796875,,,,,
4,1,4,0.0,32.0,32.0,0.54266357421875,54.43173198727891,3209.6015625,,,,,
5,1,5,0.0,32.0,32.0,0.63531494140625,60.33562100492418,3498.1396484375,,,,,
6,1,6,0.0,32.0,32.0,0.5150146484375,57.46246801572852,3317.85888671875,,,,,
7,1,7,0.0,32.0,32.0,0.71002197265625,55.78894098289311,3259.474609375,,,,,
8,1,8,0.0,32.0,32.0,0.5463714599609375,57.39530801656656,3335.7958984375,,,,,
9,1,9,0.0,32.0,32.0,0.86285400390625,57.183526980225,3288.6630859375,,,,,
10,1,10,0.0,32.0,32.0,0.558013916015625,57.6095359865576,3335.7958984375,,,,,
11,1,11,0.0,32.0,32.0,0.6140289306640625,57.32147701201029,3317.85888671875,,,,,
12,1,12,0.0,32.0,32.0,0.6192626953125,56.66701999143697,3264.14697265625,,,,,
13,1,13,0.0,32.0,32.0,0.6783447265625,60.03285900806077,3209.6015625,,,,,
14,1,14,0.0,32.0,32.0,0.7115478515625,74.23860798007809,3335.7958984375,,,,,
15,1,15,0.0,32.0,32.0,0.667724609375,74.72635098383762,3259.474609375,,,,,
16,1,16,0.0,32.0,32.0,0.75262451171875,75.83819999126717,3264.14697265625,,,,,
17,1,17,0.0,32.0,32.0,0.72113037109375,70.22047098143958,3311.091796875,,,,,
18,1,18,0.0,32.0,32.0,0.74755859375,66.63392100017518,3413.794921875,,,,,
19,1,19,0.0,32.0,32.0,0.58026123046875,59.74978499580175,3288.6630859375,,,,,
20,1,20,0.0,32.0,32.0,0.5208282470703125,55.589560011867434,3157.107421875,,,,,
21,1,21,0.0,32.0,32.0,0.7316513061523438,59.87693098722957,3367.71875,,,,,
22,1,22,0.0,32.0,32.0,0.7002716064453125,55.561859015142545,3209.6015625,,,,,
23,1,23,0.0,32.0,32.0,0.5723876953125,60.07144300383516,3413.794921875,,,,,
24,1,24,0.0,32.0,32.0,0.6114501953125,57.56103998282924,3311.091796875,,,,,
25,1,25,0.0,32.0,32.0,0.5865478515625,59.72326299524866,3413.794921875,,,,,
26,1,26,0.0,32.0,32.0,0.61676025390625,56.34756098152138,3264.14697265625,,,,,
27,1,27,0.0,32.0,32.0,0.6092987060546875,57.66270699677989,3317.85888671875,,,,,
28,1,28,0.0,32.0,32.0,0.693450927734375,63.67998899077065,3367.71875,,,,,
29,1,29,0.0,32.0,32.0,0.74615478515625,71.30759497522376,3447.4912109375,,,,,
30,1,30,0.0,32.0,32.0,0.643310546875,71.65180001175031,3367.71875,,,,,
31,1,31,0.0,32.0,32.0,0.680419921875,69.48479800485075,3209.6015625,,,,,
32,1,32,0.0,32.0,32.0,0.689208984375,74.97027699719183,3463.982421875,,,,,
33,1,33,0.0,32.0,32.0,0.67633056640625,73.42167702154256,3553.677734375,,,,,
34,1,34,0.0,32.0,32.0,0.65655517578125,62.688581994734704,3268.2236328125,,,,,
35,1,35,0.0,32.0,32.0,0.61376953125,66.33709001471289,3520.4765625,,,,,
36,1,36,0.0,32.0,32.0,0.66510009765625,59.77274200995453,3317.85888671875,,,,,
37,1,37,0.0,32.0,32.0,0.68975830078125,60.80735501018353,3413.794921875,,,,,
38,1,38,0.0,32.0,32.0,0.977874755859375,55.62064700643532,3185.1865234375,,,,,
39,1,39,0.0,32.0,32.0,0.69818115234375,57.36637199879624,3311.091796875,,,,,
40,1,40,0.0,32.0,32.0,0.54876708984375,61.48845999268815,3435.0126953125,,,,,
41,1,41,0.0,32.0,32.0,0.586669921875,58.2892999809701,3335.7958984375,,,,,
42,1,42,0.0,32.0,32.0,0.6253662109375,66.67390599614009,3639.09130859375,,,,,
43,1,43,0.0,32.0,32.0,0.6064453125,82.36630700412206,3761.24560546875,,,,,
44,1,44,0.0,32.0,32.0,0.69793701171875,65.80542799201794,3367.71875,,,,,
45,1,45,0.0,32.0,32.0,0.6953125,64.94593201205134,3264.14697265625,,,,,
46,1,46,0.0,32.0,32.0,0.72637939453125,66.55119801871479,3288.6630859375,,,,,
47,1,47,0.0,32.0,32.0,0.65545654296875,65.42963901301846,3259.474609375,,,,,
48,1,48,0.0,32.0,32.0,0.72515869140625,61.831425002310425,3146.8427734375,,,,,
49,1,49,0.0,32.0,32.0,0.6527099609375,65.36002599750645,3414.701171875,,,,,
50,1,50,0.0,32.0,32.0,0.6536865234375,60.71704000351019,3259.474609375,,,,,
51,1,51,0.0,32.0,32.0,0.6591796875,62.67859900253825,3414.701171875,,,,,
52,1,52,0.0,32.0,32.0,0.6363525390625,54.47002901928499,3264.14697265625,,,,,
53,1,53,0.0,32.0,32.0,0.58868408203125,57.49457501224242,3259.474609375,,,,,
