step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.677947998046875,489.45457697845995,7865.4560546875,,,,,
2,1,2,0.0,128.0,128.0,0.674407958984375,193.19093399099074,8862.39013671875,,,,,
3,1,3,0.0,128.0,128.0,0.6595306396484375,181.15392001345754,8164.04638671875,,,,,
4,1,4,0.0,128.0,128.0,0.6949310302734375,214.69428300042637,8164.04638671875,,,,,
5,1,5,0.0,128.0,128.0,0.632293701171875,259.68717600335367,8329.47607421875,,,,,
6,1,6,0.0,128.0,128.0,0.6238555908203125,203.00733001204208,8329.47607421875,,,,,
7,1,7,0.0,128.0,128.0,0.603179931640625,187.26514000445604,8329.47607421875,,,,,
8,1,8,0.0,128.0,128.0,0.640777587890625,204.41576300072484,8653.32177734375,,,,,
9,1,9,0.0,128.0,128.0,0.6460723876953125,270.2811310009565,8984.02490234375,,,,,
10,1,10,0.0,128.0,128.0,0.7126426696777344,229.69583101803437,8481.97607421875,,,,,
11,1,11,0.0,128.0,128.0,0.5776748657226562,234.04808700433932,9874.92822265625,,,,,
12,1,12,0.0,128.0,128.0,0.7264366149902344,181.99671199545264,7935.74560546875,,,,,
13,1,13,0.0,128.0,128.0,0.5598716735839844,218.4869839984458,8329.47607421875,,,,,
14,1,14,0.0,128.0,128.0,0.6281051635742188,248.42345001525246,8761.55029296875,,,,,
15,1,15,0.0,128.0,128.0,0.5595588684082031,211.81615800014697,8481.97607421875,,,,,
16,1,16,0.0,128.0,128.0,0.6302528381347656,187.6894140150398,8164.04638671875,,,,,
17,1,17,0.0,128.0,128.0,0.5766487121582031,213.9237100200262,8590.65185546875,,,,,
18,1,18,0.0,128.0,128.0,0.626068115234375,284.4040289928671,10062.626953125,,,,,
19,1,19,0.0,128.0,128.0,0.5700302124023438,267.9002719814889,10117.60888671875,,,,,
20,1,20,0.0,128.0,128.0,0.5540199279785156,219.2390589916613,8985.08740234375,,,,,
21,1,21,0.0,128.0,128.0,0.5925559997558594,213.2062980090268,8653.32177734375,,,,,
22,1,22,0.0,128.0,128.0,0.50921630859375,249.00417900062166,9150.04443359375,,,,,
23,1,23,0.0,128.0,128.0,0.5352897644042969,223.76527899177745,8481.97607421875,,,,,
24,1,24,0.0,128.0,128.0,0.5163993835449219,240.6465559906792,9628.34326171875,,,,,
25,1,25,0.0,128.0,128.0,0.6326370239257812,221.37145898886956,8915.23779296875,,,,,
26,1,26,0.0,128.0,128.0,0.5665054321289062,242.6385380094871,9204.93701171875,,,,,
27,1,27,0.0,128.0,128.0,0.5531005859375,231.25178401824087,8653.32177734375,,,,,
28,1,28,0.0,128.0,128.0,0.5108489990234375,201.23205397976562,8075.36669921875,,,,,
29,1,29,0.0,84.0,84.0,0.5138055682182312,154.11439698073082,6784.099609375,,,,,
30,1,30,0.0,128.0,128.0,0.4268226623535156,210.97429899964482,8915.23779296875,,,,,
31,1,31,0.0,128.0,128.0,0.5437946319580078,231.51853500166908,8862.39013671875,,,,,
32,1,32,0.0,128.0,128.0,0.4416046142578125,226.1314050119836,8590.65185546875,,,,,
33,1,33,0.0,128.0,128.0,0.5407619476318359,219.2921270034276,8653.32177734375,,,,,
34,1,34,0.0,128.0,128.0,0.4087200164794922,249.79055498261005,9874.92822265625,,,,,
35,1,35,0.0,128.0,128.0,0.51861572265625,206.0393170104362,8164.04638671875,,,,,
36,1,36,0.0,128.0,128.0,0.4289379119873047,249.33484898065217,9396.9716796875,,,,,
37,1,37,0.0,128.0,128.0,0.5148029327392578,207.70105702104047,8329.47607421875,,,,,
38,1,38,0.0,128.0,128.0,0.4195270538330078,229.55936499056406,9150.04443359375,,,,,
39,1,39,0.0,128.0,128.0,0.36049842834472656,200.60868898872286,8075.36669921875,,,,,
40,1,40,0.0,128.0,128.0,0.3082895278930664,226.4024300093297,8653.32177734375,,,,,
41,1,41,0.0,128.0,128.0,0.5495920181274414,208.8902399991639,8260.02685546875,,,,,
42,1,42,0.0,128.0,128.0,0.4461240768432617,215.39259402197786,8404.90966796875,,,,,
43,1,43,0.0,128.0,128.0,0.6006784439086914,230.6028500024695,9204.93701171875,,,,,
44,1,44,0.0,128.0,128.0,0.4512500762939453,231.23367299558595,8985.08740234375,,,,,
45,1,45,0.0,128.0,128.0,0.3622627258300781,202.58458799798973,7935.74560546875,,,,,
46,1,46,0.0,128.0,128.0,0.38993263244628906,230.79415201209486,8915.23779296875,,,,,
47,1,47,0.0,128.0,128.0,0.3579425811767578,240.48409500392154,9467.10888671875,,,,,
48,1,48,0.0,128.0,128.0,0.3502683639526367,230.2031439903658,8985.08740234375,,,,,
49,1,49,0.0,128.0,128.0,0.45617008209228516,254.2167450010311,9628.34326171875,,,,,
50,1,50,0.0,128.0,128.0,0.36723804473876953,265.2949629991781,10117.60888671875,,,,,
51,1,51,0.0,128.0,128.0,0.3981785774230957,259.62564497604035,10062.626953125,,,,,
52,1,52,0.0,128.0,128.0,0.3946976661682129,201.9829640048556,8164.04638671875,,,,,
53,1,53,0.0,128.0,128.0,0.3024773597717285,223.6746660200879,8590.65185546875,,,,,
54,1,54,0.0,128.0,128.0,0.4161863327026367,246.46415599272586,9396.9716796875,,,,,
55,1,55,0.0,128.0,128.0,0.3964567184448242,206.49979999870993,8260.02685546875,,,,,
56,1,56,0.0,128.0,128.0,0.48176097869873047,228.10830600792542,8985.08740234375,,,,,
57,1,57,0.0,128.0,128.0,0.42201995849609375,210.00906600966118,8329.47607421875,,,,,
58,1,58,0.0,84.0,84.0,0.433194100856781,130.83134702173993,5897.12548828125,,,,,
59,1,59,0.0,128.0,128.0,0.34705257415771484,217.43234500172548,8985.08740234375,,,,,
60,1,60,0.0,128.0,128.0,0.3425025939941406,221.67713000089861,8653.32177734375,,,,,
61,1,61,0.0,128.0,128.0,0.27398681640625,214.56318598939106,8404.90966796875,,,,,
62,1,62,0.0,128.0,128.0,0.34328365325927734,205.8771309966687,8164.04638671875,,,,,
63,1,63,0.0,128.0,128.0,0.3204669952392578,232.45855802088045,8915.23779296875,,,,,
64,1,64,0.0,128.0,128.0,0.4358820915222168,234.40028299228288,9204.93701171875,,,,,
65,1,65,0.0,128.0,128.0,0.41591453552246094,222.06162798102014,8653.32177734375,,,,,
66,1,66,0.0,128.0,128.0,0.29801082611083984,235.53379697841592,9150.04443359375,,,,,
67,1,67,0.0,128.0,128.0,0.2801790237426758,218.99908600607887,8481.97607421875,,,,,
68,1,68,0.0,128.0,128.0,0.35743141174316406,226.56663798261434,8862.39013671875,,,,,
69,1,69,0.0,128.0,128.0,0.3410921096801758,216.90828900318593,8481.97607421875,,,,,
70,1,70,0.0,128.0,128.0,0.30796051025390625,208.0010279896669,8260.02685546875,,,,,
71,1,71,0.0,128.0,128.0,0.3833436965942383,225.96635299851187,8761.55029296875,,,,,
72,1,72,0.0,128.0,128.0,0.3903207778930664,244.2240100062918,9467.10888671875,,,,,
73,1,73,0.0,128.0,128.0,0.3223886489868164,230.99169399938546,8915.23779296875,,,,,
74,1,74,0.0,128.0,128.0,0.4224071502685547,202.56689097732306,8075.36669921875,,,,,
75,1,75,0.0,128.0,128.0,0.2721414566040039,265.83821399253793,10117.60888671875,,,,,
76,1,76,0.0,128.0,128.0,0.2804560661315918,207.85611399332993,8260.02685546875,,,,,
77,1,77,0.0,128.0,128.0,0.28966569900512695,230.46357298153453,8915.23779296875,,,,,
78,1,78,0.0,128.0,128.0,0.3965940475463867,250.04865298978984,9628.34326171875,,,,,
79,1,79,0.0,128.0,128.0,0.27721357345581055,244.90975099615753,9396.9716796875,,,,,
80,1,80,0.0,128.0,128.0,0.40169334411621094,241.70650998712517,9356.89697265625,,,,,
81,1,81,0.0,128.0,128.0,0.2777085304260254,257.19857699004933,9874.92822265625,,,,,
82,1,82,0.0,128.0,128.0,0.2717452049255371,220.5899069958832,8761.55029296875,,,,,
83,1,83,0.0,128.0,128.0,0.27432966232299805,210.30522300861776,8329.47607421875,,,,,
84,1,84,0.0,128.0,128.0,0.3500046730041504,265.7171190076042,10062.626953125,,,,,
85,1,85,0.0,128.0,128.0,0.4106168746948242,203.80644599208608,8164.04638671875,,,,,
86,1,86,0.0,128.0,128.0,0.2679147720336914,230.962552013807,8985.08740234375,,,,,
87,1,87,0.0,84.0,84.0,0.2921890914440155,136.71779798460193,6066.0576171875,,,,,
88,1,88,0.0,128.0,128.0,0.276155948638916,251.4782469952479,10062.626953125,,,,,
89,1,89,0.0,128.0,128.0,0.20423460006713867,220.94642100273632,8590.65185546875,,,,,
90,1,90,0.0,128.0,128.0,0.2588338851928711,231.7480509809684,8985.08740234375,,,,,
91,1,91,0.0,128.0,128.0,0.23309040069580078,226.8517329939641,8862.39013671875,,,,,
92,1,92,0.0,128.0,128.0,0.28662538528442383,226.02438300964423,8761.55029296875,,,,,
93,1,93,0.0,128.0,128.0,0.33060598373413086,265.15676800045185,10117.60888671875,,,,,
94,1,94,0.0,128.0,128.0,0.24969768524169922,220.79709600075148,8590.65185546875,,,,,
95,1,95,0.0,128.0,128.0,0.22225522994995117,208.8842059893068,8260.02685546875,,,,,
96,1,96,0.0,128.0,128.0,0.31505632400512695,230.79203901579604,8915.23779296875,,,,,
97,1,97,0.0,128.0,128.0,0.23439741134643555,236.5826460008975,9150.04443359375,,,,,
98,1,98,0.0,128.0,128.0,0.31954383850097656,208.2638000138104,8329.47607421875,,,,,
99,1,99,0.0,128.0,128.0,0.26432275772094727,216.33512200787663,8404.90966796875,,,,,
100,1,100,0.0,128.0,128.0,0.2673206329345703,246.67962797684595,9396.9716796875,,,,,
100,1,,1.0,128.0,128.0,,246.67962797684595,9396.9716796875,0.875,0.27950487472116947,0.913576881134133,0.23107153434177924,0.038576881134133045
