step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.6893310546875,520.4784630041104,8014.13134765625,,,,,
2,1,2,0.0,128.0,128.0,0.67669677734375,201.47691099555232,8959.7587890625,,,,,
3,1,3,0.0,128.0,128.0,0.684356689453125,210.75428600306623,8890.7001953125,,,,,
4,1,4,0.0,128.0,128.0,0.6634674072265625,303.73721799696796,9381.2900390625,,,,,
5,1,5,0.0,128.0,128.0,0.6538238525390625,272.0975580159575,9833.240234375,,,,,
6,1,6,0.0,128.0,128.0,0.6568756103515625,245.1234909822233,10048.8212890625,,,,,
7,1,7,0.0,128.0,128.0,0.638671875,269.1759819863364,10535.2353515625,,,,,
8,1,8,0.0,128.0,128.0,0.6355972290039062,260.6324260123074,8710.0498046875,,,,,
9,1,9,0.0,128.0,128.0,0.66595458984375,278.03809897159226,10271.0908203125,,,,,
10,1,10,0.0,128.0,128.0,0.6595039367675781,228.81486400729045,9317.31787109375,,,,,
11,1,11,0.0,128.0,128.0,0.60345458984375,238.81669601541944,9161.9384765625,,,,,
12,1,12,0.0,128.0,128.0,0.626983642578125,242.5283060001675,8499.63330078125,,,,,
13,1,13,0.0,128.0,128.0,0.6472091674804688,228.6948449909687,8645.4677734375,,,,,
14,1,14,0.0,128.0,128.0,0.6955490112304688,208.96885398542508,8710.0498046875,,,,,
15,1,15,0.0,128.0,128.0,0.532806396484375,251.37665797956288,9833.2392578125,,,,,
16,1,16,0.0,128.0,128.0,0.6180000305175781,255.2416929975152,9030.5673828125,,,,,
17,1,17,0.0,128.0,128.0,0.6109771728515625,233.9341309852898,8645.4677734375,,,,,
18,1,18,0.0,128.0,128.0,0.6406402587890625,228.5045910102781,9030.5673828125,,,,,
19,1,19,0.0,128.0,128.0,0.5840568542480469,206.1664539796766,8499.63330078125,,,,,
20,1,20,0.0,128.0,128.0,0.5865936279296875,251.25514599494636,9269.6728515625,,,,,
21,1,21,0.0,128.0,128.0,0.6182174682617188,231.2714169966057,8499.63330078125,,,,,
22,1,22,0.0,128.0,128.0,0.6597366333007812,242.19220600207336,9317.31787109375,,,,,
23,1,23,0.0,128.0,128.0,0.5829620361328125,268.5647960170172,10486.45068359375,,,,,
24,1,24,0.0,128.0,128.0,0.6053314208984375,217.8230810095556,8293.5712890625,,,,,
25,1,25,0.0,128.0,128.0,0.6351661682128906,250.8357269980479,9030.5673828125,,,,,
26,1,26,0.0,128.0,128.0,0.5968170166015625,233.60443898127414,8962.1962890625,,,,,
27,1,27,0.0,128.0,128.0,0.6560134887695312,214.38832400599495,8645.4677734375,,,,,
28,1,28,0.0,128.0,128.0,0.5778388977050781,255.98012501723133,9711.6181640625,,,,,
29,1,29,0.0,84.0,84.0,0.5373767614364624,183.23121400317177,7162.3642578125,,,,,
30,1,30,0.0,128.0,128.0,0.49839019775390625,212.52542600268498,8710.0498046875,,,,,
31,1,31,0.0,128.0,128.0,0.46918487548828125,197.48326399712823,8035.5087890625,,,,,
32,1,32,0.0,128.0,128.0,0.5820693969726562,236.825592990499,9161.9384765625,,,,,
33,1,33,0.0,128.0,128.0,0.6968536376953125,246.64064499665983,9161.9384765625,,,,,
34,1,34,0.0,128.0,128.0,0.4656410217285156,242.77258897200227,8962.1962890625,,,,,
35,1,35,0.0,128.0,128.0,0.45950889587402344,242.8378160111606,9317.31787109375,,,,,
36,1,36,0.0,128.0,128.0,0.48305320739746094,228.46535799908452,8806.40283203125,,,,,
37,1,37,0.0,128.0,128.0,0.4693164825439453,228.574409004068,8710.0498046875,,,,,
38,1,38,0.0,128.0,128.0,0.5193471908569336,242.0487420167774,8962.1962890625,,,,,
39,1,39,0.0,128.0,128.0,0.43157196044921875,280.2415000041947,10486.45068359375,,,,,
40,1,40,0.0,128.0,128.0,0.5577182769775391,232.53933401429094,8962.1962890625,,,,,
41,1,41,0.0,128.0,128.0,0.4729928970336914,243.7529290036764,9269.6728515625,,,,,
42,1,42,0.0,128.0,128.0,0.43891143798828125,281.7965130088851,10271.0908203125,,,,,
43,1,43,0.0,128.0,128.0,0.3760032653808594,241.95365500054322,9269.6728515625,,,,,
44,1,44,0.0,128.0,128.0,0.43469905853271484,257.7278949902393,9833.2392578125,,,,,
45,1,45,0.0,128.0,128.0,0.5028114318847656,263.0273539980408,9871.6416015625,,,,,
46,1,46,0.0,128.0,128.0,0.4050731658935547,250.27657698956318,9317.31787109375,,,,,
47,1,47,0.0,128.0,128.0,0.39063453674316406,236.7730689875316,9030.5673828125,,,,,
48,1,48,0.0,128.0,128.0,0.6125097274780273,280.26087299804203,10535.2353515625,,,,,
49,1,49,0.0,128.0,128.0,0.4933605194091797,253.0711380240973,9543.1298828125,,,,,
50,1,50,0.0,128.0,128.0,0.41393184661865234,220.30273400014266,8570.9658203125,,,,,
51,1,51,0.0,128.0,128.0,0.43578147888183594,250.90452100266702,9580.9072265625,,,,,
52,1,52,0.0,128.0,128.0,0.44289398193359375,259.04179899953306,9833.2392578125,,,,,
53,1,53,0.0,128.0,128.0,0.35469627380371094,248.40082100126892,9317.31787109375,,,,,
54,1,54,0.0,128.0,128.0,0.35455989837646484,249.9081020068843,9380.4775390625,,,,,
55,1,55,0.0,128.0,128.0,0.4341554641723633,223.04048799560405,8645.4677734375,,,,,
56,1,56,0.0,128.0,128.0,0.3762826919555664,236.6244529839605,9030.5673828125,,,,,
57,1,57,0.0,128.0,128.0,0.4722099304199219,238.2880110235419,9030.5673828125,,,,,
58,1,58,0.0,84.0,84.0,0.350766122341156,138.68253800319508,5999.83544921875,,,,,
59,1,59,0.0,128.0,128.0,0.3697671890258789,212.49524399172515,8645.4677734375,,,,,
60,1,60,0.0,128.0,128.0,0.3632206916809082,246.38516202685423,9317.31787109375,,,,,
61,1,61,0.0,128.0,128.0,0.3819122314453125,279.46244800114073,10486.45068359375,,,,,
