step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6634521484375,346.48055300931446,2298.60009765625,,,,,
2,1,2,0.0,32.0,32.0,0.66650390625,55.161305994261056,3499.9521484375,,,,,
3,1,3,0.0,32.0,32.0,0.72100830078125,55.97966400091536,3312.748046875,,,,,
4,1,4,0.0,32.0,32.0,0.52703857421875,54.028508020564914,3208.1875,,,,,
5,1,5,0.0,32.0,32.0,0.64886474609375,61.458790994947776,3498.0771484375,,,,,
6,1,6,0.0,32.0,32.0,0.519378662109375,58.382110990351066,3319.66357421875,,,,,
7,1,7,0.0,32.0,32.0,0.63458251953125,56.20519700460136,3257.318359375,,,,,
8,1,8,0.0,32.0,32.0,0.91595458984375,57.371030998183414,3338.1552734375,,,,,
9,1,9,0.0,32.0,32.0,0.92694091796875,57.127467007376254,3288.6630859375,,,,,
10,1,10,0.0,32.0,32.0,0.62066650390625,57.71934799849987,3338.1552734375,,,,,
11,1,11,0.0,32.0,32.0,0.600494384765625,57.14454801636748,3319.66357421875,,,,,
12,1,12,0.0,32.0,32.0,0.625885009765625,56.09036597888917,3264.14697265625,,,,,
13,1,13,0.0,32.0,32.0,0.66461181640625,60.47015299554914,3208.1875,,,,,
14,1,14,0.0,32.0,32.0,0.6519775390625,77.24949199473485,3338.1552734375,,,,,
15,1,15,0.0,32.0,32.0,0.6798095703125,75.67422901047394,3257.318359375,,,,,
16,1,16,0.0,32.0,32.0,0.77587890625,76.19395400979556,3264.14697265625,,,,,
17,1,17,0.0,32.0,32.0,0.74078369140625,69.53532400075346,3312.748046875,,,,,
18,1,18,0.0,32.0,32.0,0.78955078125,66.09811799717136,3409.638671875,,,,,
19,1,19,0.0,32.0,32.0,0.57647705078125,59.269197983667254,3288.6630859375,,,,,
20,1,20,0.0,32.0,32.0,0.5092010498046875,55.66305699176155,3159.591796875,,,,,
21,1,21,0.0,32.0,32.0,0.7829933166503906,59.95406600413844,3371.09375,,,,,
22,1,22,0.0,32.0,32.0,0.7574963569641113,55.94977000146173,3208.1875,,,,,
23,1,23,0.0,32.0,32.0,0.5812263488769531,60.33520499477163,3409.638671875,,,,,
24,1,24,0.0,32.0,32.0,0.6291656494140625,57.60799700510688,3312.748046875,,,,,
25,1,25,0.0,32.0,32.0,0.61224365234375,59.86979801673442,3409.638671875,,,,,
26,1,26,0.0,32.0,32.0,0.6553955078125,56.40142399352044,3264.14697265625,,,,,
27,1,27,0.0,32.0,32.0,0.61962890625,58.81577599211596,3319.66357421875,,,,,
28,1,28,0.0,32.0,32.0,0.69818115234375,64.30328398710117,3371.09375,,,,,
29,1,29,0.0,32.0,32.0,0.83599853515625,71.92745999782346,3452.5068359375,,,,,
30,1,30,0.0,32.0,32.0,0.711456298828125,73.06450000032783,3371.09375,,,,,
31,1,31,0.0,32.0,32.0,0.6026611328125,69.83260400011204,3208.1875,,,,,
32,1,32,0.0,32.0,32.0,0.63934326171875,74.27552901208401,3466.701171875,,,,,
33,1,33,0.0,32.0,32.0,0.6795654296875,72.62481801444665,3548.974609375,,,,,
