step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.67974853515625,466.36000799480826,7114.802734375,,,,,
2,1,2,0.0,128.0,128.0,0.68829345703125,206.78051499999128,9429.40966796875,,,,,
3,1,3,0.0,128.0,128.0,0.681365966796875,206.85750199481845,8918.86328125,,,,,
4,1,4,0.0,128.0,128.0,0.674346923828125,262.0084779919125,8918.86328125,,,,,
5,1,5,0.0,128.0,128.0,0.6712493896484375,291.9235500157811,9652.45263671875,,,,,
6,1,6,0.0,128.0,128.0,0.6765594482421875,178.8373489980586,7846.67919921875,,,,,
7,1,7,0.0,128.0,128.0,0.674468994140625,208.53760599857196,8918.86328125,,,,,
8,1,8,0.0,128.0,128.0,0.65142822265625,215.97642501001246,8664.83544921875,,,,,
9,1,9,0.0,128.0,128.0,0.6150970458984375,278.2275999779813,9156.06201171875,,,,,
10,1,10,0.0,128.0,128.0,0.6140213012695312,255.7459710224066,10155.46826171875,,,,,
11,1,11,0.0,128.0,128.0,0.6185035705566406,235.6496430002153,9882.0390625,,,,,
12,1,12,0.0,128.0,128.0,0.6600303649902344,220.55400401586667,8596.443359375,,,,,
13,1,13,0.0,128.0,128.0,0.6194000244140625,236.20219301665202,8305.529296875,,,,,
14,1,14,0.0,128.0,128.0,0.6357650756835938,206.49474402307533,8132.1279296875,,,,,
15,1,15,0.0,128.0,128.0,0.648406982421875,227.58470301050693,9428.76904296875,,,,,
16,1,16,0.0,128.0,128.0,0.6153564453125,193.42641401453875,8243.54638671875,,,,,
17,1,17,0.0,128.0,128.0,0.5973587036132812,241.14394199568778,9030.71728515625,,,,,
18,1,18,0.0,128.0,128.0,0.5921707153320312,245.28617999749258,9030.71728515625,,,,,
19,1,19,0.0,128.0,128.0,0.5905380249023438,231.17762999027036,9320.69677734375,,,,,
20,1,20,0.0,128.0,128.0,0.6023788452148438,188.15199899836443,8043.96240234375,,,,,
21,1,21,0.0,128.0,128.0,0.6018753051757812,232.08057001465932,8918.86328125,,,,,
22,1,22,0.0,128.0,128.0,0.6363143920898438,215.92167500057258,8243.54638671875,,,,,
23,1,23,0.0,128.0,128.0,0.6116714477539062,262.8328200080432,10078.1806640625,,,,,
24,1,24,0.0,128.0,128.0,0.5618515014648438,197.60863098781556,8305.529296875,,,,,
25,1,25,0.0,128.0,128.0,0.540313720703125,197.85052200313658,8243.54638671875,,,,,
26,1,26,0.0,128.0,128.0,0.5866241455078125,243.64595199585892,9092.57373046875,,,,,
27,1,27,0.0,128.0,128.0,0.5790672302246094,227.05678900820203,8664.83544921875,,,,,
28,1,28,0.0,128.0,128.0,0.5973052978515625,237.52318398328498,9477.85888671875,,,,,
29,1,29,0.0,84.0,84.0,0.5041736364364624,142.65579800121486,6241.021484375,,,,,
30,1,30,0.0,128.0,128.0,0.4609413146972656,211.19638602249324,8745.861328125,,,,,
31,1,31,0.0,128.0,128.0,0.5131034851074219,237.93084800126962,8918.86328125,,,,,
32,1,32,0.0,128.0,128.0,0.5516357421875,207.53638001042418,8387.95849609375,,,,,
33,1,33,0.0,128.0,128.0,0.5342159271240234,253.2105710124597,9882.0390625,,,,,
34,1,34,0.0,128.0,128.0,0.47835731506347656,203.5271800123155,8305.529296875,,,,,
35,1,35,0.0,128.0,128.0,0.5934314727783203,204.97329300269485,8132.1279296875,,,,,
36,1,36,0.0,128.0,128.0,0.401702880859375,234.30457300855778,9030.71728515625,,,,,
37,1,37,0.0,128.0,128.0,0.41710472106933594,228.88997799600475,9030.71728515625,,,,,
38,1,38,0.0,128.0,128.0,0.43035316467285156,240.8492969989311,9477.85888671875,,,,,
39,1,39,0.0,128.0,128.0,0.44393157958984375,203.66644600289874,8132.1279296875,,,,,
40,1,40,0.0,128.0,128.0,0.4860706329345703,233.47043700050563,8918.86328125,,,,,
41,1,41,0.0,128.0,128.0,0.537989616394043,229.17880900786258,8918.86328125,,,,,
42,1,42,0.0,128.0,128.0,0.47556018829345703,229.19773400644772,9030.71728515625,,,,,
43,1,43,0.0,128.0,128.0,0.4565448760986328,248.82713600527495,9652.07763671875,,,,,
44,1,44,0.0,128.0,128.0,0.43939971923828125,246.70627698651515,9428.76904296875,,,,,
45,1,45,0.0,128.0,128.0,0.4393482208251953,226.3081299897749,8833.73388671875,,,,,
46,1,46,0.0,128.0,128.0,0.3837547302246094,206.32202000706457,8305.529296875,,,,,
47,1,47,0.0,128.0,128.0,0.3573465347290039,220.37359699606895,8664.83544921875,,,,,
48,1,48,0.0,128.0,128.0,0.4666023254394531,207.3217220022343,8305.529296875,,,,,
49,1,49,0.0,128.0,128.0,0.4365835189819336,265.2395029726904,10155.46826171875,,,,,
50,1,50,0.0,128.0,128.0,0.3886899948120117,229.49529200559482,8918.86328125,,,,,
51,1,51,0.0,128.0,128.0,0.4285569190979004,206.57932499307208,8387.95849609375,,,,,
52,1,52,0.0,128.0,128.0,0.3514842987060547,206.86034200480208,8305.529296875,,,,,
53,1,53,0.0,128.0,128.0,0.32631587982177734,222.01364097418264,8664.83544921875,,,,,
54,1,54,0.0,128.0,128.0,0.43581533432006836,199.17933599208482,8043.96240234375,,,,,
55,1,55,0.0,128.0,128.0,0.5534858703613281,260.07426698924974,10078.1806640625,,,,,
56,1,56,0.0,128.0,128.0,0.38647890090942383,221.4376330084633,8596.443359375,,,,,
57,1,57,0.0,128.0,128.0,0.37238025665283203,237.5295170058962,9092.57373046875,,,,,
58,1,58,0.0,84.0,84.0,0.3143608570098877,133.70988398673944,5917.15771484375,,,,,
59,1,59,0.0,128.0,128.0,0.294158935546875,232.55022100056522,9652.07763671875,,,,,
60,1,60,0.0,128.0,128.0,0.40422582626342773,205.75732298311777,8305.529296875,,,,,
61,1,61,0.0,128.0,128.0,0.32797908782958984,245.0335610192269,9477.85888671875,,,,,
62,1,62,0.0,128.0,128.0,0.2619590759277344,220.26831199764274,8502.72607421875,,,,,
63,1,63,0.0,128.0,128.0,0.2925276756286621,224.00736101553775,8745.861328125,,,,,
64,1,64,0.0,128.0,128.0,0.4468569755554199,262.3270509939175,10155.46826171875,,,,,
65,1,65,0.0,128.0,128.0,0.3034515380859375,217.8274390171282,8502.72607421875,,,,,
66,1,66,0.0,128.0,128.0,0.2233271598815918,233.40761600411497,9030.71728515625,,,,,
67,1,67,0.0,128.0,128.0,0.23250436782836914,222.36613399581984,8664.83544921875,,,,,
68,1,68,0.0,128.0,128.0,0.28897619247436523,228.8000349944923,8918.86328125,,,,,
69,1,69,0.0,128.0,128.0,0.33853816986083984,263.5451380047016,10078.1806640625,,,,,
70,1,70,0.0,128.0,128.0,0.21389389038085938,223.38056698208675,8596.443359375,,,,,
71,1,71,0.0,128.0,128.0,0.2668147087097168,203.7804359861184,8243.54638671875,,,,,
72,1,72,0.0,128.0,128.0,0.32851696014404297,220.10753798531368,8596.443359375,,,,,
73,1,73,0.0,128.0,128.0,0.3832828998565674,202.1369760041125,8243.54638671875,,,,,
74,1,74,0.0,128.0,128.0,0.23845839500427246,221.65843300172128,8596.443359375,,,,,
75,1,75,0.0,128.0,128.0,0.2828249931335449,241.17139499867335,9320.69677734375,,,,,
76,1,76,0.0,128.0,128.0,0.34940099716186523,230.24735201033764,8918.86328125,,,,,
77,1,77,0.0,128.0,128.0,0.2637910842895508,206.53567899717018,8305.529296875,,,,,
78,1,78,0.0,128.0,128.0,0.3547070026397705,202.68984997528605,8132.1279296875,,,,,
79,1,79,0.0,128.0,128.0,0.25618743896484375,207.35970899113454,8387.95849609375,,,,,
80,1,80,0.0,128.0,128.0,0.29090213775634766,231.71835800167173,9156.06201171875,,,,,
81,1,81,0.0,128.0,128.0,0.27248334884643555,243.68355300975963,9428.76904296875,,,,,
82,1,82,0.0,128.0,128.0,0.3635561466217041,237.241263006581,9092.57373046875,,,,,
83,1,83,0.0,128.0,128.0,0.35541272163391113,206.5782750141807,8305.529296875,,,,,
