step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.66552734375,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15178473447159202,0.0,0.15178473447159202,0.0,0.6,0.0033914772,1.0000000000008293,0.653546695774052,1.2383952431470224e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5102834060033934,0.0008072999189607799,0.4995963500405196,nan,806.6213940037414,3660.90576171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.679931640625,24.0,74.0,0.32432432432432434,4.0,20.0,0.16666666666666666,0.8333333333333334,0.15065897484948007,0.14629243798243097,0.1515322822228899,0.0,0.6,0.0033914772,1.0000000000814453,0.6600002335801168,-1.8120831125506853e-09,4.0,20.0,0.6666666666666666,5.0,1.0,0.6500223927944538,0.450561188866305,2.0,0.5085407684669273,0.00022490234943374777,0.49988754882528313,-0.0027181392442292445,409.93449799134396,3844.35888671875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.7205810546875,27.0,74.0,0.36486486486486486,7.0,20.0,0.25925925925925924,0.7407407407407407,0.14955045158244792,0.14485321875280355,0.1511944830728235,0.0,0.6,0.0033914772,0.999999999922738,0.6525424412539604,9.109204168557073e-09,7.0,20.0,0.48148148148148145,2.857142857142857,1.0,0.8256264973039948,0.5722806788018473,2.0,0.5096920307778143,0.00029042517227302915,0.49985478741386347,-0.003478903840395238,407.6051479787566,3878.7275390625,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.683349609375,32.0,74.0,0.43243243243243246,5.0,27.0,0.15625,0.84375,0.15030389397548827,0.14542882167168592,0.15120668514285907,0.0,0.6,0.0033914772,0.9999999995278536,0.6550494736232045,-5.529057423814284e-10,5.0,27.0,0.6875,5.4,1.0,0.6252623763695226,0.433398853290746,2.0,0.5069203896503424,0.00030000971787646016,0.49984999514106176,0.005847818977875361,410.51690198946744,3918.1142578125,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6593017578125,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.1515174538889083,0.0,0.1515174538889083,0.0,0.6,0.0033914772,1.0000000001132436,0.6577961149052967,-1.0900617782009356e-08,0.0,8.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5075013161673211,-4.0140737837646157e-05,0.5000200703689188,nan,400.312299025245,3785.84521484375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.6417236328125,6.0,74.0,0.08108108108108109,2.0,4.0,0.3333333333333333,0.6666666666666666,0.14965455092544686,0.14498535526176837,0.15198914875728606,0.0,0.6,0.0033914772,0.9999999999300495,0.6548235904118067,-5.323925089401124e-09,2.0,4.0,0.3333333333333333,2.0,1.0,0.918295805200589,0.636514148294813,2.0,0.5117719259031592,0.0005155990947969258,0.49974220045260154,0.005943035508829456,394.13263800088316,3774.25146484375,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.664306640625,13.0,74.0,0.17567567567567569,1.0,12.0,0.07692307692307693,0.9230769230769231,0.1511747515038967,0.1449524395959365,0.1516932774962267,0.0,0.6,0.0033914772,0.9999999999632587,0.6560212912623734,2.5659718844837206e-09,1.0,12.0,0.8461538461538461,12.0,1.0,0.3912435347753558,0.27118935304184477,2.0,0.5090976146751538,-0.00021552632097154856,0.5001077631604858,0.0015097044761146071,397.632653999608,3810.83740234375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6671142578125,10.0,74.0,0.13513513513513514,1.0,9.0,0.1,0.9,0.15082118444759257,0.1430557237858729,0.15168401341000587,0.0,0.6,0.0033914772,0.9999999999341393,0.6506029205211811,4.420760822818885e-09,1.0,9.0,0.8,9.0,1.0,0.4689955647353811,0.3250829533914487,2.0,0.5092030284927498,-0.0005509882466867566,0.5002754941233434,0.0029319114698341023,398.84877201984636,3801.85302734375,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.675537109375,10.0,74.0,0.13513513513513514,1.0,9.0,0.1,0.9,0.15065434101752942,0.1456231099798546,0.1512133666883822,0.0,0.6,0.0033914772,1.0000000000074931,0.6602746519227783,3.554745387591947e-09,1.0,9.0,0.8,9.0,1.0,0.4689955647353811,0.3250829533914487,2.0,0.5102319500819752,-0.0015049814246594906,0.5007524907123297,-0.002197100288890512,397.8970310126897,3802.28271484375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.699951171875,14.0,74.0,0.1891891891891892,1.0,13.0,0.07142857142857142,0.9285714285714286,0.1505205331132844,0.14372677174663887,0.15104313014148787,0.0,0.6,0.0033914772,0.9999999986909717,0.6629362243103073,2.971754244055611e-09,1.0,13.0,0.8571428571428571,13.0,1.0,0.3712322977869758,0.2573186205438323,2.0,0.5068897904750752,1.3369813132158015e-05,0.4999933150934339,9.777584976540174e-05,396.3305930083152,3807.14990234375,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.701416015625,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.15069119803587677,0.0,0.15069119803587677,0.0,0.6,0.0033914772,0.9999999995914463,0.6652848994417874,8.523087568483015e-09,0.0,9.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5052308735877702,0.0009930033702403307,0.49950349831487983,nan,393.4650440060068,3788.30615234375,,,,,,,,,,
12,1,12,0.0,32.0,32.0,0.676025390625,3.0,74.0,0.04054054054054054,2.0,1.0,0.6666666666666666,0.3333333333333333,0.1470465647324802,0.1455476976408367,0.15004429891576726,0.0,0.6,0.0033914772,0.9999999999312489,0.6671539716091776,-3.3352588335663978e-09,2.0,1.0,0.3333333333333333,2.0,1.0,0.918295805200589,0.636514148294813,2.0,0.5099432262601042,-0.003419293789193034,0.5017096468945965,0.004556237461667913,391.957440006081,3768.72021484375,,,,,,,,,,
13,1,13,0.0,32.0,32.0,0.669921875,4.0,74.0,0.05405405405405406,1.0,3.0,0.25,0.75,0.14863578920787102,0.14340195565376232,0.15038040039257392,0.0,0.6,0.0033914772,1.0000000000315772,0.6724028018973653,-1.4552165216085065e-09,1.0,3.0,0.5,3.0,1.0,0.8112780956052325,0.5623351246188086,2.0,0.5104760687996919,1.887123471533414e-05,0.49999056438264233,-0.00477218965956259,397.092139988672,3777.61669921875,,,,,,,,,,
14,1,14,0.0,32.0,32.0,0.65191650390625,7.0,74.0,0.0945945945945946,2.0,5.0,0.2857142857142857,0.7142857142857143,0.14758706447073108,0.14207288037551563,0.14979273810881727,0.0,0.6,0.0033914772,1.0000000001493574,0.6592154508509079,7.493772678966914e-09,2.0,5.0,0.42857142857142855,2.5,1.0,0.8631205397127306,0.5982695685852575,2.0,0.5093410486475434,0.0008185198967112228,0.4995907400516444,0.003683660975985908,394.571477023419,3786.48779296875,,,,,,,,,,
