step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.662841796875,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15303942545553453,0.0,0.15303942545553453,0.0,0.6,0.0033914772,0.9999999999624446,0.6623058859011931,5.749472864675432e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5147863001837876,0.0013616993092000484,0.4993191503454,nan,808.8428280025255,3665.81201171875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.69140625,22.0,74.0,0.2972972972972973,3.0,19.0,0.13636363636363635,0.8636363636363636,0.15053061715121935,0.14461616589755558,0.15146447787548203,0.0,0.6,0.0033914772,0.9999999996832932,0.6602085763249167,3.751213770295795e-08,3.0,19.0,0.7272727272727273,6.333333333333333,1.0,0.5746356689837792,0.3983070938052845,2.0,0.5087996926067574,0.0020629223329898813,0.49896853883350506,0.005551826415704245,329.8042690148577,3835.96044921875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.694091796875,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.15213073747483938,0.0,0.15213073747483938,0.0,0.6,0.0033914772,0.9999999996654185,0.6730639922185863,1.0576102676624838e-08,0.0,7.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5080786426053888,0.00013333981041796505,0.499933330094791,nan,317.23548198351637,3791.42138671875,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.68603515625,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.14977959129874546,0.0,0.14977959129874546,0.0,0.6,0.0033914772,0.999999999580389,0.6671997459233745,5.109730825395834e-11,0.0,8.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5059350762205137,-0.0006797811365686357,0.5003398905682843,nan,320.98227299866267,3785.73974609375,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6380615234375,7.0,74.0,0.0945945945945946,1.0,6.0,0.14285714285714285,0.8571428571428571,0.15135284623383213,0.14565490857169874,0.1523025025108544,0.0,0.6,0.0033914772,1.0000000000287272,0.673066067880177,1.2355346321872011e-09,1.0,6.0,0.7142857142857143,6.0,1.0,0.5916727497284272,0.41011629828840945,2.0,0.5095268064221165,0.0015680124051868916,0.49921599379740655,-0.003425206406458709,321.5961290115956,3783.02099609375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.64288330078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6628642697762356,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,312.25971298408695,3762.35107421875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.69158935546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6690215106138433,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.2767469980754,3769.66162109375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6051025390625,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.14823897823810064,0.0,0.14823897823810064,0.0,0.6,0.0033914772,1.0000000000395848,0.671733561971864,1.8317683214846986e-09,0.0,1.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5058700725396645,nan,nan,nan,316.8619929929264,3765.54248046875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.592803955078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.667453022580419,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,309.7695359901991,3769.34130859375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.578857421875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6646783867296249,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,312.9558810032904,3767.45849609375,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.622528076171875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6790331991100892,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,310.47232399578206,3769.66162109375,,,,,,,,,,
12,1,12,0.0,32.0,32.0,0.563018798828125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6707290900293825,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,314.28763197618537,3765.81005859375,,,,,,,,,,
13,1,13,0.0,32.0,32.0,0.442718505859375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6674794664605196,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,311.33988199871965,3769.34130859375,,,,,,,,,,
14,1,14,0.0,32.0,32.0,0.6617584228515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6698154145775517,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,308.5808899777476,3760.15576171875,,,,,,,,,,
15,1,15,0.0,32.0,32.0,0.57879638671875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6706196188452066,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,312.13581599877216,3761.76513671875,,,,,,,,,,
16,1,16,0.0,32.0,32.0,0.772918701171875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6698691490066255,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,304.15996501687914,3762.38037109375,,,,,,,,,,
17,1,17,0.0,32.0,32.0,0.61553955078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.667322779440758,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,308.8661950023379,3762.38037109375,,,,,,,,,,
18,1,18,0.0,32.0,32.0,0.70928955078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6702681770505458,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,307.97577000339516,3772.58740234375,,,,,,,,,,
19,1,19,0.0,32.0,32.0,0.6014404296875,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.15049437629011864,0.0,0.15049437629011864,0.0,0.6,0.0033914772,1.000000000102727,0.6702467758995706,-9.714042728424408e-09,0.0,5.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5038523466042221,0.00019222160335630178,0.49990388919832185,nan,316.3851290009916,3790.74951171875,,,,,,,,,,
20,1,20,0.0,32.0,32.0,0.6385498046875,42.0,74.0,0.5675675675675675,2.0,40.0,0.047619047619047616,0.9523809523809523,0.15082729457290714,0.1449278975447475,0.15112226442431514,0.0,0.6,0.0033914772,0.9999999996267555,0.6749555304685056,-6.063763452873764e-09,2.0,40.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.506170156400958,0.0005351237541617593,0.4997324381229191,-0.00014783771721463577,332.4179750052281,4002.7578125,,,,,,,,,,
21,1,21,0.0,32.0,32.0,0.605926513671875,37.0,74.0,0.5,3.0,34.0,0.08108108108108109,0.918918918918919,0.14986944191525703,0.14459387545509375,0.15033493307350673,0.0,0.6,0.0033914772,1.0000000002016902,0.6628343060925155,1.0049031057378291e-08,3.0,34.0,0.8378378378378378,11.333333333333334,1.0,0.4059770096216712,0.2814018195914192,2.0,0.5057287719304363,-7.228857704300417e-05,0.5000361442885215,-0.0011006749975459103,331.81719001731835,3938.2080078125,,,,,,,,,,
22,1,22,0.0,32.0,32.0,0.57476806640625,23.0,74.0,0.3108108108108108,2.0,21.0,0.08695652173913043,0.9130434782608695,0.1540132363953664,0.14490368180574337,0.15488081302294954,0.0,0.6,0.0033914772,1.0000000000491172,0.6683836210235055,-7.777358703703105e-09,2.0,21.0,0.8260869565217391,10.5,1.0,0.42622862814424495,0.2954391718721167,2.0,0.5174790615734784,0.0003082339826505631,0.4998458830086747,0.0014886892907364593,322.0588529948145,3832.80419921875,,,,,,,,,,
23,1,23,0.0,32.0,32.0,0.605316162109375,49.0,74.0,0.6621621621621622,5.0,44.0,0.10204081632653061,0.8979591836734694,0.1502479048404407,0.14557626711116314,0.15077877276422222,0.0,0.6,0.0033914772,1.0000000005594107,0.6624007629397919,-1.2696140592713532e-08,5.0,44.0,0.7959183673469388,8.8,1.0,0.47543161741482054,0.32954408516013745,2.0,0.5064254543714415,0.0003985908348686129,0.4998007045825657,-0.0012185312873284916,339.4472450017929,4082.4169921875,,,,,,,,,,
24,1,24,0.0,32.0,32.0,0.6387939453125,55.0,74.0,0.7432432432432432,2.0,53.0,0.03636363636363636,0.9636363636363636,0.15047111018986653,0.1431012867717727,0.15074921673394553,0.0,0.6,0.0033914772,1.0000000015525468,0.6609685905037755,-3.560701457301148e-08,2.0,53.0,0.9272727272727272,26.5,1.0,0.22536361027349613,0.15621015106188416,2.0,0.5053998370309928,0.00030882762366767964,0.49984558618816616,0.0034902034906143607,342.45693898992613,4153.09765625,,,,,,,,,,
25,1,25,0.0,32.0,32.0,0.684112548828125,37.0,74.0,0.5,5.0,32.0,0.13513513513513514,0.8648648648648649,0.14989496621829024,0.1455746558924016,0.15057001470671036,0.0,0.6,0.0033914772,1.0000000001524847,0.6552748910043741,1.1353409827977984e-08,5.0,32.0,0.7297297297297297,6.4,1.0,0.5713549455740546,0.39603306962363694,2.0,0.507870388832943,-5.378728651282328e-05,0.5000268936432564,0.0020733288217423935,330.5930710048415,3938.61376953125,,,,,,,,,,
26,1,26,0.0,32.0,32.0,0.62786865234375,38.0,74.0,0.5135135135135135,10.0,28.0,0.2631578947368421,0.7368421052631579,0.1484954227919987,0.1431593350525588,0.1504011684132272,0.0,0.6,0.0033914772,1.0000000003384981,0.6730161193054327,-1.4047984925610552e-08,10.0,28.0,0.47368421052631576,2.8,1.0,0.8314743591558288,0.5763341077567501,2.0,0.5103423304290835,0.00035480245884557025,0.4998225987705772,0.004766786622613724,330.4382599890232,3933.05810546875,,,,,,,,,,
27,1,27,0.0,32.0,32.0,0.576629638671875,32.0,74.0,0.43243243243243246,9.0,23.0,0.28125,0.71875,0.15215396390666527,0.1441453271535192,0.15528777828833115,0.0,0.6,0.0033914772,0.9999999999294634,0.6645901617692312,8.119594574779787e-09,9.0,23.0,0.4375,2.5555555555555554,1.0,0.8571484085744712,0.5941300027248387,2.0,0.5190424119464694,9.016524598391107e-05,0.49995491737700803,0.0004910342863606783,328.53397500002757,3872.8291015625,,,,,,,,,,
28,1,28,0.0,32.0,32.0,0.67193603515625,41.0,74.0,0.5540540540540541,8.0,33.0,0.1951219512195122,0.8048780487804879,0.14975060940935947,0.14515558305314613,0.150864555192684,0.0,0.6,0.0033914772,1.0000000001404752,0.6482712252886199,-1.0166851268073518e-08,8.0,33.0,0.6097560975609756,4.125,1.0,0.7120640260366475,0.49356517202546574,2.0,0.507435094964379,-8.211474796237944e-05,0.5000410573739812,-0.002923864402286971,333.006627013674,3968.1103515625,,,,,,,,,,
29,1,29,0.0,32.0,32.0,0.58111572265625,25.0,74.0,0.33783783783783783,7.0,18.0,0.28,0.72,0.1507356529416302,0.14231065677931978,0.1540120403380842,0.0,0.6,0.0033914772,1.0000000002227916,0.6639305238656273,-3.7967237083201655e-08,7.0,18.0,0.44,2.5714285714285716,1.0,0.8554507817062302,0.5929532974474747,2.0,0.519819387088294,0.0005609039265339163,0.499719548036733,-0.0005999505303295535,326.23883499763906,3837.87451171875,,,,,,,,,,
30,1,30,0.0,32.0,32.0,0.586700439453125,24.0,74.0,0.32432432432432434,5.0,19.0,0.20833333333333334,0.7916666666666666,0.15040326775492527,0.14389887553130176,0.1521149499190367,0.0,0.6,0.0033914772,0.9999999992151947,0.6685335463297943,1.4866855017985858e-08,5.0,19.0,0.5833333333333334,3.8,1.0,0.7382848372895502,0.5117400534174097,2.0,0.5123154463056633,-0.00021043540990612312,0.5001052177049531,-0.0011262603426647668,323.6247030145023,3834.56787109375,,,,,,,,,,
31,1,31,0.0,32.0,32.0,0.607879638671875,29.0,74.0,0.3918918918918919,5.0,24.0,0.1724137931034483,0.8275862068965517,0.1506402832118422,0.14520704360391756,0.15177220813015985,0.0,0.6,0.0033914772,0.9999999990221197,0.6670904078527696,-9.627586358114504e-10,5.0,24.0,0.6551724137931034,4.8,1.0,0.6631968113859285,0.4596929999685021,2.0,0.5099288910574322,0.00011335408860016376,0.49994332295569993,-0.0017748026860271594,330.6565920065623,3847.53857421875,,,,,,,,,,
32,1,32,0.0,32.0,32.0,0.812591552734375,9.0,74.0,0.12162162162162163,1.0,8.0,0.1111111111111111,0.8888888888888888,0.14902462239875894,0.12216995898179589,0.15238145532587932,0.0,0.6,0.0033914772,1.000000000008734,0.6661441888707967,-5.1710645332625036e-09,1.0,8.0,0.7777777777777778,8.0,1.0,0.5032583059217456,0.3488320758430324,2.0,0.520509784207919,0.0004368619411252439,0.4997815690294374,0.0018370117238865017,311.85622699558735,3781.03662109375,,,,,,,,,,
33,1,33,0.0,32.0,32.0,0.616668701171875,15.0,74.0,0.20270270270270271,4.0,11.0,0.26666666666666666,0.7333333333333333,0.14883259218766146,0.142005296361296,0.1513152452154307,0.0,0.6,0.0033914772,1.0000000002453056,0.6578561982965039,2.0000993190630463e-09,4.0,11.0,0.4666666666666667,2.75,1.0,0.8366407130872668,0.5799151514181011,2.0,0.5147861948861211,0.00048488456559425686,0.49975755771720287,0.002712698820606883,328.5702319990378,3798.57568359375,,,,,,,,,,
34,1,34,0.0,32.0,32.0,0.511383056640625,29.0,74.0,0.3918918918918919,4.0,25.0,0.13793103448275862,0.8620689655172413,0.15092127420500723,0.1454304697134586,0.151799802923655,0.0,0.6,0.0033914772,0.9999999998159138,0.6637551899934881,1.8642921350491416e-08,4.0,25.0,0.7241379310344828,6.25,1.0,0.5787945957782196,0.4011898421870061,2.0,0.5090515181699906,0.0004629886314386311,0.49976850568428066,0.001302251639223841,327.20591701217927,3850.81201171875,,,,,,,,,,
35,1,35,0.0,32.0,32.0,0.748626708984375,11.0,74.0,0.14864864864864866,3.0,8.0,0.2727272727272727,0.7272727272727273,0.1476871443507531,0.14225007407774878,0.1497260457031298,0.0,0.6,0.0033914772,0.9999999999414494,0.662865203164527,1.9750971065301803e-08,3.0,8.0,0.45454545454545453,2.6666666666666665,1.0,0.8453509077685359,0.5859525983035511,2.0,0.5095315740220324,0.0006708363798679784,0.499664581810066,-0.0005451697203658219,318.3336350193713,3785.91162109375,,,,,,,,,,
36,1,36,0.0,32.0,32.0,0.72991943359375,8.0,74.0,0.10810810810810811,1.0,7.0,0.125,0.875,0.14881320168648163,0.14255542821366418,0.14970716932545552,0.0,0.6,0.0033914772,1.0000000000711728,0.664301546059963,7.552500464129982e-09,1.0,7.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5053471851426639,5.227351721259765e-05,0.4999738632413937,0.0008781194395828366,319.1375480091665,3787.21044921875,,,,,,,,,,
37,1,37,0.0,32.0,32.0,0.62841796875,14.0,74.0,0.1891891891891892,3.0,11.0,0.21428571428571427,0.7857142857142857,0.15059381100587818,0.14547334636736697,0.1519903013618358,0.0,0.6,0.0033914772,1.000000000013156,0.6679134217578722,-3.608557300217713e-09,3.0,11.0,0.5714285714285714,3.6666666666666665,1.0,0.7495952284055795,0.5195798191305157,2.0,0.5093078255733207,-4.762702155858278e-05,0.5000238135107793,-0.0018542383195533786,319.6246710140258,3798.07177734375,,,,,,,,,,
38,1,38,0.0,32.0,32.0,0.75146484375,14.0,74.0,0.1891891891891892,3.0,11.0,0.21428571428571427,0.7857142857142857,0.15066094974908797,0.1439837653397377,0.1524820000425471,0.0,0.6,0.0033914772,1.000000000020898,0.6563919110650336,-1.928222050416623e-08,3.0,11.0,0.5714285714285714,3.6666666666666665,1.0,0.7495952284055795,0.5195798191305157,2.0,0.5123914882816037,6.757858045602916e-05,0.499966210709772,-0.0035201591316265136,322.3234069882892,3797.63818359375,,,,,,,,,,
39,1,39,0.0,32.0,32.0,0.7073974609375,40.0,74.0,0.5405405405405406,11.0,29.0,0.275,0.725,0.1493279926092636,0.14282996991569427,0.15179275983785886,0.0,0.6,0.0033914772,1.0000000000965585,0.6586343134161691,-2.6626741334798528e-08,11.0,29.0,0.45,2.6363636363636362,1.0,0.8485481494407153,0.5881687573541909,2.0,0.5124729057143531,0.0003045533850287457,0.4998477233074856,0.000671049282348699,330.0452539988328,3953.8291015625,,,,,,,,,,
40,1,40,0.0,32.0,32.0,0.6373291015625,52.0,74.0,0.7027027027027027,8.0,44.0,0.15384615384615385,0.8461538461538461,0.149795852800113,0.14518713884461434,0.15063380079202185,0.0,0.6,0.0033914772,1.000000000479358,0.6517814618515676,6.619145928684145e-10,8.0,44.0,0.6923076923076923,5.5,1.0,0.6193821658248634,0.42932300193061657,2.0,0.5071827190855103,-0.0003496493614090456,0.5001748246807045,-0.0014981354094691147,346.15845800726674,4088.75537109375,,,,,,,,,,
41,1,41,0.0,32.0,32.0,0.6298828125,38.0,74.0,0.5135135135135135,4.0,34.0,0.10526315789473684,0.8947368421052632,0.15267249185825948,0.1420414971747423,0.15392319711514385,0.0,0.6,0.0033914772,1.0000000000153964,0.6544284479916734,9.584972651245282e-09,4.0,34.0,0.7894736842105263,8.5,1.0,0.4854607318920133,0.33649573758351653,2.0,0.5161500425802895,0.0002586011462027335,0.49987069942689866,0.0051857700884223,335.1480650017038,3965.0009765625,,,,,,,,,,
42,1,42,0.0,32.0,32.0,0.651611328125,50.0,74.0,0.6756756756756757,4.0,46.0,0.08,0.92,0.15285828161041395,0.14467151937288683,0.15357017397889458,0.0,0.6,0.0033914772,0.9999999998996666,0.6552894089736135,3.2202125573967317e-09,4.0,46.0,0.84,11.5,1.0,0.40217916134837295,0.278769351768588,2.0,0.5137237983570384,0.0007248897303419077,0.49963755513482905,-0.001860256684509657,337.64212898677215,4094.9384765625,,,,,,,,,,
43,1,43,0.0,32.0,32.0,0.64752197265625,53.0,74.0,0.7162162162162162,2.0,51.0,0.03773584905660377,0.9622641509433962,0.1521924871670957,0.14554776987089885,0.1524530643159662,0.0,0.6,0.0033914772,0.999999999948201,0.6527423019111692,1.7425568195624732e-08,2.0,51.0,0.9245283018867925,25.5,1.0,0.2318130211706913,0.16068054204154758,2.0,0.5114256033582664,0.00026166018661959764,0.4998691699066902,-0.00011350556339331424,344.46370700607076,4112.25,,,,,,,,,,
44,1,44,0.0,32.0,32.0,0.6473388671875,52.0,74.0,0.7027027027027027,10.0,42.0,0.19230769230769232,0.8076923076923077,0.1489735656156954,0.14497588871065742,0.14992539345022826,0.0,0.6,0.0033914772,0.9999999997857064,0.6571672855458585,-9.392707992657286e-09,10.0,42.0,0.6153846153846154,4.2,1.0,0.7062740603337003,0.48955187362292907,2.0,0.5069522347674164,0.00023193900643260593,0.4998840304967837,0.002682074788590353,344.6049549966119,4102.9833984375,,,,,,,,,,
45,1,45,0.0,32.0,32.0,0.69708251953125,56.0,74.0,0.7567567567567568,16.0,40.0,0.2857142857142857,0.7142857142857143,0.14867993462432,0.14415734383648382,0.1504889709394545,0.0,0.6,0.0033914772,1.0000000008937706,0.6648422049382754,3.7165998447497065e-09,16.0,40.0,0.42857142857142855,2.5,1.0,0.8631205397127306,0.5982695685852575,2.0,0.5086933892705637,0.0001353215649910065,0.4999323392175045,-0.005853521066016232,351.1230130097829,4127.7607421875,,,,,,,,,,
46,1,46,0.0,32.0,32.0,0.6182861328125,56.0,74.0,0.7567567567567568,7.0,49.0,0.125,0.875,0.15053947306160181,0.14505379875105104,0.15132314082025192,0.0,0.6,0.0033914772,1.0000000008390257,0.6409944036027472,-1.361846448454461e-08,7.0,49.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5086674334727196,-0.0010724132378134134,0.5005362066189067,0.000908109634536203,345.45137398527004,4139.5615234375,,,,,,,,,,
47,1,47,0.0,32.0,32.0,0.60003662109375,56.0,74.0,0.7567567567567568,5.0,51.0,0.08928571428571429,0.9107142857142857,0.1544265033291334,0.14383200130571025,0.15546517999809642,0.0,0.6,0.0033914772,0.9999999999852118,0.6457482149491012,5.0384926561433745e-09,5.0,51.0,0.8214285714285714,10.2,1.0,0.43408109115043464,0.3008820844653084,2.0,0.5199774953807651,0.000880046242595459,0.4995599768787023,0.0029639534485635007,341.6588169930037,4139.2431640625,,,,,,,,,,
48,1,48,0.0,32.0,32.0,0.62322998046875,53.0,74.0,0.7162162162162162,14.0,39.0,0.2641509433962264,0.7358490566037735,0.14873741647385647,0.1437012627867106,0.15054526651539596,0.0,0.6,0.0033914772,0.9999999998751169,0.663351372898436,2.432057248259102e-08,14.0,39.0,0.4716981132075472,2.7857142857142856,1.0,0.8329457946822394,0.5773540291432573,2.0,0.5089213940886294,6.572387159450907e-05,0.49996713806420273,0.003179454580457015,346.3974439946469,4106.1884765625,,,,,,,,,,
