step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.685455322265625,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.15015367605168128,0.0,0.15015367605168128,0.0,0.6,0.006455274515261806,1.0000000000098812,0.6507274254425932,-2.2387504014542216e-09,0.0,14.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5020896662599418,0.00040974904550239444,0.4997951254772488,nan,1593.5801790037658,7707.92724609375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.681304931640625,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.15036203906130421,0.0,0.15036203906130421,0.0,0.6,0.006455274515261806,1.0000000000002065,0.6485022231793385,-5.3063277892744874e-09,0.0,21.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5029116402141831,0.00042903658458123763,0.49978548170770937,nan,1099.2298609926365,7813.68896484375,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.679595947265625,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.1497242746484569,0.0,0.1497242746484569,0.0,0.6,0.006455274515261806,0.9999999999070363,0.662013563957879,-8.12551927370921e-10,0.0,12.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5031266200436347,1.4994409866631031e-05,0.4999925027950667,nan,1090.7390600186773,7798.20068359375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.64874267578125,11.0,74.0,0.14864864864864866,1.0,10.0,0.09090909090909091,0.9090909090909091,0.14913182668420844,0.1433168913167814,0.14971332022095113,0.0,0.6,0.006455274515261806,1.0000000000056568,0.6568001267004255,7.423153798045172e-09,1.0,10.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5057122667848445,-0.000217187957504989,0.5001085939787525,-0.0025371976868199114,1089.622444997076,7811.59521484375,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.602264404296875,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.14965861755518997,0.0,0.14965861755518997,0.0,0.6,0.006455274515261806,0.9999999999978479,0.6568737742490031,7.236674292842837e-10,0.0,3.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5020466741291818,0.0011273013660684228,0.4994363493169658,nan,1084.8520800063852,7793.09130859375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6193962097167969,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1494952065064779,0.0,0.1494952065064779,0.0,0.6,0.006455274515261806,1.0,0.666477290278046,3.3362554779625384e-10,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5018927438882941,0.017618242651224136,0.49119087867438793,nan,1081.9424929795787,7776.56005859375,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6897773742675781,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6606326280375587,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1081.8295450008009,7760.78662109375,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.62567138671875,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.1498014966020574,0.0,0.1498014966020574,0.0,0.6,0.006455274515261806,1.0,0.6576669599629135,0.0,0.0,1.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.500661677993142,nan,nan,nan,1081.4842529944144,7756.45068359375,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6270942687988281,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.1500171935358388,0.0,0.1500171935358388,0.0,0.6,0.006455274515261806,0.9999999999866468,0.6535710103625407,-1.7099391231972644e-09,0.0,7.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013797900113349,0.00014452253526542336,0.4999277387323673,nan,1103.9384600007907,7775.34130859375,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.660003662109375,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.15064461510434807,0.0,0.15064461510434807,0.0,0.6,0.006455274515261806,1.0000000000275582,0.6537910324834613,1.582343073198951e-09,0.0,7.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5023663189022535,0.0009818889666348696,0.49950905551668257,nan,1088.7379269988742,7789.31982421875,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.6198959350585938,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.1502923797552065,0.0,0.1502923797552065,0.0,0.6,0.006455274515261806,0.9999999997903514,0.658288069074093,-5.350438952718829e-09,0.0,8.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5019966922197826,-0.000495321408379823,0.5002476607041899,nan,1095.4453829908744,7799.87255859375,,,,,,,,,,
12,1,12,0.0,128.0,128.0,0.6303482055664062,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.1501295166982678,0.0,0.1501295166982678,0.0,0.6,0.006455274515261806,0.9999999999420544,0.6662596706480717,-1.955726231674828e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5028592664065976,0.0003161350905429572,0.4998419324547285,nan,1090.3106489859056,7765.50927734375,,,,,,,,,,
13,1,13,0.0,128.0,128.0,0.636993408203125,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.14991432251460643,0.0,0.14991432251460643,0.0,0.6,0.006455274515261806,0.9999999999809827,0.6697639304641217,1.240287421377939e-10,0.0,3.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.500823342025335,0.0028566946275532246,0.4985716526862234,nan,1089.4399429962505,7752.71630859375,,,,,,,,,,
14,1,14,0.0,128.0,128.0,0.6502685546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6529794698292753,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1100.7017920201179,7754.20068359375,,,,,,,,,,
15,1,15,0.0,128.0,128.0,0.48760223388671875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.659125348169857,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1084.4555420044344,7786.34130859375,,,,,,,,,,
16,1,16,0.0,128.0,128.0,0.5894355773925781,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.657195482101511,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1197.3319809767418,7766.35302734375,,,,,,,,,,
17,1,17,0.0,128.0,128.0,0.5643997192382812,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6588649743649522,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1086.0848389856983,7745.96630859375,,,,,,,,,,
18,1,18,0.0,128.0,128.0,0.5404815673828125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6621242748685181,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1098.784528003307,7766.35302734375,,,,,,,,,,
19,1,19,0.0,128.0,128.0,0.5525093078613281,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6540169454183006,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1088.8037190015893,7756.50927734375,,,,,,,,,,
20,1,20,0.0,128.0,128.0,0.49840545654296875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6670768511586848,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1080.0918680033647,7768.99169921875,,,,,,,,,,
21,1,21,0.0,128.0,128.0,0.542205810546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6642382193371007,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1097.4328170123044,7756.50927734375,,,,,,,,,,
22,1,22,0.0,128.0,128.0,0.5779037475585938,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6623164579152087,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1088.2084330078214,7773.56982421875,,,,,,,,,,
23,1,23,0.0,128.0,128.0,0.5031547546386719,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6547384737935875,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1092.1753470029216,7765.96630859375,,,,,,,,,,
24,1,24,0.0,128.0,128.0,0.5480690002441406,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6578313971148919,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1088.1374070013408,7761.94677734375,,,,,,,,,,
25,1,25,0.0,128.0,128.0,0.5730361938476562,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6637712213396914,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1090.6845949939452,7766.35302734375,,,,,,,,,,
26,1,26,0.0,128.0,128.0,0.4700298309326172,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6641621358906744,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1092.1933639911003,7749.82568359375,,,,,,,,,,
27,1,27,0.0,128.0,128.0,0.5263195037841797,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6653454670311262,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1098.017918993719,7745.96630859375,,,,,,,,,,
28,1,28,0.0,128.0,128.0,0.4332294464111328,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6646724909731664,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1085.7052939827554,7798.03271484375,,,,,,,,,,
29,1,29,0.0,84.0,84.0,0.45643688383556547,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.660252619499132,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,724.531740997918,5923.3486328125,,,,,,,,,,
30,1,30,0.0,128.0,128.0,0.38794803619384766,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6657005265308098,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1094.8475699988194,7754.20068359375,,,,,,,,,,
31,1,31,0.0,128.0,128.0,0.3905649185180664,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6614972875200343,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1097.5120369985234,7749.88818359375,,,,,,,,,,
32,1,32,0.0,128.0,128.0,0.441558837890625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6629048821484033,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1095.2747629780788,7781.87255859375,,,,,,,,,,
33,1,33,0.0,128.0,128.0,0.4416799545288086,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6671132621929575,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1097.087531001307,7781.87255859375,,,,,,,,,,
34,1,34,0.0,128.0,128.0,0.44228267669677734,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6599341015868182,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1090.684828988742,7749.82568359375,,,,,,,,,,
35,1,35,0.0,128.0,128.0,0.4559593200683594,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.660752199503925,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1085.7002419943456,7773.56982421875,,,,,,,,,,
36,1,36,0.0,128.0,128.0,0.3853940963745117,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6643687966760404,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1091.4565410057548,7755.33349609375,,,,,,,,,,
37,1,37,0.0,128.0,128.0,0.33527040481567383,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6646207045319604,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1093.4812019986566,7754.20068359375,,,,,,,,,,
38,1,38,0.0,128.0,128.0,0.4557766914367676,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6631127261289267,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1098.4316609974485,7749.82568359375,,,,,,,,,,
39,1,39,0.0,128.0,128.0,0.3095741271972656,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6636468485966711,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1095.9202160011046,7765.96630859375,,,,,,,,,,
40,1,40,0.0,128.0,128.0,0.4406013488769531,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6665553372725168,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1099.8642820050009,7749.82568359375,,,,,,,,,,
41,1,41,0.0,128.0,128.0,0.35448455810546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6643382465413247,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1158.454347983934,7768.99169921875,,,,,,,,,,
42,1,42,0.0,128.0,128.0,0.35988807678222656,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6611893337856726,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1102.899971010629,7759.59130859375,,,,,,,,,,
43,1,43,0.0,128.0,128.0,0.35570859909057617,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.669296099819902,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1078.6681880126707,7768.99169921875,,,,,,,,,,
44,1,44,0.0,128.0,128.0,0.33254575729370117,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.669056702324247,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1092.5167669774964,7786.34130859375,,,,,,,,,,
45,1,45,0.0,128.0,128.0,0.30141496658325195,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6646771358958662,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1084.383932990022,7757.01318359375,,,,,,,,,,
46,1,46,0.0,128.0,128.0,0.4128141403198242,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.006455274515261806,1.0,0.6593000671028113,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1084.7577480017208,7773.56982421875,,,,,,,,,,
