step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.683258056640625,5.0,74.0,0.06756756756756757,1.0,4.0,0.2,0.8,0.18815016394613365,0.18028948546783402,0.19011533356570853,0.0,0.6,0.008,0.9999999999982832,0.6656005002249976,-9.765923192125766e-10,1.0,4.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5094249860240001,-0.0005424185656011105,0.5002712092828006,0.0019174466180895576,1587.1550159936305,7683.62646484375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.680511474609375,21.0,74.0,0.28378378378378377,2.0,19.0,0.09523809523809523,0.9047619047619048,0.18780108970376283,0.18316680673552455,0.1882889089635774,0.0,0.6,0.008,1.00000000002169,0.6674155277677757,-1.0851501914339454e-08,2.0,19.0,0.8095238095238095,9.5,1.0,0.45371631033304477,0.31449218128141115,2.0,0.5045518310105397,-5.178942462347829e-05,0.5000258947123117,0.004626268547713799,1089.7621970216278,7824.88232421875,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6593780517578125,11.0,74.0,0.14864864864864866,1.0,10.0,0.09090909090909091,0.9090909090909091,0.1879950530080711,0.18262719957820206,0.18853183835105802,0.0,0.6,0.008,1.000000000013921,0.6634709926567905,2.0863435702228144e-09,1.0,10.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5042823518436251,-7.723874296061695e-05,0.5000386193714803,0.0015800787287152556,1076.025641988963,7788.19677734375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.6563949584960938,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.191043609411448,0.0,0.191043609411448,0.0,0.6,0.008,0.999999999985204,0.6634750688673733,-5.934561882830286e-10,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5094496250971946,0.001058173947967589,0.4994709130260162,nan,1084.2493530071806,7745.75732421875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6500015258789062,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.18711963316222852,0.0,0.18711963316222852,0.0,0.6,0.008,0.9999999999984002,0.6752451484479651,-4.15009493737484e-10,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012805782961174,0.006268034689128399,0.4968659826554358,nan,1080.6330459890887,7780.46826171875,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6053504943847656,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.18716395915934642,0.0,0.18716395915934642,0.0,0.6,0.008,0.999999999925319,0.6639886252398589,1.5188588818529282e-09,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5018276287769884,0.011725598014891148,0.4941372009925544,nan,1084.4295890128706,7780.71826171875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6131744384765625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6627365012579379,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1080.574424995575,7732.78271484375,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.5782928466796875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6649696317465087,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1069.1315500007477,7731.54052734375,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.5822677612304688,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6608133484898672,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1081.735629006289,7776.21826171875,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6940155029296875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6591568646346372,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1083.2834980101325,7747.83740234375,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.6041183471679688,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6624712301751359,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1078.5374069819227,7759.70263671875,,,,,,,,,,
12,1,12,0.0,128.0,128.0,0.60650634765625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6617973681952418,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1074.6094869973604,7760.60302734375,,,,,,,,,,
13,1,13,0.0,128.0,128.0,0.6112899780273438,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6670898313845927,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1071.6501320130192,7743.67529296875,,,,,,,,,,
14,1,14,0.0,128.0,128.0,0.5896873474121094,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6612968108565068,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1080.5994230031502,7740.11279296875,,,,,,,,,,
