step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.685455322265625,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.10738607821133514,0.0,0.10738607821133514,0.0,0.6,0.008,0.9999999999975298,0.650727425747984,6.72987201228594e-11,0.0,9.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.502006181813784,0.0012069616932421923,0.4993965191533789,nan,1905.5445530102588,7706.92724609375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.681304931640625,17.0,74.0,0.22972972972972974,0.0,17.0,0.0,1.0,0.10743231708335904,0.0,0.10743231708335904,0.0,0.6,0.008,0.9999999999938035,0.6485022245410647,1.5502645018257524e-09,0.0,17.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032475724344041,0.00026448949911183554,0.4998677552504441,nan,1409.9590359837748,7812.96240234375,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.679168701171875,21.0,74.0,0.28378378378378377,1.0,20.0,0.047619047619047616,0.9523809523809523,0.10710747703108289,0.10451250154710025,0.10723722580528203,0.0,0.6,0.008,1.0000000001073182,0.6618013005147378,4.625186681332773e-09,1.0,20.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5029657281486007,-2.677407468461683e-05,0.5000133870373423,0.001103056125608153,1410.2243650122546,7839.28662109375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.64422607421875,2.0,74.0,0.02702702702702703,1.0,1.0,0.5,0.5,0.1042137410558173,0.10219404760486395,0.10623343450677064,0.0,0.6,0.008,1.000000000009319,0.6574288725935701,2.4632497237512832e-09,1.0,1.0,0.0,1.0,1.0,0.9999999711460994,0.6931471605599454,2.0,0.513669208406186,nan,nan,0.0007959468902920269,1393.335531000048,7776.35302734375,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.59600830078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.661841683404692,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1393.790183996316,7778.05224609375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6110343933105469,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.666023015357111,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1398.6832160153426,7760.68701171875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.66632080078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6622735895658008,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1391.4123140275478,7765.70849609375,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.6095123291015625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6618568962885012,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1394.4124529953115,7747.43115234375,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.62066650390625,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.10710294451749171,0.0,0.10710294451749171,0.0,0.6,0.008,1.0,0.6584921466937832,-2.352061537840649e-09,0.0,1.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.500186258918372,nan,nan,nan,1402.907215000596,7761.81201171875,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6553421020507812,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.008,1.0,0.6608860136617164,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1393.7740310211666,7774.84521484375,,,,,,,,,,
