step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.68194580078125,16.0,74.0,0.21621621621621623,1.0,15.0,0.0625,0.9375,0.14964031918419884,0.14247232972130988,0.15011818514839143,0.0,0.6,0.0018937347867548518,1.0000000000597196,0.6601037778442671,-4.556067738171833e-09,1.0,15.0,0.875,15.0,1.0,0.3372900377631142,0.2337916387064601,2.0,0.5061529617089006,-0.00012071652314330958,0.5000603582615717,0.0021024517667244795,858.8040059839841,3659.89013671875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.720947265625,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.1500762344356038,0.0,0.1500762344356038,0.0,0.6,0.0018937347867548518,1.0000000007077599,0.6520421782026578,2.8082408849353334e-09,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5072985558464178,3.530703719325696e-05,0.4999823464814034,nan,412.54030901473016,3963.84375,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.679931640625,32.0,74.0,0.43243243243243246,1.0,31.0,0.03125,0.96875,0.14964635015603814,0.1408402166508565,0.14993041897878595,0.0,0.6,0.0018937347867548518,1.0000000030206428,0.6655755279040402,-5.736219978409307e-09,1.0,31.0,0.9375,31.0,1.0,0.20062229545881616,0.13906077845474274,2.0,0.5056830304821266,0.0002634997421997891,0.4998682501289001,0.0023762344692674535,402.606146002654,3909.81689453125,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.7315673828125,25.0,74.0,0.33783783783783783,2.0,23.0,0.08,0.92,0.15093976310046853,0.14178678704256176,0.15173567406202565,0.0,0.6,0.0018937347867548518,0.9999999999310297,0.6588369808003607,-2.694183059472674e-08,2.0,23.0,0.84,11.5,1.0,0.40217916134837295,0.278769351768588,2.0,0.5121027394485405,4.02909716871425e-05,0.49997985451415644,-0.0013660546968195912,403.31586298998445,3847.70849609375,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.68316650390625,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.1496971086657459,0.0,0.1496971086657459,0.0,0.6,0.0018937347867548518,1.0000000025925353,0.6698113451748718,7.205843495960572e-09,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5049380681548099,0.00021019629776594938,0.499894901851117,nan,405.84985198802315,3957.912109375,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.68072509765625,31.0,74.0,0.4189189189189189,0.0,31.0,0.0,1.0,0.14949067662136947,0.0,0.14949067662136947,0.0,0.6,0.0018937347867548518,1.0000000006523133,0.6738604553270455,5.151544812763664e-09,0.0,31.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5055953894227796,0.0005160972706484373,0.4997419513646758,nan,399.8210419958923,3908.12353515625,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.71435546875,34.0,74.0,0.4594594594594595,1.0,33.0,0.029411764705882353,0.9705882352941176,0.15011521749762122,0.14115533954578233,0.15038672895070726,0.0,0.6,0.0018937347867548518,0.9999999997010379,0.6695514026919785,-3.308201779357589e-09,1.0,33.0,0.9411764705882353,33.0,1.0,0.19143322596029508,0.13269140083987346,2.0,0.5069295749748071,0.00022406411140879907,0.4998879679442956,0.005372926650739786,407.55434599122964,3919.3740234375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6966552734375,31.0,74.0,0.4189189189189189,0.0,31.0,0.0,1.0,0.14974484024166515,0.0,0.14974484024166515,0.0,0.6,0.0018937347867548518,0.999999999310943,0.6728248972119718,-1.6371421901510735e-08,0.0,31.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5054157329524253,0.0001695381541226414,0.49991523092293866,nan,402.0963689836208,3894.06689453125,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.68719482421875,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.14996461985103737,0.0,0.14996461985103737,0.0,0.6,0.0018937347867548518,0.9999999978765657,0.6660370707405151,2.7612127312233635e-09,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5067657650917741,2.719362352141424e-05,0.4999864031882393,nan,407.2283109999262,3980.380859375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.6817626953125,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.15000849187014234,0.0,0.15000849187014234,0.0,0.6,0.0018937347867548518,1.0000000007560441,0.6806632454060029,-9.647018677794311e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5064773470854113,0.00020254424759181042,0.4998987278762041,nan,404.79473798768595,4007.22607421875,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.7098388671875,42.0,74.0,0.5675675675675675,2.0,40.0,0.047619047619047616,0.9523809523809523,0.14949138777374116,0.14130244060673838,0.14990083513209132,0.0,0.6,0.0018937347867548518,0.9999999997115615,0.6489041619579572,1.4544231975262165e-08,2.0,40.0,0.9047619047619048,20.0,1.0,0.27619539879403976,0.19144406195771838,2.0,0.5083705199936402,0.001129973166257514,0.49943501341687124,-0.0023539827300642037,408.30317200743593,3992.880859375,,,,,,,,,,
12,1,12,0.0,32.0,32.0,0.6912841796875,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.14974940534654888,0.0,0.14974940534654888,0.0,0.6,0.0018937347867548518,1.0000000004041054,0.6726219390530354,-2.0046556186829122e-08,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5057857817493174,-0.00011270029445816028,0.500056350147229,nan,405.7398610166274,3979.380859375,,,,,,,,,,
13,1,13,0.0,32.0,32.0,0.69677734375,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.14970484115818355,0.0,0.14970484115818355,0.0,0.6,0.0018937347867548518,0.9999999994323251,0.6765682512610731,-2.4835705312387214e-08,0.0,36.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.505517595683163,0.0003967824273696933,0.49980160878631513,nan,403.27309601707384,3930.06787109375,,,,,,,,,,
14,1,14,0.0,32.0,32.0,0.6905517578125,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.15006077516044083,0.0,0.15006077516044083,0.0,0.6,0.0018937347867548518,1.0000000006568122,0.6631767098713833,2.0015146065284407e-08,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5062579160156273,-1.0849234010828168e-05,0.5000054246170054,nan,408.997107995674,3979.380859375,,,,,,,,,,
15,1,15,0.0,32.0,32.0,0.687255859375,31.0,74.0,0.4189189189189189,1.0,30.0,0.03225806451612903,0.967741935483871,0.14968496927908476,0.1419133963806186,0.14994402170903362,0.0,0.6,0.0018937347867548518,1.000000000566512,0.6596429917124421,-1.4810854458233852e-08,1.0,30.0,0.9354838709677419,30.0,1.0,0.20559247933118446,0.14250584739273933,2.0,0.5067440384289741,0.00029789292695740896,0.4998510535365213,0.0026592425400982556,403.638151998166,3911.87939453125,,,,,,,,,,
16,1,16,0.0,32.0,32.0,0.736083984375,28.0,74.0,0.3783783783783784,1.0,27.0,0.03571428571428571,0.9642857142857143,0.15170525809801833,0.1408626062533945,0.15210683779596737,0.0,0.6,0.0018937347867548518,0.99999999998198,0.6520424842723945,4.059063072990824e-09,1.0,27.0,0.9285714285714286,27.0,1.0,0.2222848018317892,0.15407608367103084,2.0,0.5145030551627116,3.710672277014979e-05,0.49998144663861493,0.0035220134808606443,399.7463860141579,3860.89013671875,,,,,,,,,,
17,1,17,0.0,32.0,32.0,0.6900634765625,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.14998095023728525,0.0,0.14998095023728525,0.0,0.6,0.0018937347867548518,0.9999999991166841,0.6715529553295598,7.58572076964825e-09,0.0,36.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5063317467792403,6.85735403435658e-05,0.4999657132298282,nan,402.5314110040199,3943.56787109375,,,,,,,,,,
18,1,18,0.0,32.0,32.0,0.7005615234375,35.0,74.0,0.47297297297297297,1.0,34.0,0.02857142857142857,0.9714285714285714,0.1500875015099302,0.14107309784526822,0.15035263102947907,0.0,0.6,0.0018937347867548518,0.9999999998970045,0.6710051649727464,-2.2749999285767146e-09,1.0,34.0,0.9428571428571428,34.0,1.0,0.1871762280193099,0.12974067471943007,2.0,0.5081571531677096,0.00035413046081045183,0.4998229347695948,0.00012761800787416939,406.1086759902537,3936.6298828125,,,,,,,,,,
