step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68927001953125,385.29186602681875,3308.67431640625,,,,,
2,1,2,0.0,32.0,32.0,0.7047119140625,69.99561400152743,4304.3583984375,,,,,
3,1,3,0.0,32.0,32.0,0.6861572265625,74.51838502311148,4303.3583984375,,,,,
4,1,4,0.0,32.0,32.0,0.7130126953125,77.03307399060577,4303.3583984375,,,,,
5,1,5,0.0,32.0,32.0,0.73236083984375,76.98607302154414,4303.3583984375,,,,,
6,1,6,0.0,32.0,32.0,0.72308349609375,77.47255699359812,4303.3583984375,,,,,
7,1,7,0.0,32.0,32.0,0.6778564453125,76.94069898570888,4303.3583984375,,,,,
8,1,8,0.0,32.0,32.0,0.7098388671875,75.18679101485759,4303.3583984375,,,,,
9,1,9,0.0,32.0,32.0,0.706787109375,76.6575759917032,4303.3583984375,,,,,
10,1,10,0.0,32.0,32.0,0.739501953125,98.39094799826853,4303.3583984375,,,,,
11,1,11,0.0,32.0,32.0,0.646240234375,111.42712502623908,4303.3583984375,,,,,
12,1,12,0.0,32.0,32.0,0.681884765625,110.44672099524178,4303.3583984375,,,,,
13,1,13,0.0,32.0,32.0,0.7080078125,88.0659639951773,4303.3583984375,,,,,
14,1,14,0.0,32.0,32.0,0.718017578125,81.11140198889188,4303.3583984375,,,,,
15,1,15,0.0,32.0,32.0,0.7012939453125,78.38351998361759,4303.3583984375,,,,,
16,1,16,0.0,32.0,32.0,0.6927490234375,77.85372500075027,4303.3583984375,,,,,
17,1,17,0.0,32.0,32.0,0.6632080078125,77.00526202097535,4303.3583984375,,,,,
18,1,18,0.0,32.0,32.0,0.7056884765625,76.8015670182649,4303.3583984375,,,,,
19,1,19,0.0,32.0,32.0,0.6971435546875,76.44810402416624,4303.3583984375,,,,,
20,1,20,0.0,32.0,32.0,0.6943359375,77.90170700172894,4303.3583984375,,,,,
21,1,21,0.0,32.0,32.0,0.702880859375,84.97068099677563,4303.3583984375,,,,,
22,1,22,0.0,32.0,32.0,0.683349609375,93.41082500759512,4303.3583984375,,,,,
23,1,23,0.0,32.0,32.0,0.697998046875,101.9341759965755,4303.3583984375,,,,,
24,1,24,0.0,32.0,32.0,0.7099609375,94.2011849838309,4303.3583984375,,,,,
25,1,25,0.0,32.0,32.0,0.676513671875,87.39449601853266,4303.3583984375,,,,,
26,1,26,0.0,32.0,32.0,0.6866455078125,82.10052200593054,4303.3583984375,,,,,
27,1,27,0.0,32.0,32.0,0.6939697265625,77.89040898205712,4012.59130859375,,,,,
28,1,28,0.0,32.0,32.0,0.6881103515625,78.62755199312232,4303.3583984375,,,,,
29,1,29,0.0,32.0,32.0,0.688720703125,76.93355600349605,4303.3583984375,,,,,
30,1,30,0.0,32.0,32.0,0.6800537109375,78.1068739888724,4303.3583984375,,,,,
31,1,31,0.0,32.0,32.0,0.690673828125,79.1338199924212,4303.3583984375,,,,,
32,1,32,0.0,32.0,32.0,0.70208740234375,82.68662498448975,4303.3583984375,,,,,
33,1,33,0.0,32.0,32.0,0.66357421875,86.61074299016036,4303.3583984375,,,,,
34,1,34,0.0,32.0,32.0,0.684326171875,93.29100701143034,4303.3583984375,,,,,
35,1,35,0.0,32.0,32.0,0.6890869140625,93.25940799317323,4303.3583984375,,,,,
