step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.69171142578125,994.517341023311,11349.14404296875,,,,,
2,1,2,0.0,128.0,128.0,0.689361572265625,616.9556819368154,12487.6416015625,,,,,
3,1,3,0.0,128.0,128.0,0.691192626953125,619.798235129565,12487.6416015625,,,,,
4,1,4,0.0,128.0,128.0,0.697540283203125,636.0623978544027,12487.6416015625,,,,,
5,1,5,0.0,128.0,128.0,0.7118377685546875,618.9840270671993,12487.6416015625,,,,,
6,1,6,0.0,128.0,128.0,0.696990966796875,633.280464913696,12487.6416015625,,,,,
7,1,7,0.0,128.0,128.0,0.7103271484375,623.5607359558344,12487.6416015625,,,,,
8,1,8,0.0,128.0,128.0,0.689483642578125,614.3682701513171,12487.6416015625,,,,,
9,1,9,0.0,128.0,128.0,0.697601318359375,615.4487880412489,12487.6416015625,,,,,
10,1,10,0.0,128.0,128.0,0.685516357421875,629.2393619660288,12487.6416015625,,,,,
11,1,11,0.0,128.0,128.0,0.682403564453125,624.4872589595616,12487.6416015625,,,,,
12,1,12,0.0,128.0,128.0,0.696319580078125,636.5314819850028,12487.6416015625,,,,,
13,1,13,0.0,128.0,128.0,0.692474365234375,644.3359558470547,12487.6416015625,,,,,
14,1,14,0.0,128.0,128.0,0.700042724609375,627.4098278954625,12487.6416015625,,,,,
15,1,15,0.0,128.0,128.0,0.6939697265625,628.5613819491118,12487.6416015625,,,,,
16,1,16,0.0,128.0,128.0,0.68670654296875,620.1569528784603,12487.6416015625,,,,,
17,1,17,0.0,128.0,128.0,0.701934814453125,620.9974708035588,12487.6416015625,,,,,
18,1,18,0.0,128.0,128.0,0.694183349609375,631.0703821945935,12487.6416015625,,,,,
19,1,19,0.0,128.0,128.0,0.69793701171875,645.9872021805495,12487.6416015625,,,,,
20,1,20,0.0,58.0,58.0,0.6870285272598267,289.13494711741805,6736.36767578125,,,,,
20,1,,1.0,128.0,128.0,,289.13494711741805,6736.36767578125,0.4729241877256318,0.6975135008494059,0.4983935742971888,0.693670654296875,0.025469386571557007
