step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.691650390625,934.6794341690838,11050.0498046875,,,,,
2,1,2,0.0,128.0,128.0,0.69354248046875,569.7947090957314,12058.85888671875,,,,,
3,1,3,0.0,128.0,128.0,0.697296142578125,603.8185860961676,12058.85888671875,,,,,
4,1,4,0.0,128.0,128.0,0.684906005859375,592.4037680961192,12058.85888671875,,,,,
5,1,5,0.0,128.0,128.0,0.6888885498046875,612.7113569527864,12058.85888671875,,,,,
6,1,6,0.0,128.0,128.0,0.7304153442382812,590.9729439299554,12058.85888671875,,,,,
7,1,7,0.0,128.0,128.0,0.702545166015625,595.4741248860955,12058.85888671875,,,,,
8,1,8,0.0,128.0,128.0,0.7195587158203125,590.6828090082854,12058.85888671875,,,,,
9,1,9,0.0,128.0,128.0,0.698822021484375,586.1883340403438,12058.85888671875,,,,,
10,1,10,0.0,128.0,128.0,0.6999359130859375,587.1353400871158,12058.85888671875,,,,,
11,1,11,0.0,128.0,128.0,0.688690185546875,592.5436650868505,12058.85888671875,,,,,
12,1,12,0.0,128.0,128.0,0.694915771484375,591.1017970647663,12058.85888671875,,,,,
13,1,13,0.0,128.0,128.0,0.691070556640625,593.8836201094091,12058.85888671875,,,,,
14,1,14,0.0,128.0,128.0,0.696197509765625,584.9991689901799,12058.85888671875,,,,,
15,1,15,0.0,128.0,128.0,0.69378662109375,593.0195699911565,12058.85888671875,,,,,
16,1,16,0.0,128.0,128.0,0.68927001953125,589.9621981661767,12058.85888671875,,,,,
17,1,17,0.0,128.0,128.0,0.695648193359375,592.8711059968919,12058.85888671875,,,,,
18,1,18,0.0,128.0,128.0,0.6907806396484375,594.3721861112863,12058.85888671875,,,,,
19,1,19,0.0,128.0,128.0,0.7022247314453125,591.5234319400042,12058.85888671875,,,,,
20,1,20,0.0,58.0,58.0,0.7002289891242981,274.9412830453366,6393.0224609375,,,,,
20,1,,1.0,128.0,128.0,,274.9412830453366,6393.0224609375,0.4729241877256318,0.6947177251180013,0.4983935742971888,0.6924674063920975,0.025469386571557007
