step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.69207763671875,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14997732448283868,0.0,0.14997732448283868,0.0,0.6,0.0033914772,1.0000000011319112,0.6704123329335254,-4.961156244147388e-10,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011028990279042,1.1283756741772102e-05,0.4999943581216291,nan,3520.608898019418,7684.92333984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.68865966796875,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.1499295990049187,0.0,0.1499295990049187,0.0,0.6,0.0033914772,0.9999999982408138,0.672310741870072,9.71951576948099e-10,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015935391401389,-0.00013786516791082802,0.5000689325839555,nan,2834.1494610067457,8006.5556640625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.69012451171875,27.0,74.0,0.36486486486486486,0.0,27.0,0.0,1.0,0.15004568799025458,0.0,0.15004568799025458,0.0,0.6,0.0033914772,0.9999999992830517,0.6646900010984105,9.31509621293245e-09,0.0,27.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5020305925623547,0.00046234845594277877,0.49976882577202864,nan,2832.746704109013,7897.83349609375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.694793701171875,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.1501138799590965,0.0,0.1501138799590965,0.0,0.6,0.0033914772,0.9999999994914053,0.6639090767678615,-1.704535006431694e-09,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015154888583364,-0.0002160605368648134,0.5001080302684324,nan,2899.6990870218724,8011.4873046875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.70947265625,42.0,74.0,0.5675675675675675,1.0,41.0,0.023809523809523808,0.9761904761904762,0.15012140530751597,0.14647728802515989,0.15021028621684174,0.0,0.6,0.0033914772,0.9999999999531609,0.6477234570379488,7.87610180021966e-09,1.0,41.0,0.9523809523809523,41.0,1.0,0.16232615132149514,0.11251591411964139,2.0,0.503321493434656,5.213472293252195e-05,0.49997393263853374,0.01410849925066445,2862.125972053036,7997.486328125,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.7080230712890625,34.0,74.0,0.4594594594594595,2.0,32.0,0.058823529411764705,0.9411764705882353,0.15015258092980777,0.1466909474405625,0.1503689330228856,0.0,0.6,0.0033914772,1.0000000000323412,0.6536012623065569,-5.6777938515844215e-09,2.0,32.0,0.8823529411764706,16.0,1.0,0.3227569300434987,0.22371805606583461,2.0,0.5042603359382168,0.00036493098762029974,0.4998175345061899,-0.004696119890907009,2770.4386631958187,7924.83447265625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.70391845703125,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.1498932956026546,0.0,0.1498932956026546,0.0,0.6,0.0033914772,1.0000000000696412,0.6541987557515595,-1.3561515880576393e-09,0.0,42.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5021346541351752,0.00019348040354922724,0.49990325979822536,nan,2812.3695109970868,8006.486328125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.698760986328125,25.0,74.0,0.33783783783783783,0.0,25.0,0.0,1.0,0.1499563776770881,0.0,0.1499563776770881,0.0,0.6,0.0033914772,0.9999999997450575,0.6675493848273316,1.3730827997549364e-08,0.0,25.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012683700333528,0.0003185168228106528,0.49984074158859465,nan,2743.1552219204605,7875.33203125,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.695526123046875,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.1500730960802261,0.0,0.1500730960802261,0.0,0.6,0.0033914772,1.000000000498814,0.6675605108999324,-1.84618789812853e-09,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015280546924676,0.0002729076506930808,0.49986354617465345,nan,2967.125356895849,8010.9873046875,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.68878173828125,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.14993119062669272,0.0,0.14993119062669272,0.0,0.6,0.0033914772,0.9999999999470391,0.67049071009808,3.4580454666175757e-09,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017542299397346,0.00034038136111016516,0.49982980931944493,nan,2838.593248045072,8010.9873046875,,,,,,,,,,
