step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68359375,366.23678301111795,3456.6435546875,,,,,
2,1,2,0.0,32.0,32.0,0.6947021484375,77.55376800196245,4584.76611328125,,,,,
3,1,3,0.0,32.0,32.0,0.69921875,83.36119100567885,4584.76611328125,,,,,
4,1,4,0.0,32.0,32.0,0.6983642578125,83.50258399150334,4584.76611328125,,,,,
5,1,5,0.0,32.0,32.0,0.6966552734375,85.04266099771485,4584.76611328125,,,,,
6,1,6,0.0,32.0,32.0,0.6929931640625,85.80912000616081,4584.76611328125,,,,,
7,1,7,0.0,32.0,32.0,0.6995849609375,83.4311539947521,4584.76611328125,,,,,
8,1,8,0.0,32.0,32.0,0.6815185546875,84.11624500877224,4584.76611328125,,,,,
9,1,9,0.0,32.0,32.0,0.6783447265625,93.61527598230168,4584.76611328125,,,,,
10,1,10,0.0,32.0,32.0,0.6925048828125,123.92724299570546,4584.76611328125,,,,,
11,1,11,0.0,32.0,32.0,0.68359375,124.4741510017775,4584.76611328125,,,,,
12,1,12,0.0,32.0,32.0,0.70068359375,94.94111200910993,4584.76611328125,,,,,
13,1,13,0.0,32.0,32.0,0.6983642578125,87.36161701381207,4584.76611328125,,,,,
14,1,14,0.0,32.0,32.0,0.7108154296875,85.7252829882782,4584.76611328125,,,,,
15,1,15,0.0,32.0,32.0,0.70599365234375,85.7542919984553,4584.76611328125,,,,,
16,1,16,0.0,32.0,32.0,0.68408203125,86.2096130149439,4584.76611328125,,,,,
17,1,17,0.0,32.0,32.0,0.717041015625,85.88799799326807,4584.76611328125,,,,,
18,1,18,0.0,32.0,32.0,0.6943359375,84.11117902141996,4584.76611328125,,,,,
19,1,19,0.0,32.0,32.0,0.7188720703125,87.09370001452044,4584.76611328125,,,,,
20,1,20,0.0,32.0,32.0,0.6966552734375,109.57169299945235,4584.76611328125,,,,,
21,1,21,0.0,32.0,32.0,0.7001953125,121.72783800633624,4584.76611328125,,,,,
22,1,22,0.0,32.0,32.0,0.712890625,97.91076500550844,4584.76611328125,,,,,
23,1,23,0.0,32.0,32.0,0.7032470703125,93.24705900507979,4584.76611328125,,,,,
24,1,24,0.0,32.0,32.0,0.699951171875,89.73107900237665,4584.76611328125,,,,,
25,1,25,0.0,32.0,32.0,0.6910400390625,86.92787998006679,4584.76611328125,,,,,
26,1,26,0.0,32.0,32.0,0.7027587890625,86.36066899634898,4584.76611328125,,,,,
27,1,27,0.0,32.0,32.0,0.700927734375,86.00255899364129,4584.76611328125,,,,,
28,1,28,0.0,32.0,32.0,0.699951171875,86.20775601593778,4584.76611328125,,,,,
29,1,29,0.0,32.0,32.0,0.6851806640625,88.31461099907756,4584.76611328125,,,,,
30,1,30,0.0,32.0,32.0,0.6741943359375,93.16225198563188,4584.76611328125,,,,,
31,1,31,0.0,32.0,32.0,0.6907958984375,117.17441398650408,4584.76611328125,,,,,
32,1,32,0.0,32.0,32.0,0.6937255859375,101.91333800321445,4584.76611328125,,,,,
33,1,33,0.0,32.0,32.0,0.714111328125,95.8515609963797,4584.76611328125,,,,,
34,1,34,0.0,32.0,32.0,0.681884765625,91.77108301082626,4584.76611328125,,,,,
35,1,35,0.0,32.0,32.0,0.69677734375,88.66219999617897,4584.76611328125,,,,,
36,1,36,0.0,32.0,32.0,0.6832275390625,87.69852799014188,4584.76611328125,,,,,
37,1,37,0.0,32.0,32.0,0.6964111328125,86.18929699878208,4584.76611328125,,,,,
38,1,38,0.0,32.0,32.0,0.7001953125,87.8636380075477,4584.76611328125,,,,,
39,1,39,0.0,32.0,32.0,0.6986083984375,86.57341901562177,4584.76611328125,,,,,
40,1,40,0.0,32.0,32.0,0.6842041015625,91.16769398679025,4584.76611328125,,,,,
41,1,41,0.0,32.0,32.0,0.701416015625,100.50277199479751,4526.42626953125,,,,,
42,1,42,0.0,32.0,32.0,0.6796875,102.84256702288985,4584.76611328125,,,,,
43,1,43,0.0,32.0,32.0,0.6934814453125,98.65620901109651,4584.76611328125,,,,,
44,1,44,0.0,32.0,32.0,0.6988525390625,94.65433898731135,4584.76611328125,,,,,
45,1,45,0.0,32.0,32.0,0.6907958984375,92.28569199331105,4584.76611328125,,,,,
46,1,46,0.0,32.0,32.0,0.6988525390625,88.50758700282313,4584.76611328125,,,,,
47,1,47,0.0,32.0,32.0,0.6826171875,88.5461230063811,4584.76611328125,,,,,
48,1,48,0.0,32.0,32.0,0.6861572265625,87.77420298429206,4584.76611328125,,,,,
49,1,49,0.0,32.0,32.0,0.6937255859375,88.7195130053442,4584.76611328125,,,,,
50,1,50,0.0,32.0,32.0,0.685546875,89.19840099406429,4584.76611328125,,,,,
51,1,51,0.0,32.0,32.0,0.703125,97.1699120127596,4584.76611328125,,,,,
52,1,52,0.0,32.0,32.0,0.69677734375,100.86183701059781,4565.23486328125,,,,,
53,1,53,0.0,32.0,32.0,0.68408203125,99.26522400928661,4584.76611328125,,,,,
54,1,54,0.0,32.0,32.0,0.716064453125,96.9824880012311,4584.76611328125,,,,,
55,1,55,0.0,32.0,32.0,0.70263671875,93.98795999004506,4584.76611328125,,,,,
56,1,56,0.0,32.0,32.0,0.6751708984375,90.5386540107429,4584.76611328125,,,,,
57,1,57,0.0,32.0,32.0,0.69091796875,91.6802319989074,4584.76611328125,,,,,
58,1,58,0.0,32.0,32.0,0.6702880859375,88.96632201503962,4584.76611328125,,,,,
59,1,59,0.0,32.0,32.0,0.6959228515625,88.38319301139563,4584.76611328125,,,,,
60,1,60,0.0,32.0,32.0,0.70068359375,89.26643099403009,4584.76611328125,,,,,
61,1,61,0.0,32.0,32.0,0.6873779296875,90.87604400701821,4584.76611328125,,,,,
62,1,62,0.0,32.0,32.0,0.687744140625,93.23335799854249,4584.76611328125,,,,,
63,1,63,0.0,32.0,32.0,0.6953125,98.72866401565261,4584.76611328125,,,,,
64,1,64,0.0,32.0,32.0,0.6904296875,97.63813400059007,4584.76611328125,,,,,
65,1,65,0.0,32.0,32.0,0.69384765625,94.303537014639,4584.76611328125,,,,,
66,1,66,0.0,32.0,32.0,0.7047119140625,94.08729200367816,4584.76611328125,,,,,
67,1,67,0.0,32.0,32.0,0.6961669921875,90.67107998998836,4584.76611328125,,,,,
68,1,68,0.0,32.0,32.0,0.68310546875,91.32329002022743,4584.76611328125,,,,,
69,1,69,0.0,32.0,32.0,0.69970703125,88.09499701601453,4584.76611328125,,,,,
70,1,70,0.0,32.0,32.0,0.705322265625,91.95415300200693,4584.76611328125,,,,,
71,1,71,0.0,32.0,32.0,0.6939697265625,87.92287699179724,4584.76611328125,,,,,
72,1,72,0.0,32.0,32.0,0.685302734375,92.18616201542318,4584.76611328125,,,,,
73,1,73,0.0,32.0,32.0,0.69921875,94.37698300462216,4584.76611328125,,,,,
74,1,74,0.0,32.0,32.0,0.68505859375,95.92152899131179,4584.76611328125,,,,,
75,1,75,0.0,32.0,32.0,0.6878662109375,96.95760000613518,4584.76611328125,,,,,
76,1,76,0.0,32.0,32.0,0.697998046875,95.41796799749136,4584.76611328125,,,,,
77,1,77,0.0,32.0,32.0,0.702880859375,91.63647302193567,4584.76611328125,,,,,
78,1,78,0.0,26.0,26.0,0.6706730723381042,81.83911899686791,4115.55517578125,,,,,
79,1,79,0.0,32.0,32.0,0.685302734375,82.03444897662848,4584.76611328125,,,,,
80,1,80,0.0,32.0,32.0,0.706298828125,91.8949960032478,4584.76611328125,,,,,
81,1,81,0.0,32.0,32.0,0.69921875,87.24676701240242,4584.76611328125,,,,,
82,1,82,0.0,32.0,32.0,0.69140625,91.62278898293152,4584.76611328125,,,,,
83,1,83,0.0,32.0,32.0,0.685546875,92.54951702314429,4584.76611328125,,,,,
84,1,84,0.0,32.0,32.0,0.699951171875,95.46888200566173,4584.76611328125,,,,,
