step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6959228515625,356.9230699795298,3456.6435546875,,,,,
2,1,2,0.0,32.0,32.0,0.694091796875,74.15925801615231,4586.26611328125,,,,,
3,1,3,0.0,32.0,32.0,0.7001953125,83.26070400653407,4587.26611328125,,,,,
4,1,4,0.0,32.0,32.0,0.688232421875,83.82376201916486,4587.26611328125,,,,,
5,1,5,0.0,32.0,32.0,0.6903076171875,84.37690199934877,4587.26611328125,,,,,
6,1,6,0.0,32.0,32.0,0.697998046875,85.17745800781995,4587.26611328125,,,,,
7,1,7,0.0,32.0,32.0,0.709228515625,83.96103500854224,4587.26611328125,,,,,
8,1,8,0.0,32.0,32.0,0.677978515625,81.75658600521274,4269.19970703125,,,,,
9,1,9,0.0,32.0,32.0,0.6829833984375,94.98837700812146,4587.26611328125,,,,,
10,1,10,0.0,32.0,32.0,0.7052001953125,123.2101000205148,4587.26611328125,,,,,
11,1,11,0.0,32.0,32.0,0.7149658203125,124.42413700046018,4587.26611328125,,,,,
12,1,12,0.0,32.0,32.0,0.7039794921875,93.303610017756,4587.26611328125,,,,,
13,1,13,0.0,32.0,32.0,0.689208984375,87.99195301253349,4568.93017578125,,,,,
14,1,14,0.0,32.0,32.0,0.699951171875,84.15901998523623,4587.26611328125,,,,,
15,1,15,0.0,32.0,32.0,0.6883544921875,87.22672300064005,4587.26611328125,,,,,
16,1,16,0.0,32.0,32.0,0.689208984375,85.29155098949559,4587.26611328125,,,,,
17,1,17,0.0,32.0,32.0,0.700927734375,85.05883099860512,4587.26611328125,,,,,
18,1,18,0.0,32.0,32.0,0.6826171875,85.602100007236,4587.26611328125,,,,,
19,1,19,0.0,32.0,32.0,0.69921875,91.65500098606572,4587.26611328125,,,,,
20,1,20,0.0,32.0,32.0,0.686279296875,111.41990299802274,4587.26611328125,,,,,
21,1,21,0.0,32.0,32.0,0.693115234375,112.67473897896707,4587.26611328125,,,,,
22,1,22,0.0,32.0,32.0,0.688232421875,97.96273001120426,4587.26611328125,,,,,
23,1,23,0.0,32.0,32.0,0.69677734375,91.4748859941028,4587.26611328125,,,,,
24,1,24,0.0,32.0,32.0,0.6751708984375,88.6836699792184,4587.26611328125,,,,,
25,1,25,0.0,32.0,32.0,0.6773681640625,87.03622699249536,4587.26611328125,,,,,
26,1,26,0.0,32.0,32.0,0.695556640625,86.47456599283032,4587.26611328125,,,,,
27,1,27,0.0,32.0,32.0,0.695556640625,86.0996560077183,4587.26611328125,,,,,
28,1,28,0.0,32.0,32.0,0.701904296875,85.04697601892985,4587.26611328125,,,,,
29,1,29,0.0,32.0,32.0,0.6793212890625,89.34787701582536,4587.26611328125,,,,,
30,1,30,0.0,32.0,32.0,0.69757080078125,102.312967996113,4587.26611328125,,,,,
31,1,31,0.0,32.0,32.0,0.706298828125,103.03253500023857,4587.26611328125,,,,,
32,1,32,0.0,32.0,32.0,0.67987060546875,102.46870899572968,4587.26611328125,,,,,
33,1,33,0.0,32.0,32.0,0.703369140625,94.98051198897883,4587.26611328125,,,,,
34,1,34,0.0,32.0,32.0,0.7239990234375,91.75808398867957,4587.26611328125,,,,,
35,1,35,0.0,32.0,32.0,0.701171875,90.23291899939068,4587.26611328125,,,,,
36,1,36,0.0,32.0,32.0,0.70166015625,87.08574599586427,4587.26611328125,,,,,
37,1,37,0.0,32.0,32.0,0.6968994140625,86.74091298598796,4587.26611328125,,,,,
38,1,38,0.0,32.0,32.0,0.677490234375,86.39737800695002,4587.26611328125,,,,,
39,1,39,0.0,32.0,32.0,0.7022705078125,87.55108001059853,4587.26611328125,,,,,
40,1,40,0.0,32.0,32.0,0.694091796875,93.09853700688109,4587.26611328125,,,,,
41,1,41,0.0,32.0,32.0,0.70294189453125,98.48914900794625,4587.26611328125,,,,,
42,1,42,0.0,32.0,32.0,0.6943359375,98.8252839888446,4587.26611328125,,,,,
43,1,43,0.0,32.0,32.0,0.749755859375,98.45948600559495,4587.26611328125,,,,,
44,1,44,0.0,32.0,32.0,0.6868896484375,95.8935399830807,4587.26611328125,,,,,
45,1,45,0.0,32.0,32.0,0.69390869140625,92.96488200197928,4587.26611328125,,,,,
46,1,46,0.0,32.0,32.0,0.7149658203125,87.43342000525445,4587.26611328125,,,,,
47,1,47,0.0,32.0,32.0,0.69873046875,88.40745300403796,4587.26611328125,,,,,
48,1,48,0.0,32.0,32.0,0.6785888671875,88.25721600442193,4587.26611328125,,,,,
49,1,49,0.0,32.0,32.0,0.698486328125,88.72183301718906,4587.26611328125,,,,,
50,1,50,0.0,32.0,32.0,0.6802978515625,89.83256202191114,4587.26611328125,,,,,
51,1,51,0.0,32.0,32.0,0.70458984375,95.66610600450076,4587.26611328125,,,,,
52,1,52,0.0,32.0,32.0,0.69671630859375,95.55988301872276,4587.26611328125,,,,,
53,1,53,0.0,32.0,32.0,0.694091796875,97.47045699623413,4587.26611328125,,,,,
54,1,54,0.0,32.0,32.0,0.6895751953125,96.99384600389749,4587.26611328125,,,,,
55,1,55,0.0,32.0,32.0,0.6900634765625,94.67469900846481,4587.26611328125,,,,,
56,1,56,0.0,32.0,32.0,0.695068359375,91.14959399448708,4587.26611328125,,,,,
57,1,57,0.0,32.0,32.0,0.6904296875,90.02884998335503,4587.26611328125,,,,,
58,1,58,0.0,32.0,32.0,0.6856689453125,87.00626299832948,4587.26611328125,,,,,
59,1,59,0.0,32.0,32.0,0.6912841796875,89.75886699045077,4587.26611328125,,,,,
60,1,60,0.0,32.0,32.0,0.7001953125,90.70532099576667,4587.26611328125,,,,,
