step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,16.0,16.0,0.69970703125,335.28315398143604,2312.86669921875,,,,,
2,1,2,0.0,16.0,16.0,0.68359375,46.20665800757706,3283.95361328125,,,,,
3,1,3,0.0,16.0,16.0,0.7109375,54.94139200891368,3278.30712890625,,,,,
4,1,4,0.0,16.0,16.0,0.696044921875,55.20496898679994,3278.30712890625,,,,,
5,1,5,0.0,16.0,16.0,0.71875,52.923967014066875,3179.51025390625,,,,,
6,1,6,0.0,16.0,16.0,0.6953125,55.00579401268624,3278.30712890625,,,,,
7,1,7,0.0,16.0,16.0,0.700439453125,55.32680498436093,3278.30712890625,,,,,
8,1,8,0.0,16.0,16.0,0.712890625,55.430325999623165,3278.30712890625,,,,,
9,1,9,0.0,16.0,16.0,0.680419921875,55.89975800830871,3278.30712890625,,,,,
10,1,10,0.0,16.0,16.0,0.69970703125,56.1461620090995,3278.30712890625,,,,,
11,1,11,0.0,16.0,16.0,0.6865234375,48.61438399530016,3029.44091796875,,,,,
12,1,12,0.0,16.0,16.0,0.706298828125,55.404082988388836,3278.30712890625,,,,,
13,1,13,0.0,16.0,16.0,0.705810546875,57.87465401226655,3278.30712890625,,,,,
14,1,14,0.0,16.0,16.0,0.690673828125,70.93544499366544,3278.30712890625,,,,,
15,1,15,0.0,16.0,16.0,0.71044921875,67.27839499944821,3041.06396484375,,,,,
16,1,16,0.0,16.0,16.0,0.6982421875,69.9670470203273,3116.79541015625,,,,,
17,1,17,0.0,16.0,16.0,0.682861328125,71.88334999955259,3278.30712890625,,,,,
18,1,18,0.0,16.0,16.0,0.694091796875,65.08658902021125,3278.30712890625,,,,,
19,1,19,0.0,16.0,16.0,0.693603515625,59.38184697879478,3278.30712890625,,,,,
20,1,20,0.0,16.0,16.0,0.697998046875,58.059028000570834,3278.30712890625,,,,,
21,1,21,0.0,16.0,16.0,0.6826171875,56.94518599193543,3278.30712890625,,,,,
22,1,22,0.0,16.0,16.0,0.692626953125,56.27183700562455,3270.60400390625,,,,,
23,1,23,0.0,16.0,16.0,0.6806640625,55.93935601064004,3278.30712890625,,,,,
