step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.69171142578125,607.2597849997692,11349.14404296875,,,,,
2,1,2,0.0,128.0,128.0,0.689361572265625,299.79976499453187,12487.6416015625,,,,,
3,1,3,0.0,128.0,128.0,0.691162109375,430.48748798901215,12487.6416015625,,,,,
4,1,4,0.0,128.0,128.0,0.697967529296875,340.3783350076992,12487.6416015625,,,,,
5,1,5,0.0,128.0,128.0,0.712738037109375,334.84117200714536,12487.6416015625,,,,,
6,1,6,0.0,128.0,128.0,0.6973114013671875,397.0853879873175,12487.6416015625,,,,,
7,1,7,0.0,128.0,128.0,0.707977294921875,334.41531701828353,12487.6416015625,,,,,
8,1,8,0.0,128.0,128.0,0.69036865234375,353.661800007103,12487.6416015625,,,,,
9,1,9,0.0,128.0,128.0,0.696319580078125,375.06714402115904,12487.6416015625,,,,,
10,1,10,0.0,128.0,128.0,0.696807861328125,330.3028639929835,12487.6416015625,,,,,
11,1,11,0.0,128.0,128.0,0.6981201171875,366.7741829995066,12487.6416015625,,,,,
12,1,12,0.0,128.0,128.0,0.69305419921875,361.3586989813484,12487.6416015625,,,,,
13,1,13,0.0,128.0,128.0,0.684600830078125,333.9894800155889,12487.6416015625,,,,,
14,1,14,0.0,128.0,128.0,0.694061279296875,371.80334600270726,12487.6416015625,,,,,
15,1,15,0.0,128.0,128.0,0.69964599609375,351.4983700006269,12487.6416015625,,,,,
16,1,16,0.0,128.0,128.0,0.6947021484375,340.4925299983006,12487.6416015625,,,,,
17,1,17,0.0,128.0,128.0,0.692535400390625,367.6757219946012,12487.6416015625,,,,,
18,1,18,0.0,128.0,128.0,0.690338134765625,344.99403802328743,12487.6416015625,,,,,
19,1,19,0.0,128.0,128.0,0.694976806640625,350.0249589851592,12487.6416015625,,,,,
20,1,20,0.0,58.0,58.0,0.687836766242981,164.39052100759,6736.36767578125,,,,,
21,1,21,0.0,128.0,128.0,0.684295654296875,343.2170349988155,12487.6416015625,,,,,
22,1,22,0.0,128.0,128.0,0.687469482421875,342.3083749949001,12487.6416015625,,,,,
