step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68798828125,367.0405420125462,3308.67431640625,,,,,
2,1,2,0.0,32.0,32.0,0.69775390625,68.59557601273991,4304.3583984375,,,,,
3,1,3,0.0,32.0,32.0,0.712890625,75.98517599399202,4303.3583984375,,,,,
4,1,4,0.0,32.0,32.0,0.6903076171875,76.41842699376866,4303.3583984375,,,,,
5,1,5,0.0,32.0,32.0,0.6856689453125,76.65924800676294,4303.3583984375,,,,,
6,1,6,0.0,32.0,32.0,0.703857421875,77.80312199611217,4303.3583984375,,,,,
7,1,7,0.0,32.0,32.0,0.68157958984375,77.60717999190092,4303.3583984375,,,,,
8,1,8,0.0,32.0,32.0,0.7109375,77.72579402080737,4303.3583984375,,,,,
9,1,9,0.0,32.0,32.0,0.69384765625,78.1909069919493,4303.3583984375,,,,,
10,1,10,0.0,32.0,32.0,0.698974609375,95.1844009978231,4303.3583984375,,,,,
11,1,11,0.0,32.0,32.0,0.6929931640625,113.47886000294238,4303.3583984375,,,,,
12,1,12,0.0,32.0,32.0,0.6866455078125,109.21092401258647,4303.3583984375,,,,,
13,1,13,0.0,32.0,32.0,0.6878662109375,85.49312999821268,4303.3583984375,,,,,
14,1,14,0.0,32.0,32.0,0.6890869140625,81.40182800707407,4303.3583984375,,,,,
15,1,15,0.0,32.0,32.0,0.67431640625,79.05059901531786,4303.3583984375,,,,,
16,1,16,0.0,32.0,32.0,0.6856689453125,78.62898800522089,4303.3583984375,,,,,
17,1,17,0.0,32.0,32.0,0.6702880859375,78.00445301108994,4303.3583984375,,,,,
18,1,18,0.0,32.0,32.0,0.611328125,78.87809799285606,4303.3583984375,,,,,
19,1,19,0.0,32.0,32.0,0.7230682373046875,78.21811799658462,4303.3583984375,,,,,
20,1,20,0.0,32.0,32.0,0.7568511962890625,78.43231901642866,4303.3583984375,,,,,
21,1,21,0.0,32.0,32.0,0.7149658203125,85.2395519905258,4303.3583984375,,,,,
22,1,22,0.0,32.0,32.0,0.6796875,97.51643700292334,4303.3583984375,,,,,
23,1,23,0.0,32.0,32.0,0.686279296875,103.8744880061131,4303.3583984375,,,,,
24,1,24,0.0,32.0,32.0,0.6837158203125,91.92079899366945,4303.3583984375,,,,,
25,1,25,0.0,32.0,32.0,0.69580078125,85.43042599922046,4303.3583984375,,,,,
26,1,26,0.0,32.0,32.0,0.694091796875,82.29359198594466,4303.3583984375,,,,,
27,1,27,0.0,32.0,32.0,0.6964111328125,79.96767800068483,4303.3583984375,,,,,
28,1,28,0.0,32.0,32.0,0.6920166015625,78.13141099177301,4303.3583984375,,,,,
29,1,29,0.0,32.0,32.0,0.686279296875,79.44995199795812,4303.3583984375,,,,,
30,1,30,0.0,32.0,32.0,0.68255615234375,77.89612500346266,4303.3583984375,,,,,
31,1,31,0.0,32.0,32.0,0.71923828125,79.90764200803824,4303.3583984375,,,,,
32,1,32,0.0,32.0,32.0,0.6988525390625,83.19894698797725,4303.3583984375,,,,,
33,1,33,0.0,32.0,32.0,0.69140625,88.67984698736109,4303.3583984375,,,,,
34,1,34,0.0,32.0,32.0,0.6920166015625,97.53413998987526,4303.3583984375,,,,,
35,1,35,0.0,32.0,32.0,0.697021484375,94.04573001665995,4303.3583984375,,,,,
36,1,36,0.0,32.0,32.0,0.6954345703125,87.69762399606407,4303.3583984375,,,,,
37,1,37,0.0,32.0,32.0,0.697509765625,84.79624902247451,4303.3583984375,,,,,
38,1,38,0.0,32.0,32.0,0.6697998046875,83.0849010089878,4303.3583984375,,,,,
39,1,39,0.0,32.0,32.0,0.70947265625,80.45787698938511,4303.3583984375,,,,,
40,1,40,0.0,32.0,32.0,0.6802978515625,79.34568700147793,4303.3583984375,,,,,
41,1,41,0.0,32.0,32.0,0.6658935546875,79.04224199592136,4303.3583984375,,,,,
42,1,42,0.0,32.0,32.0,0.73956298828125,80.18307297606952,4303.3583984375,,,,,
43,1,43,0.0,32.0,32.0,0.6978759765625,81.4610060187988,4303.3583984375,,,,,
44,1,44,0.0,32.0,32.0,0.7255859375,84.83015699312091,4303.3583984375,,,,,
45,1,45,0.0,32.0,32.0,0.70196533203125,88.11154999420978,4303.3583984375,,,,,
46,1,46,0.0,32.0,32.0,0.6927490234375,94.93135299999267,4303.3583984375,,,,,
47,1,47,0.0,32.0,32.0,0.68798828125,88.73775901156478,4303.3583984375,,,,,
48,1,48,0.0,32.0,32.0,0.6976318359375,88.07295298902318,4303.3583984375,,,,,
49,1,49,0.0,32.0,32.0,0.70758056640625,83.93671698286198,4303.3583984375,,,,,
50,1,50,0.0,32.0,32.0,0.6898193359375,82.70126098068431,4303.3583984375,,,,,
51,1,51,0.0,32.0,32.0,0.6827392578125,82.36505801323801,4303.3583984375,,,,,
52,1,52,0.0,32.0,32.0,0.68377685546875,80.03134399768896,4303.3583984375,,,,,
