step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68359375,363.9532240049448,3456.6435546875,,,,,
2,1,2,0.0,32.0,32.0,0.6947021484375,76.44956800504588,4586.26611328125,,,,,
3,1,3,0.0,32.0,32.0,0.700439453125,82.1055939886719,4587.26611328125,,,,,
4,1,4,0.0,32.0,32.0,0.705078125,84.14143900154158,4587.26611328125,,,,,
5,1,5,0.0,32.0,32.0,0.70855712890625,84.67507699970156,4587.26611328125,,,,,
6,1,6,0.0,32.0,32.0,0.69256591796875,84.66164898709394,4587.26611328125,,,,,
7,1,7,0.0,32.0,32.0,0.710693359375,83.99200902204029,4587.26611328125,,,,,
8,1,8,0.0,32.0,32.0,0.6939697265625,85.87774299667217,4587.26611328125,,,,,
9,1,9,0.0,32.0,32.0,0.6845703125,96.21994101325981,4587.26611328125,,,,,
10,1,10,0.0,32.0,32.0,0.68499755859375,121.2513179925736,4587.26611328125,,,,,
11,1,11,0.0,32.0,32.0,0.6453857421875,117.7997610066086,4587.26611328125,,,,,
12,1,12,0.0,32.0,32.0,0.78515625,97.98109100665897,4587.26611328125,,,,,
13,1,13,0.0,32.0,32.0,0.79437255859375,87.20221198746003,4587.26611328125,,,,,
14,1,14,0.0,32.0,32.0,0.773193359375,85.80310601973906,4587.26611328125,,,,,
15,1,15,0.0,32.0,32.0,0.7156982421875,85.8368169865571,4587.26611328125,,,,,
16,1,16,0.0,32.0,32.0,0.67626953125,83.28532497398555,4587.26611328125,,,,,
17,1,17,0.0,32.0,32.0,0.724853515625,85.92776901787147,4587.26611328125,,,,,
18,1,18,0.0,32.0,32.0,0.697998046875,85.45456698630005,4587.26611328125,,,,,
19,1,19,0.0,32.0,32.0,0.69775390625,92.03163700294681,4587.26611328125,,,,,
20,1,20,0.0,32.0,32.0,0.68878173828125,103.61840500263497,4587.26611328125,,,,,
21,1,21,0.0,32.0,32.0,0.71295166015625,118.32730699097738,4587.26611328125,,,,,
22,1,22,0.0,32.0,32.0,0.67645263671875,103.67677701287903,4587.26611328125,,,,,
23,1,23,0.0,32.0,32.0,0.689697265625,91.90570100327022,4587.26611328125,,,,,
24,1,24,0.0,32.0,32.0,0.67352294921875,89.11603700835258,4587.26611328125,,,,,
25,1,25,0.0,32.0,32.0,0.7318115234375,86.70164199429564,4587.26611328125,,,,,
26,1,26,0.0,32.0,32.0,0.69183349609375,86.32493900950067,4587.26611328125,,,,,
27,1,27,0.0,32.0,32.0,0.7041015625,84.56937500159256,4587.26611328125,,,,,
28,1,28,0.0,32.0,32.0,0.67010498046875,86.87000500503927,4587.26611328125,,,,,
29,1,29,0.0,32.0,32.0,0.73797607421875,90.66345600876957,4587.26611328125,,,,,
30,1,30,0.0,32.0,32.0,0.739990234375,96.9907529943157,4587.26611328125,,,,,
31,1,31,0.0,32.0,32.0,0.75103759765625,100.9980020171497,4587.26611328125,,,,,
32,1,32,0.0,32.0,32.0,0.6966552734375,111.88885499723256,4587.26611328125,,,,,
33,1,33,0.0,32.0,32.0,0.71087646484375,98.11872002319433,4587.26611328125,,,,,
34,1,34,0.0,32.0,32.0,0.66778564453125,93.17375600221567,4587.26611328125,,,,,
35,1,35,0.0,32.0,32.0,0.7049560546875,87.24628700292669,4587.26611328125,,,,,
36,1,36,0.0,32.0,32.0,0.69140625,90.01477301353589,4587.26611328125,,,,,
37,1,37,0.0,32.0,32.0,0.6768798828125,85.03343499614857,4587.26611328125,,,,,
38,1,38,0.0,32.0,32.0,0.6868896484375,87.59925598860718,4587.26611328125,,,,,
39,1,39,0.0,32.0,32.0,0.7174072265625,88.43983901897445,4587.26611328125,,,,,
40,1,40,0.0,32.0,32.0,0.6568603515625,91.55976001056843,4587.26611328125,,,,,
41,1,41,0.0,32.0,32.0,0.6739501953125,93.8941509812139,4526.98095703125,,,,,
42,1,42,0.0,32.0,32.0,0.628173828125,103.99960001814179,4587.26611328125,,,,,
43,1,43,0.0,32.0,32.0,0.7437744140625,100.73751999880187,4587.26611328125,,,,,
44,1,44,0.0,32.0,32.0,0.767791748046875,95.58652999112383,4587.26611328125,,,,,
45,1,45,0.0,32.0,32.0,0.7169189453125,93.45063997898251,4587.26611328125,,,,,
46,1,46,0.0,32.0,32.0,0.73223876953125,91.5753279987257,4587.26611328125,,,,,
47,1,47,0.0,32.0,32.0,0.74041748046875,86.8816589936614,4587.26611328125,,,,,
48,1,48,0.0,32.0,32.0,0.6812744140625,86.62592200562358,4587.26611328125,,,,,
49,1,49,0.0,32.0,32.0,0.69287109375,88.98414199938998,4587.26611328125,,,,,
50,1,50,0.0,32.0,32.0,0.6856689453125,88.97856599651277,4587.26611328125,,,,,
51,1,51,0.0,32.0,32.0,0.67828369140625,94.67763401335105,4587.26611328125,,,,,
52,1,52,0.0,32.0,32.0,0.70556640625,99.00622299755923,4568.93017578125,,,,,
53,1,53,0.0,32.0,32.0,0.70513916015625,99.66991198598407,4587.26611328125,,,,,
54,1,54,0.0,32.0,32.0,0.6483154296875,96.15366099751554,4587.26611328125,,,,,
55,1,55,0.0,32.0,32.0,0.685302734375,94.08144297776744,4587.26611328125,,,,,
56,1,56,0.0,32.0,32.0,0.7381591796875,92.20689701032825,4587.26611328125,,,,,
57,1,57,0.0,32.0,32.0,0.76556396484375,91.34521099622361,4587.26611328125,,,,,
58,1,58,0.0,32.0,32.0,0.7093505859375,88.07625700137578,4587.26611328125,,,,,
59,1,59,0.0,32.0,32.0,0.72998046875,89.74514799774624,4587.26611328125,,,,,
60,1,60,0.0,32.0,32.0,0.6590576171875,89.01874799630605,4587.26611328125,,,,,
61,1,61,0.0,32.0,32.0,0.7086181640625,93.78314600326121,4587.26611328125,,,,,
62,1,62,0.0,32.0,32.0,0.7132568359375,92.8868490154855,4587.26611328125,,,,,
63,1,63,0.0,32.0,32.0,0.6993408203125,95.81057998002507,4587.26611328125,,,,,
64,1,64,0.0,32.0,32.0,0.714599609375,98.87111201533116,4587.26611328125,,,,,
65,1,65,0.0,32.0,32.0,0.688720703125,97.64755400829017,4587.26611328125,,,,,
66,1,66,0.0,32.0,32.0,0.69580078125,92.03954698750749,4587.26611328125,,,,,
67,1,67,0.0,32.0,32.0,0.6998291015625,90.95129399793223,4587.26611328125,,,,,
68,1,68,0.0,32.0,32.0,0.690185546875,90.96348998718895,4587.26611328125,,,,,
69,1,69,0.0,32.0,32.0,0.7044677734375,88.54513900587335,4587.26611328125,,,,,
70,1,70,0.0,32.0,32.0,0.7105712890625,90.10872099315748,4587.26611328125,,,,,
71,1,71,0.0,32.0,32.0,0.6942138671875,90.13504697941244,4587.26611328125,,,,,
72,1,72,0.0,32.0,32.0,0.67578125,94.04674600227736,4587.26611328125,,,,,
73,1,73,0.0,32.0,32.0,0.7041015625,90.3781050001271,4587.26611328125,,,,,
74,1,74,0.0,32.0,32.0,0.67626953125,96.56331900623627,4587.26611328125,,,,,
75,1,75,0.0,32.0,32.0,0.7005615234375,94.7776060202159,4587.26611328125,,,,,
76,1,76,0.0,32.0,32.0,0.7056884765625,92.50198802328669,4587.26611328125,,,,,
77,1,77,0.0,32.0,32.0,0.706787109375,95.54924999247305,4587.26611328125,,,,,
78,1,78,0.0,26.0,26.0,0.669020414352417,79.12468700669706,4119.74267578125,,,,,
79,1,79,0.0,32.0,32.0,0.6927490234375,85.1173090049997,4587.26611328125,,,,,
80,1,80,0.0,32.0,32.0,0.7103271484375,90.07048400235362,4587.26611328125,,,,,
81,1,81,0.0,32.0,32.0,0.708740234375,92.0209109899588,4587.26611328125,,,,,
82,1,82,0.0,32.0,32.0,0.6900634765625,90.58063101838343,4587.26611328125,,,,,
83,1,83,0.0,32.0,32.0,0.6900634765625,94.60181699250825,4587.26611328125,,,,,
84,1,84,0.0,32.0,32.0,0.69677734375,95.3398410056252,4587.26611328125,,,,,
85,1,85,0.0,32.0,32.0,0.6871337890625,94.80227899621241,4587.26611328125,,,,,
86,1,86,0.0,32.0,32.0,0.688720703125,92.84364699851722,4587.26611328125,,,,,
87,1,87,0.0,32.0,32.0,0.6884765625,93.98709400556982,4587.26611328125,,,,,
88,1,88,0.0,32.0,32.0,0.6962890625,90.3284460073337,4587.26611328125,,,,,
89,1,89,0.0,32.0,32.0,0.6888427734375,92.05885301344097,4587.26611328125,,,,,
90,1,90,0.0,32.0,32.0,0.688232421875,90.96951701212674,4587.26611328125,,,,,
91,1,91,0.0,32.0,32.0,0.6988525390625,93.10265802196227,4587.26611328125,,,,,
92,1,92,0.0,32.0,32.0,0.7137451171875,93.2731409848202,4587.26611328125,,,,,
93,1,93,0.0,32.0,32.0,0.6832275390625,92.61315601179376,4587.26611328125,,,,,
94,1,94,0.0,32.0,32.0,0.6859130859375,92.09070698125288,4587.26611328125,,,,,
95,1,95,0.0,32.0,32.0,0.6854248046875,95.03617798327468,4587.26611328125,,,,,
96,1,96,0.0,32.0,32.0,0.685302734375,93.9749630051665,4587.26611328125,,,,,
97,1,97,0.0,32.0,32.0,0.7076416015625,93.00325901131146,4587.26611328125,,,,,
98,1,98,0.0,32.0,32.0,0.711669921875,92.74020601878874,4587.26611328125,,,,,
99,1,99,0.0,32.0,32.0,0.7066650390625,91.80510899750516,4587.26611328125,,,,,
100,1,100,0.0,32.0,32.0,0.7081298828125,91.35336399776861,4587.26611328125,,,,,
100,1,,1.0,32.0,32.0,,91.35336399776861,4587.26611328125,0.5270758122743683,0.6915052996741401,0.5016064257028112,0.694344400595396,-0.025469386571557062
