step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68359375,368.68823098484427,3456.6435546875,,,,,
2,1,2,0.0,32.0,32.0,0.6947021484375,75.68253201316111,4584.76611328125,,,,,
3,1,3,0.0,32.0,32.0,0.6995849609375,83.88364099664614,4584.76611328125,,,,,
4,1,4,0.0,32.0,32.0,0.6988525390625,83.78659299341962,4584.76611328125,,,,,
5,1,5,0.0,32.0,32.0,0.6988525390625,84.76385800167918,4584.76611328125,,,,,
6,1,6,0.0,32.0,32.0,0.6925048828125,84.62609798880294,4584.76611328125,,,,,
7,1,7,0.0,32.0,32.0,0.70166015625,84.94088100269437,4584.76611328125,,,,,
8,1,8,0.0,32.0,32.0,0.684326171875,85.32638900214806,4584.76611328125,,,,,
9,1,9,0.0,32.0,32.0,0.6773681640625,97.73049200884998,4584.76611328125,,,,,
10,1,10,0.0,32.0,32.0,0.6890869140625,124.39154300955124,4584.76611328125,,,,,
11,1,11,0.0,32.0,32.0,0.6712646484375,120.91506199794821,4584.76611328125,,,,,
12,1,12,0.0,32.0,32.0,0.7164306640625,92.06718098721467,4584.76611328125,,,,,
13,1,13,0.0,32.0,32.0,0.7066650390625,88.1725009821821,4584.76611328125,,,,,
14,1,14,0.0,32.0,32.0,0.7396240234375,86.57158899586648,4584.76611328125,,,,,
15,1,15,0.0,32.0,32.0,0.71197509765625,86.4679699880071,4584.76611328125,,,,,
16,1,16,0.0,32.0,32.0,0.6732177734375,84.84894398134202,4584.76611328125,,,,,
17,1,17,0.0,32.0,32.0,0.72235107421875,85.54753099451773,4584.76611328125,,,,,
18,1,18,0.0,32.0,32.0,0.69635009765625,86.19630499742925,4584.76611328125,,,,,
19,1,19,0.0,32.0,32.0,0.713134765625,93.32234898465686,4584.76611328125,,,,,
20,1,20,0.0,32.0,32.0,0.68756103515625,110.17016798723489,4584.76611328125,,,,,
21,1,21,0.0,32.0,32.0,0.6990966796875,112.79504297999665,4584.76611328125,,,,,
22,1,22,0.0,32.0,32.0,0.681640625,98.06003700941801,4584.76611328125,,,,,
23,1,23,0.0,32.0,32.0,0.6881103515625,91.02884601452388,4584.76611328125,,,,,
24,1,24,0.0,32.0,32.0,0.66839599609375,89.96785897761583,4584.76611328125,,,,,
25,1,25,0.0,32.0,32.0,0.69696044921875,85.02159401541576,4584.76611328125,,,,,
26,1,26,0.0,32.0,32.0,0.69696044921875,87.45229200576432,4584.76611328125,,,,,
