step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68359375,357.2832490026485,3456.6435546875,,,,,
2,1,2,0.0,32.0,32.0,0.6947021484375,74.3608420016244,4584.76611328125,,,,,
3,1,3,0.0,32.0,32.0,0.6993408203125,82.4086399807129,4584.76611328125,,,,,
4,1,4,0.0,32.0,32.0,0.69970703125,86.13765198970214,4584.76611328125,,,,,
5,1,5,0.0,32.0,32.0,0.6998291015625,84.77202500216663,4584.76611328125,,,,,
6,1,6,0.0,32.0,32.0,0.692626953125,84.88246699562296,4584.76611328125,,,,,
7,1,7,0.0,32.0,32.0,0.702880859375,84.44898101151921,4584.76611328125,,,,,
8,1,8,0.0,32.0,32.0,0.6856689453125,85.43353798449971,4584.76611328125,,,,,
9,1,9,0.0,32.0,32.0,0.6778564453125,95.6651600135956,4584.76611328125,,,,,
10,1,10,0.0,32.0,32.0,0.6875,120.75254000956193,4584.76611328125,,,,,
11,1,11,0.0,32.0,32.0,0.6658935546875,125.46515400754288,4584.76611328125,,,,,
12,1,12,0.0,32.0,32.0,0.7247314453125,92.67040001577698,4584.76611328125,,,,,
13,1,13,0.0,32.0,32.0,0.7056884765625,88.63650701823644,4584.76611328125,,,,,
14,1,14,0.0,32.0,32.0,0.7508544921875,85.98016999894753,4584.76611328125,,,,,
15,1,15,0.0,32.0,32.0,0.71795654296875,87.0680590160191,4584.76611328125,,,,,
16,1,16,0.0,32.0,32.0,0.66937255859375,84.83596300357021,4584.76611328125,,,,,
17,1,17,0.0,32.0,32.0,0.72747802734375,85.15565999550745,4584.76611328125,,,,,
18,1,18,0.0,32.0,32.0,0.7047119140625,86.3141129957512,4584.76611328125,,,,,
19,1,19,0.0,32.0,32.0,0.7156982421875,93.96116001880728,4584.76611328125,,,,,
20,1,20,0.0,32.0,32.0,0.6895751953125,108.55942100170068,4584.76611328125,,,,,
21,1,21,0.0,32.0,32.0,0.6968994140625,111.87383599462919,4584.76611328125,,,,,
22,1,22,0.0,32.0,32.0,0.6842041015625,102.83540899399668,4584.76611328125,,,,,
23,1,23,0.0,32.0,32.0,0.6905517578125,94.77658598916605,4584.76611328125,,,,,
24,1,24,0.0,32.0,32.0,0.6708984375,88.67171499878168,4584.76611328125,,,,,
25,1,25,0.0,32.0,32.0,0.6978759765625,85.60315700015053,4584.76611328125,,,,,
26,1,26,0.0,32.0,32.0,0.698974609375,84.56148800905794,4584.76611328125,,,,,
27,1,27,0.0,32.0,32.0,0.712646484375,85.60073698754422,4584.76611328125,,,,,
28,1,28,0.0,32.0,32.0,0.657470703125,85.38169899838977,4584.76611328125,,,,,
29,1,29,0.0,32.0,32.0,0.71026611328125,89.83853098470718,4584.76611328125,,,,,
30,1,30,0.0,32.0,32.0,0.713134765625,102.13961999397725,4584.76611328125,,,,,
31,1,31,0.0,32.0,32.0,0.72979736328125,108.94818999804556,4584.76611328125,,,,,
32,1,32,0.0,32.0,32.0,0.68963623046875,99.99011698528193,4584.76611328125,,,,,
